代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2891,中信金,Dec-23,"136,576,427","86,657,947","220,386,880","582,030","264,106",0,"66,934,337","9,360,191","57,574,146",0,0,0,"57,574,146","15,053,921","20,210,839",0,"35,264,760","92,838,906","56,081,479","1,492,667",0,"92,495,609","343,297",0,2.82,"19,528,030","1,069,980","55,011,499",2.82,"19,528,030","155,254,794","163,983,611","57,635,929"
2891,中信金,Sep-23,"106,883,198","63,636,959","161,427,301","428,765","157,553",0,"56,519,412","6,733,771","49,785,641",0,0,0,"49,785,641","11,150,305","3,034,261",0,"14,184,566","63,970,207","48,586,395","1,199,246",0,"64,439,724","-469,517",0,2.44,"19,497,112","1,069,980","47,516,415",2.43,"19,522,596","119,328,292","125,860,220","49,785,641"
2891,中信金,Jun-23,"62,490,220","42,087,792","104,371,314","287,194","156,098",0,"32,840,988","3,151,841","29,689,147",0,0,0,"29,689,147","10,137,021","13,317,941",0,"23,454,962","53,144,109","28,813,033","876,114",0,"53,150,336","-6,227",0,1.48,"19,497,037",0,"28,813,033",1.48,"19,517,005","71,972,196","76,321,880","29,689,147"
2891,中信金,Mar-23,"23,537,973","20,473,820","50,781,985","70,742","149,596",0,"15,795,737","2,293,742","13,501,995",0,0,0,"13,501,995","5,081,910","13,366,128",0,"18,448,038","31,950,033","12,959,386","542,609",0,"31,726,528","223,505",0,0.66,"19,496,990",0,"12,959,386",0.66,"19,511,266","33,923,445","36,117,887","13,501,995"
2891,中信金,Dec-22,"139,252,299","71,400,740","159,818,621","-38,383","4,475,742",0,"47,048,937","14,435,827","32,613,110",0,0,0,"32,613,110","-12,059,387","-54,891,673",0,"-66,951,060","-34,337,950","31,278,991","1,334,119",0,"-35,615,204","1,277,254",0,1.55,"19,498,679","1,069,980","30,209,011",1.55,"19,498,679","79,750,378","88,096,223","32,650,044"
2891,中信金,Sep-22,"136,757,701","51,735,838","111,102,920","-31,877","4,176,579",0,"46,797,877","13,750,131","33,047,746",0,0,0,"33,047,746","-12,583,050","-96,240,702",0,"-108,823,752","-75,776,006","32,186,328","861,418",0,"-75,332,779","-443,227",0,1.6,"19,496,990","1,069,980","31,116,348",1.6,"19,496,990","65,265,307","71,453,041","33,047,746"
2891,中信金,Jun-22,"100,627,323","35,069,317","68,870,928","84,036","3,672,677",0,"33,687,938","8,807,520","24,880,418",0,0,0,"24,880,418","-5,208,275","-78,371,421",0,"-83,579,696","-58,699,278","24,295,275","585,143",0,"-58,563,655","-135,623",0,1.19,"19,496,990","1,069,980","23,225,295",1.19,"19,496,990","43,146,256","47,261,984","24,880,418"
2891,中信金,Mar-22,"57,568,091","18,999,759","32,612,537","31,908","3,281,788",0,"21,066,966","4,477,617","16,589,349",0,0,0,"16,589,349","5,448,579","-32,792,183",0,"-27,343,604","-10,754,255","16,292,457","296,892",0,"-11,625,415","871,160",0,0.84,"19,496,990",0,"16,292,457",0.84,"19,496,990","25,144,909","27,190,845","16,589,349"
2891,中信金,Dec-21,"186,057,824","72,364,266","123,445,736","1,046,067","9,970,893",0,"62,044,158","8,045,945","53,998,213",0,0,0,"53,998,213","14,187,703","-20,897,816",0,"-6,710,113","47,288,100","54,204,958","-206,745",0,"47,664,193","-376,093",0,2.73,"19,496,990","1,069,980","53,134,978",2.73,"19,496,990","76,735,566","84,602,634","54,028,952"
2891,中信金,Sep-21,"136,390,553","53,116,727","91,395,592","654,565","8,968,132",0,"53,379,776","6,904,085","46,475,691",0,0,0,"46,475,691","9,908,921","-25,369,095",0,"-15,460,174","31,015,517","46,474,798",893,0,"31,019,666","-4,149",0,2.33,"19,496,990","1,069,980","45,404,818",2.33,"19,496,990","64,168,323","70,013,177","46,475,691"
2891,中信金,Jun-21,"85,600,216","35,403,797","60,816,830","405,870","7,390,867",0,"37,468,965","4,018,869","33,450,096",0,0,0,"33,450,096","11,192,427","-20,986,411",0,"-9,793,984","23,656,112","33,449,249",847,0,"23,660,454","-4,342",0,1.72,"19,496,990",0,"33,449,249",1.72,"19,496,990","44,672,035","48,587,612","33,450,096"
2891,中信金,Mar-21,"47,619,935","18,415,620","30,478,546","203,754","3,944,833",0,"22,554,392","2,844,970","19,709,422",0,0,0,"19,709,422","8,731,327","-25,198,167",0,"-16,466,840","3,242,582","19,708,717",705,0,"3,245,937","-3,355",0,1.01,"19,496,990",0,"19,708,717",1.01,"19,496,990","26,199,372","28,170,042","19,709,422"
2891,中信金,Dec-20,"194,406,321","64,700,047","129,479,139","1,209,857","3,653,420",0,"51,577,057","8,721,902","42,855,155",0,0,0,"42,855,155","-2,531,589","4,160,484",0,"1,628,895","44,484,050","42,853,406","1,749",0,"44,487,441","-3,391",0,2.15,"19,496,990","989,325","41,864,081",2.15,"19,496,990","72,002,528","79,846,182","42,848,328"
2891,中信金,Sep-20,"160,315,652","48,878,095","98,445,926","1,048,237","2,317,973",0,"43,964,705","7,836,925","36,127,780",0,0,0,"36,127,780","-11,917,245","-12,615,844",0,"-24,533,089","11,594,691","36,126,218","1,562",0,"11,600,998","-6,307",0,1.8,"19,496,990","989,325","35,136,893",1.8,"19,496,990","60,440,633","66,288,824","36,127,780"
2891,中信金,Jun-20,"110,593,799","32,286,074","67,084,181","720,716","1,441,218",0,"25,393,438","6,214,416","19,179,022",0,0,0,"19,179,022","-8,246,920","-10,189,907",0,"-18,436,827","742,195","19,177,109","1,913",0,"745,356","-3,161",0,0.93,"19,496,990","989,325","18,187,784",0.93,"19,496,990","37,548,230","41,428,202","19,179,022"
2891,中信金,Mar-20,"62,851,755","15,005,810","34,523,402","-120,128","20,508",0,"14,238,269","2,077,182","12,161,087",0,0,0,"12,161,087","-15,317,358","-36,166,818",0,"-51,484,176","-39,323,089","12,159,951","1,136",0,"-39,311,001","-12,088",0,0.62,"19,496,990",0,"12,159,951",0.62,"19,496,990","21,171,617","23,115,508","12,161,087"
2891,中信金,Dec-19,"264,717,728","68,130,130","141,659,899","1,515,214","1,421,155",0,"51,809,078","8,926,802","42,882,276",0,0,0,"42,882,276","9,372,798","24,091,645",0,"33,464,443","76,346,719","42,879,806","2,470",0,"76,346,177",542,0,2.16,"19,496,990","749,992","42,129,814",2.16,"19,496,990","82,831,671","90,293,335","42,082,016"
