代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2891,中信金,Dec-23,"125,943,496","812,027,197","2,026,377,549","126,299,397","253,529,300",0,"4,214,270","495,712,675","298,360","18,666,907","49,607,690","39,211,627","14,593,088","17,906,487","107,805,650","56,596,230","8,304,134,831",0,0,"87,077,839",0,,"12,117,589","114,770,218","2,891,769",0,"39,720",0,"145,429,916",0,"17,731,790","1,834,998,708","2,504,460",0,"12,737,994","7,838,789,482","196,228,920","4,999,900",0,0,0,"201,228,820","59,776,628","44,619,763","116,099,609","57,111,714","217,831,086","-37,086,900",0,"441,749,634",0,0,"23,595,715","465,345,349","8,304,134,831"
2891,中信金,Sep-23,"89,408,319","774,971,789","2,110,662,667","130,325,378","259,996,517",0,"2,036,279","489,797,613","86,119","17,944,791","48,493,111","39,092,464","22,644,950","17,913,564","106,586,542","64,929,573","8,188,186,011",0,0,"112,623,266",0,,"8,534,626","114,111,581","3,268,621",0,"257,311",0,"145,378,470",0,"17,563,932","1,875,380,652","2,497,164",0,"17,032,653","7,751,847,365","195,832,971","4,999,900",0,0,0,"200,832,871","59,397,478","44,619,763","116,099,609","50,376,160","211,095,532","-57,770,136",0,"413,555,745",0,0,"22,782,901","436,338,646","8,188,186,011"
2891,中信金,Jun-23,"89,774,755","665,944,321","2,076,967,617","168,938,999","295,641,345",0,"1,526,445","513,244,031","186,750","17,679,164","48,502,695","39,056,765","18,630,718","17,420,491","104,813,148","57,232,358","8,004,243,437",0,0,"103,742,590",0,,"13,469,244","132,586,234","2,842,756",0,"250,798",0,"132,389,054",0,"16,906,646","1,858,076,193","2,905,377",0,"12,159,763","7,577,756,653","195,836,143","4,999,900",0,0,0,"200,836,043","59,397,529","44,619,763","116,099,609","31,869,620","192,588,992","-49,575,234",0,"403,247,330",0,0,"23,239,454","426,486,784","8,004,243,437"
2891,中信金,Mar-23,"112,687,606","640,130,117","2,259,055,538","102,872,971","229,126,237",0,"8,034,175","464,145,718","193,065","16,282,276","48,762,425","39,213,458","13,941,065","17,021,768","104,036,146","54,744,129","7,861,850,737",0,0,"65,653,796",0,,"6,995,944","109,439,171","9,554,449",0,"4,491",0,"134,426,641",0,"16,337,940","1,846,846,817","2,417,705",0,"7,413,158","7,436,980,713","195,838,008","4,999,900",0,0,0,"200,837,908","59,395,602","41,494,198","20,112,570","134,776,178","196,382,946","-55,304,758",0,"401,311,698",0,0,"23,558,326","424,870,024","7,861,850,737"
2891,中信金,Dec-22,"133,810,551","544,996,150","2,159,112,374","112,631,759","223,214,005",0,"1,854,674","421,220,955","18,389","15,747,528","49,024,168","39,264,903","15,218,285","17,433,219","101,486,456","46,884,577","7,720,493,113",0,0,"81,699,567",0,,"10,747,567","102,380,066","2,306,287",0,"503,026",0,"134,418,666",0,"16,988,265","1,866,524,163","2,426,307",0,"7,490,212","7,327,670,855","195,840,746","4,999,900",0,0,0,"200,840,646","59,458,927","41,494,198","20,112,570","121,798,299","183,405,067","-74,208,394",0,"369,496,246",0,0,"23,326,012","392,822,258","7,720,493,113"
2891,中信金,Sep-22,"118,117,607","615,647,525","2,053,182,089","105,624,877","234,046,600",0,"1,215,489","524,317,104","3,800","18,128,228","48,908,115","38,707,986","21,430,535","17,669,318","94,581,919","71,285,715","7,655,282,863",0,0,"138,584,624",0,,"8,862,752","94,509,251","2,258,047",0,"408,993",0,"134,552,293",0,"17,076,809","1,909,336,492","2,319,196",0,"5,189,011","7,303,997,450","194,969,896","4,999,900",0,0,0,"199,969,796","58,706,929","41,494,198","20,112,570","122,190,959","183,797,727","-112,794,569",0,"329,679,883",0,0,"21,605,530","351,285,413","7,655,282,863"
2891,中信金,Jun-22,"121,274,282","571,282,057","1,982,177,008","89,004,273","218,209,546",0,"1,726,203","569,705,466","65,232","16,482,862","48,859,618","38,612,811","21,545,255","17,540,492","93,927,445","53,043,077","7,316,758,487",0,0,"80,993,174",0,,"7,044,500","120,754,182","2,319,709",0,"35,450",0,"140,477,794",0,"16,825,223","1,861,160,557","2,172,258",0,"4,734,889","6,948,394,894","194,969,896","4,999,900",0,0,0,"199,969,796","58,708,500","41,494,198","20,112,570","114,652,020","176,258,788","-88,486,625",0,"346,450,459",0,0,"21,913,134","368,363,593","7,316,758,487"
2891,中信金,Mar-22,"137,073,851","565,547,585","1,946,898,904","89,614,700","217,105,719",0,"2,026,571","584,444,847","110,242","16,650,752","49,128,575","38,516,474","18,821,283","17,103,938","93,238,063","48,567,185","7,163,632,929",0,0,"66,020,279",0,,"5,083,683","93,148,141","12,465,102",0,"146,305",0,"139,534,431",0,"16,164,995","1,827,490,483","2,284,036",0,"4,787,094","6,721,785,627","194,969,896","4,999,900",0,0,0,"199,969,796","58,708,500","36,121,821","13,959,593","143,662,745","193,744,159","-33,592,608",0,"418,829,847",0,0,"23,017,455","441,847,302","7,163,632,929"
2891,中信金,Dec-21,"130,417,110","562,791,752","1,962,413,324","97,519,636","212,309,442",0,"1,973,688","583,628,637","262,867","16,947,036","49,406,003","38,565,906","19,280,621","17,178,722","93,017,563","41,095,844","7,083,525,780",0,0,"47,568,522",0,,"8,419,903","93,357,280","11,835,250",0,"1,930",0,"132,281,103",0,"16,497,355","1,787,454,678","2,415,216",0,"6,266,890","6,630,924,330","194,969,896","4,999,900",0,0,0,"199,969,796","58,708,500","36,121,821","13,959,593","127,509,225","177,590,639","-5,813,780",0,"430,455,155",0,0,"22,146,295","452,601,450","7,083,525,780"
2891,中信金,Sep-21,"132,864,187","518,351,099","1,865,719,125","94,380,874","192,174,081",0,"1,975,346","541,438,281","69,446","34,765,883","49,285,014","24,433,201","17,531,898","16,675,490","92,249,726","38,231,163","6,741,334,875",0,0,"47,214,537",0,,"7,153,172","96,152,356","10,885,838",0,"64,555",0,"128,883,085",0,"15,845,428","1,770,304,685","2,107,048",0,"4,987,952","6,326,646,592","194,969,896","4,999,900",0,0,0,"199,969,796","58,704,517","36,121,821","13,959,593","122,317,109","172,398,523","-16,460,574",0,"414,612,262",0,0,"76,021","414,688,283","6,741,334,875"
