代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2885,元大金,23-Dec,0.9,1.34,9.74,9.74,14.41,29.08,29.08,2.09,7.2,25.62,25.62,25.62,9.37,11.17,969.69,90.65,9.35
2885,元大金,23-Sep,0.81,1.07,8.67,8.67,11.48,32.11,32.11,2.0,3.45,21.18,21.18,21.18,7.05,11.56,965.44,90.61,9.39
2885,元大金,23-Jun,0.51,0.67,5.61,5.61,7.38,31.6,31.6,1.96,-0.32,30.16,30.16,30.16,8.03,9.64,1021.51,91.08,8.92
2885,元大金,23-Mar,0.21,0.39,2.26,2.26,4.24,27.15,27.15,1.68,-8.63,-3.66,-3.66,-3.66,1.55,0.55,974.2,90.69,9.31
2885,元大金,22-Dec,0.75,0.25,8.02,8.02,2.7,24.82,24.82,1.72,-23.26,-38.94,-38.94,-38.94,-0.23,-4.05,987.35,90.8,9.2
2885,元大金,22-Sep,0.69,-0.05,7.4,7.4,-0.53,27.41,27.41,2.09,-21.85,-33.37,-33.37,-33.37,-0.11,-4.99,1010.34,90.99,9.01
2885,元大金,22-Jun,0.41,-0.26,4.42,4.42,-2.82,24.2,24.2,2.14,-25.95,-43.8,-43.8,-43.8,-1.07,-5.48,1038.26,91.21,8.79
2885,元大金,22-Mar,0.22,-0.04,2.31,2.31,-0.4,25.75,25.75,2.61,-25.36,-38.19,-38.19,-38.19,7.91,2.05,963.68,90.6,9.4
2885,元大金,21-Dec,1.29,1.07,13.22,13.22,11.04,31.19,31.19,2.87,3.12,43.17,43.17,43.17,9.62,5.65,945.74,90.44,9.56
2885,元大金,21-Sep,1.08,0.85,11.13,11.13,8.75,32.15,32.15,2.71,15.61,48.66,48.66,48.66,14.31,6.73,956.08,90.53,9.47
2885,元大金,21-Jun,0.75,0.66,7.86,7.86,6.95,31.88,31.88,2.69,32.0,84.77,84.77,84.77,17.78,8.95,987.48,90.8,9.2
2885,元大金,21-Mar,0.38,0.3,3.87,3.87,3.04,31.09,31.09,2.42,39.62,145.17,145.17,145.17,13.17,14.29,905.98,90.06,9.94
2885,元大金,20-Dec,1.0,1.18,9.92,9.92,11.69,22.47,22.47,1.99,7.45,17.32,17.32,17.32,14.22,9.36,907.88,90.08,9.92
2885,元大金,20-Sep,0.83,0.89,8.09,8.09,8.7,25.0,25.0,1.88,7.42,12.38,12.38,12.38,9.9,7.08,886.06,89.86,10.14
2885,元大金,20-Jun,0.47,0.49,4.64,4.64,4.85,22.78,22.78,1.69,3.56,-1.42,-1.42,-1.42,7.1,4.88,906.01,90.06,9.94
2885,元大金,20-Mar,0.18,-0.16,1.77,1.77,-1.57,17.71,17.71,1.64,-0.88,-25.7,-25.7,-25.7,7.38,0.61,915.91,90.16,9.84
2885,元大金,19-Dec,0.94,1.04,9.09,9.09,10.05,20.58,20.58,1.75,6.25,8.02,8.02,8.02,5.56,5.64,864.93,89.64,10.36
2885,元大金,19-Sep,0.8,0.91,7.66,7.66,8.79,23.9,23.9,1.64,2.75,2.16,2.16,2.16,3.81,5.31,860.69,89.59,10.41
2885,元大金,19-Jun,0.51,0.72,4.96,4.96,7.03,23.93,23.93,1.59,-0.65,-2.83,-2.83,-2.83,3.52,6.37,885.17,89.85,10.15
