代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2885,元大金,Dec-23,"98,089,883","49,160,774","62,355,083","-231,099","-690,387",0,"33,985,651","5,457,422","28,528,229",0,0,0,"28,528,229","3,315,115","10,363,100",0,"13,678,215","42,206,444","26,566,198","1,962,031",0,"40,462,499","1,743,945",0,2.09,"12,689,082",0,"26,566,198",2.09,"12,689,082","66,008,654","69,277,859","28,528,229"
2885,元大金,Sep-23,"77,822,467","36,582,691","45,794,178","4,469","-757,114",0,"29,265,482","4,276,763","24,988,719",0,0,0,"24,988,719","5,072,060","3,050,123",0,"8,122,183","33,110,902","23,531,969","1,456,750",0,"31,775,820","1,335,082",0,1.85,"12,689,082",0,"23,531,969",1.85,"12,689,082","52,220,867","54,633,143","24,988,719"
2885,元大金,Jun-23,"50,132,604","23,502,892","29,403,193","-14,505","-127,693",0,"18,444,326","2,604,795","15,839,531",0,0,0,"15,839,531","-184,222","5,187,689",0,"5,003,467","20,842,998","14,969,541","869,990",0,"20,359,087","483,911",0,1.18,"12,689,082",0,"14,969,541",1.18,"12,689,082","32,958,095","34,560,044","15,839,531"
2885,元大金,Mar-23,"23,590,867","11,721,313","14,182,173","-2,128","-8,289",0,"8,030,102","1,625,122","6,404,980",0,0,0,"6,404,980","2,305,672","3,298,145",0,"5,603,817","12,008,797","5,772,301","632,679",0,"12,086,767","-77,970",0,0.46,"12,501,559",0,"5,772,301",0.46,"12,501,559","14,894,895","15,703,291","6,404,980"
2885,元大金,Dec-22,"91,501,882","43,235,907","45,232,088","191,645","83,436",0,"28,413,813","5,703,400","22,710,413",0,0,0,"22,710,413","4,498,776","-19,564,491",0,"-15,065,715","7,644,698","21,456,327","1,254,086",0,"5,414,225","2,230,473",0,1.72,"12,501,559",0,"21,456,327",1.72,"12,501,559","42,944,536","46,106,635","22,710,413"
2885,元大金,Sep-22,"75,230,544","32,959,681","31,966,132","157,925","136,687",0,"25,582,196","4,960,333","20,621,863",0,0,0,"20,621,863","3,285,543","-25,394,588",0,"-22,109,045","-1,487,182","19,605,427","1,016,436",0,"-2,263,594","776,412",0,1.57,"12,501,559",0,"19,605,427",1.57,"12,501,559","34,258,917","36,637,007","20,621,863"
2885,元大金,Jun-22,"50,292,485","22,144,872","20,250,972","174,506","159,544",0,"15,463,337","3,294,318","12,169,019",0,0,0,"12,169,019","-996,935","-18,935,279",0,"-19,932,214","-7,763,195","11,522,814","646,205",0,"-8,507,531","744,336",0,0.92,"12,501,559",0,"11,522,814",0.92,"12,501,559","20,149,612","21,746,401","12,169,019"
2885,元大金,Mar-22,"25,819,549","11,388,306","9,747,767","183,873","145,212",0,"8,271,757","1,623,662","6,648,095",0,0,0,"6,648,095","503,557","-8,298,348",0,"-7,794,791","-1,146,696","6,166,106","481,989",0,"-1,787,212","640,516",0,0.51,"12,137,436",0,"6,166,106",0.51,"12,137,436","10,307,446","11,115,987","6,648,095"
2885,元大金,Dec-21,"119,240,503","53,263,626","36,986,068","493,848","1,650,331",0,"44,141,344","6,950,633","37,190,711",0,0,0,"37,190,711","7,059,239","-13,201,039",0,"-6,141,800","31,048,911","34,865,957","2,324,754",0,"30,263,795","785,116",0,2.87,"12,137,436",0,"34,865,957",2.87,"12,137,436","51,153,661","54,260,861","37,190,711"
2885,元大金,Sep-21,"96,266,141","41,034,299","27,368,879","420,129","1,188,404",0,"37,371,975","6,421,314","30,950,661",0,0,0,"30,950,661","4,803,263","-11,425,060",0,"-6,621,797","24,328,864","28,314,607","2,636,054",0,"23,182,882","1,145,982",0,2.33,"12,137,436",0,"28,314,607",2.33,"12,137,436","42,525,962","44,854,871","30,950,661"
