代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2885,元大金,23-Dec,"33,985,651","2,658,900","610,305","-35,466,861","-142,808","95,834","-2,962,563","20,316","-4,231,465",0,"-10,001,247","52,917,434","-1,200,162","12,018,946","206,929,363","218,948,309"
2885,元大金,23-Sep,"29,265,482","1,958,144","454,132","-37,087,525","-1,801,616","1,752,179","-1,523,618","17,470","-2,283,229",0,"-10,001,247","16,923,264","2,651,086","-19,796,404","206,929,363","187,132,959"
2885,元大金,23-Jun,"18,444,326","1,301,766","300,183","-90,659,900","-63,989","57,117","-1,005,091","5,349","-1,595,457",0,0,"70,478,644","-403,499","-22,180,212","206,929,363","184,749,151"
2885,元大金,23-Mar,"8,030,102","658,715","149,681","-25,504,674","-26,847","28,327","-373,522","4,042","-685,619",0,0,"1,085,315","-2,350,715","-27,455,693","206,929,363","179,473,670"
2885,元大金,22-Dec,"28,413,813","2,581,439","580,660","7,927,348","-267,647","174,506","-2,339,082","300,566","-1,907,548",0,"-18,206,154","23,886,948","9,390,896","39,297,644","167,631,719","206,929,363"
2885,元大金,22-Sep,"25,582,196","1,946,284","431,806","-12,092,549","-267,139","148,644","-1,405,749","412,326","-643,645",0,"-18,206,154","-1,149,218","7,269,824","-6,615,588","167,631,719","161,016,131"
2885,元大金,22-Jun,"15,463,337","1,311,466","285,323","-48,665,901","-185,226","76,190","-655,842","360,451","213,186",0,0,"12,909,372","3,814,060","-31,729,283","167,631,719","135,902,436"
2885,元大金,22-Mar,"8,271,757","667,002","141,539","-50,154,216","-86,661","28,711","-212,754","264,538","461,522",0,0,"11,311,015","2,846,983","-35,534,696","167,631,719","132,097,023"
2885,元大金,21-Dec,"44,141,344","2,569,529","537,671","38,757,597","-647,467","274,719","-1,685,830","109,601","-1,751,950",0,"-14,564,923","-20,849,202","-6,310,104","9,846,341","157,785,378","167,631,719"
2885,元大金,21-Sep,"37,371,975","1,929,229","399,680","13,480,723","-368,001","251,910","-1,056,010","86,342","-980,952",0,"-14,564,923","-8,531,625","-5,614,459","-1,646,313","157,785,378","156,139,065"
2885,元大金,21-Jun,"26,400,695","1,295,043","267,198","-49,160,829","-204,442","189,299","-634,205","37,694","-594,034",0,0,"32,990,138","-3,619,687","-20,384,412","157,785,378","137,400,966"
2885,元大金,21-Mar,"13,936,149","647,497","135,436","-11,196,961","-102,230","91,513","-318,366","5,734","-347,205",0,0,"-3,794,296","-1,366,248","-16,704,710","157,785,378","141,080,668"
2885,元大金,20-Dec,"30,766,278","2,592,592","544,909","26,276,210","-482,258","380,990","-7,744,355","359,528","-7,340,545",0,"-7,585,898","4,642,652","113,730","23,692,047","134,093,331","157,785,378"
2885,元大金,20-Sep,"24,781,868","1,939,422","407,402","14,724,800","-472,571","376,382","-1,837,635","19,914","-6,955,769",0,"-7,585,898","4,697,920","-2,104,610","10,362,341","134,093,331","144,455,672"
2885,元大金,20-Jun,"14,138,515","1,306,361","271,522","15,744,081","-188,703","268,816","-1,514,666","14,758","-6,465,373",0,0,"-3,543,423","-1,843,834","3,891,451","134,093,331","137,984,782"
2885,元大金,20-Mar,"5,216,545","653,245","135,971","12,715,911","-167,501","174,079","-1,179,821","10,912","-6,227,937",0,0,"-809,514","-1,564,871","4,113,589","134,093,331","138,206,920"
2885,元大金,19-Dec,"25,540,897","2,538,831","734,899","47,401,709","-441,415","142,440","-1,339,054","31,383","-1,532,253",0,"-10,503,550","-30,470,173","-2,227,848","13,171,435","120,921,896","134,093,331"
2885,元大金,19-Sep,"21,333,385","1,892,080","595,921","31,309,969","-441,676","102,326","-753,446","29,181","-911,327",0,"-10,503,550","-27,516,913","-1,848,285","1,033,444","120,921,896","121,955,340"
2885,元大金,19-Jun,"13,844,945","1,247,627","456,892","-11,275,553","-141,294","103,481","-440,247","25,238","-382,501",0,0,"11,614,623","-228,150","-271,581","120,921,896","120,650,315"
