代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2885,元大金,Dec-23,"81,869,960","563,701,196","539,131,270","61,935,965","273,092,919","79,099","2,623,799","292,262,818",0,"3,089,373","27,352,156","30,728,678","5,246,624","13,011,575","11,307,517","69,765,061","3,298,659,820",0,0,"158,670,714",0,,"138,025,618","180,210,063","5,366,128",0,0,0,"104,904,691","48,439,167","6,191,253","376,640,823",0,0,"5,341,639","2,990,283,674","126,890,824",0,0,0,0,"126,890,824","38,188,103","22,561,044","13,517,403","80,901,931","116,980,378","4,947,633",0,"287,006,938",0,0,"21,369,208","308,376,146","3,298,659,820"
2885,元大金,Sep-23,"76,414,702","514,605,127","532,691,730","44,812,461","258,746,988","80,998","2,624,070","325,664,281",0,"3,346,992","26,396,596","30,823,679","6,641,175","11,429,298","10,689,960","69,320,461","3,188,702,414",0,0,"146,639,977",0,,"118,856,704","169,075,296","4,339,970",0,0,0,"98,328,614","51,022,688","4,678,984","379,569,361",0,0,"6,951,848","2,889,416,818","126,890,824",0,0,0,0,"126,890,824","38,173,889","22,561,044","13,517,403","78,555,615","114,634,062","-1,392,730",0,"278,306,045",0,0,"20,979,551","299,285,596","3,188,702,414"
2885,元大金,Jun-23,"75,644,781","530,612,715","551,216,246","58,883,657","254,618,784","108,377","2,630,671","363,280,083",0,"3,251,229","25,981,635","30,824,105","5,456,740","11,430,533","10,791,484","62,706,326","3,221,729,589",0,0,"129,054,673",0,,"131,127,059","188,149,586","4,578,296",0,0,0,"94,259,656","56,839,829","4,672,759","373,133,979",0,0,"5,508,212","2,934,463,212","125,015,590",0,0,"1,875,234",0,"126,890,824","38,090,889","22,561,044","13,517,403","68,873,387","104,951,834","-3,127,235",0,"266,806,312",0,0,"20,460,065","287,266,377","3,221,729,589"
2885,元大金,Mar-23,"71,737,125","458,026,771","566,814,482","49,548,956","227,262,991","81,469","3,105,666","354,687,043",0,"3,256,803","25,570,730","30,840,550","4,966,886","11,509,936","10,682,580","63,657,311","3,105,546,103",0,0,"139,873,522",0,,"118,005,784","160,397,007","5,217,107",0,0,0,"102,187,753","42,164,672","4,715,758","366,514,360",0,0,"4,575,642","2,816,443,282","125,015,590",0,0,0,0,"125,015,590","38,066,502","20,481,785","6,549,234","78,923,032","105,954,051","-525,291",0,"268,510,852",0,0,"20,591,969","289,102,821","3,105,546,103"
2885,元大金,Dec-22,"76,338,164","420,057,382","540,529,315","32,145,357","202,341,992","81,469","3,026,971","339,711,553",0,"3,431,913","25,503,491","30,959,908","5,552,131","11,515,532","10,487,451","59,043,456","3,016,118,537",0,0,"134,822,676",0,,"107,890,168","154,026,563","4,052,157",0,0,0,"102,487,542","48,460,199","4,712,163","363,676,625",0,0,"4,914,735","2,738,735,629","125,015,590",0,0,0,0,"125,015,590","38,010,564","20,481,785","6,549,234","73,279,144","100,310,163","-6,968,170",0,"256,368,147",0,0,"21,014,761","277,382,908","3,016,118,537"
2885,元大金,Sep-22,"60,294,624","414,256,858","554,126,585","40,390,140","220,414,092","86,904","2,606,141","346,735,208",0,"3,162,476","24,778,540","30,922,700","7,396,816","11,411,894","10,113,070","82,165,077","2,978,625,777",0,0,"146,756,528",0,,"122,646,594","170,854,421","3,668,590",0,0,0,"87,136,022","50,320,211","4,552,731","364,442,552",0,0,"6,378,068","2,710,362,778","125,015,590",0,0,0,0,"125,015,590","37,928,633","20,481,785","6,549,234","71,996,219","99,027,238","-13,363,064",0,"248,608,397",0,0,"19,654,602","268,262,999","2,978,625,777"
2885,元大金,Jun-22,"57,202,757","467,087,326","536,006,805","51,568,055","244,611,845","138,384","177,958","348,890,346",0,"3,282,308","24,340,815","30,959,342","6,099,137","11,567,715","10,070,414","73,971,503","2,982,313,625",0,0,"152,355,419",0,,"142,860,469","200,709,198","4,384,476",0,0,0,"91,267,551","66,044,157","4,699,598","354,211,317",0,0,"3,618,387","2,720,307,836","121,374,360",0,0,"3,641,230",0,"125,015,590","37,890,734","20,481,785","6,549,234","63,984,942","91,015,961","-11,595,724",0,"242,326,561",0,0,"19,679,228","262,005,789","2,982,313,625"
2885,元大金,Mar-22,"68,507,664","517,157,939","527,959,087","58,366,531","267,877,968","194,563","30,608","362,100,321",0,"3,407,257","24,451,870","31,019,711","6,645,364","11,391,939","10,022,855","90,647,606","3,058,204,817",0,0,"177,984,847",0,,"155,870,133","204,041,354","8,152,496",0,0,0,"82,613,202","65,430,984","4,471,671","344,797,033",0,0,"3,558,815","2,770,693,560","121,374,360",0,0,0,0,"121,374,360","37,885,949","17,040,473","6,549,234","83,815,484","107,405,191","582,749",0,"267,248,249",0,0,"20,263,008","287,511,257","3,058,204,817"
2885,元大金,Dec-21,"80,735,621","529,242,141","508,638,932","64,141,857","263,703,360","194,563","48,001","338,490,662",0,"3,115,594","24,468,584","31,046,281","7,484,946","12,443,951","10,693,522","86,867,819","3,023,019,302",0,0,"158,685,739",0,,"161,134,546","214,482,994","7,892,094",0,0,0,"82,539,085","59,998,200","5,720,785","336,342,258",0,0,"3,825,466","2,733,939,597","121,374,360",0,0,0,0,"121,374,360","37,885,949","17,040,473","6,549,234","77,775,254","101,364,961","8,410,191",0,"269,035,461",0,0,"20,044,244","289,079,705","3,023,019,302"
2885,元大金,Sep-21,"73,297,712","562,215,525","492,954,514","63,550,499","266,081,221","141,607","336,381","332,644,103",0,"2,816,605","24,227,462","31,286,906","6,740,692","12,650,031","10,805,127","76,733,888","2,982,034,826",0,0,"148,108,666",0,,"162,845,274","218,453,970","8,280,883",0,0,0,"87,790,535","56,140,173","5,890,437","329,181,820",0,0,"4,106,999","2,699,667,759","121,374,360",0,0,0,0,"121,374,360","37,885,949","17,040,473","6,549,234","71,918,245","95,507,952","7,186,287",0,"261,954,548",0,0,"20,412,519","282,367,067","2,982,034,826"
2885,元大金,Jun-21,"69,103,373","606,177,595","486,571,792","121,456,804","322,503,904","141,687","577,510","319,498,753",0,"2,930,970","23,949,122","31,254,887","6,531,092","12,631,652","11,375,181","70,913,568","3,014,518,510",0,0,"172,671,159",0,,"222,537,362","295,314,516","7,919,238",0,0,0,"90,466,681","72,123,627","5,859,748","325,195,965",0,0,"4,593,713","2,737,315,853","121,374,360",0,0,0,0,"121,374,360","37,885,949","17,040,473","6,549,234","63,508,066","87,097,773","10,355,894",0,"256,713,976",0,0,"20,488,681","277,202,657","3,014,518,510"
2885,元大金,Mar-21,"68,534,771","586,331,286","451,402,582","81,811,075","267,951,643","203,730","556,589","294,083,044",0,"2,770,303","24,157,427","31,381,987","6,020,177","12,891,577","11,207,131","73,268,030","2,834,103,896",0,0,"175,250,067",0,,"187,656,636","245,094,657","8,761,799",0,0,0,"80,290,894","53,795,727","6,087,775","319,471,569",0,0,"4,246,179","2,552,379,394","121,374,360",0,0,0,0,"121,374,360","37,885,949","14,633,733","6,549,234","70,151,316","91,334,283","10,357,402",0,"260,951,994",0,0,"20,772,508","281,724,502","2,834,103,896"
2885,元大金,Dec-20,"77,497,198","586,592,639","430,349,520","74,181,496","242,476,446","203,730","733,890","278,391,203",0,"2,755,402","23,930,017","31,498,648","7,095,091","13,181,478","11,558,284","61,843,636","2,757,725,203",0,0,"163,457,505",0,,"176,654,965","246,833,686","6,616,387",0,0,0,"78,790,127","57,796,061","6,368,836","313,071,935",0,0,"4,878,682","2,484,107,757","121,374,360",0,0,0,0,"121,374,360","37,885,949","14,633,733","6,549,234","60,333,790","81,516,757","12,559,523",0,"253,336,589",0,0,"20,280,857","273,617,446","2,757,725,203"
2885,元大金,Sep-20,"66,270,398","548,865,099","418,599,120","43,176,920","183,505,961","73,864","994,944","260,323,166",0,"2,594,021","18,534,578","32,900,006","6,543,022","13,012,887","16,162,120","50,522,311","2,608,646,720",0,0,"137,876,744",0,,"132,097,750","180,465,569","6,190,633",0,0,0,"73,809,494","57,738,772","6,140,907","297,917,927",0,0,"4,368,484","2,344,093,915","121,374,360",0,0,0,0,"121,374,360","37,842,681","14,633,733","6,549,234","56,442,082","77,625,049","9,772,535",0,"246,614,625",0,0,"17,938,180","264,552,805","2,608,646,720"
2885,元大金,Jun-20,"74,990,379","531,493,136","411,421,929","57,645,423","191,408,793","129,229","833,296","258,105,007",0,"2,303,964","18,154,933","32,978,129","6,052,374","13,222,354","16,426,373","38,419,383","2,559,489,983",0,0,"130,994,049",0,,"151,149,213","208,472,295","5,724,417",0,0,0,"73,826,227","54,299,392","6,310,543","288,377,654",0,0,"4,202,759","2,305,069,951","116,706,115",0,0,"4,668,245",0,"121,374,360","37,782,836","14,633,733","6,549,234","46,991,567","68,174,534","9,840,805",0,"237,172,535",0,0,"17,247,497","254,420,032","2,559,489,983"
2885,元大金,Mar-20,"69,751,240","521,877,607","396,124,944","36,329,644","167,175,106","171,593","1,000,489","248,777,005",0,"2,407,393","23,100,595","33,028,377","5,745,075","13,514,526","11,432,625","37,954,638","2,504,201,868",0,0,"143,495,589",0,,"123,647,041","185,602,556","6,411,038",0,0,0,"68,854,087","57,866,578","6,552,502","282,549,926",0,0,"3,692,294","2,257,704,193","116,706,115",0,0,0,0,"116,706,115","37,682,879","12,589,183","6,549,234","54,661,488","73,799,905","798,588",0,"228,987,487",0,0,"17,510,188","246,497,675","2,504,201,868"
2885,元大金,Dec-19,"69,259,573","504,031,079","386,452,415","36,064,416","174,240,497","533,632","1,224,071","229,489,904",0,"2,403,248","22,242,669","33,197,460","5,976,615","13,343,880","4,915,972","31,044,577","2,414,319,106",0,0,"123,340,228",0,,"112,539,474","161,327,046","6,221,759",0,0,0,"68,849,634","60,847,992","5,527,660","273,860,901",0,0,"3,883,527","2,164,112,726","116,706,115",0,0,0,0,"116,706,115","37,402,480","12,589,183","6,549,234","50,565,092","69,703,509","8,389,029",0,"232,201,133",0,0,"18,005,247","250,206,380","2,414,319,106"
2885,元大金,Sep-19,"68,604,898","482,672,606","386,752,644","34,036,645","189,267,758","626,721","996,656","225,303,151",0,"2,306,611","21,865,387","33,188,365","5,452,341","13,465,381","4,925,265","28,884,706","2,373,599,210",0,0,"115,315,791",0,,"113,802,047","171,969,538","5,686,707",0,0,0,"70,414,921","62,910,363","5,626,769","259,755,166",0,0,"3,656,953","2,126,527,095","116,862,325",0,0,0,0,"116,862,325","37,346,821","12,589,183","6,549,234","47,428,844","66,567,261","8,824,853","-197,606","229,403,654",0,0,"17,668,461","247,072,115","2,373,599,210"
2885,元大金,Jun-19,"64,414,664","488,086,000","364,937,536","36,166,325","190,749,778","702,368","928,674","241,184,081",0,"2,062,871","21,931,739","33,298,557","5,550,458","13,609,826","5,020,436","44,394,975","2,389,884,912",0,0,"113,119,564",0,,"114,000,020","182,467,651","5,376,607",0,0,0,"72,635,911","65,636,672","5,739,297","249,403,808",0,0,"3,633,765","2,147,299,591","116,862,325",0,0,0,0,"116,862,325","37,200,474","12,589,183","6,549,234","41,361,336","60,499,753","10,300,563","-197,606","224,665,509",0,0,"17,919,812","242,585,321","2,389,884,912"
