代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2886,兆豐金,Dec-23,"77,321,920","33,498,208","117,567,630","-78,454",2,0,"37,047,965","3,800,988","33,246,977",0,0,0,"33,246,977","12,792,693","5,547,796",0,"18,340,489","51,587,466","33,246,977",0,0,"51,587,466",0,0,2.37,"14,051,338",0,"33,246,977",2.37,"14,051,338","118,554,018","120,948,964","33,115,983"
2886,兆豐金,Sep-23,"57,654,926","24,312,163","84,900,267","-31,023",2,0,"29,947,521","2,919,715","27,027,806",0,0,0,"27,027,806","8,341,068","478,042",0,"8,819,110","35,846,916","27,027,806",0,0,"35,846,916",0,0,1.92,"14,051,338",0,"27,027,806",1.92,"14,051,338","87,748,665","89,521,025","26,892,008"
2886,兆豐金,Jun-23,"38,761,300","15,717,349","54,690,705","-22,924",2,0,"20,439,860","1,673,049","18,766,811",0,0,0,"18,766,811","6,442,678","3,633,574",0,"10,076,252","28,843,063","18,766,811",0,0,"28,843,063",0,0,1.34,"14,051,338",0,"18,766,811",1.34,"14,051,338","56,921,105","58,094,971","18,666,747"
2886,兆豐金,Mar-23,"18,277,614","7,749,624","26,481,590","-25,088",2,0,"12,246,279","1,470,410","10,775,869",0,0,0,"10,775,869","1,809,463","2,722,460",0,"4,531,923","15,307,792","10,775,869",0,0,"15,307,792",0,0,0.77,"13,939,820",0,"10,775,869",0.77,"13,939,820","29,596,545","30,180,852","10,765,474"
2886,兆豐金,Dec-22,"56,049,653","29,670,950","69,936,167","-127,282","-38,867",0,"21,144,301","2,809,343","18,334,958",0,0,0,"18,334,958","-4,553,515","-23,331,119",0,"-27,884,634","-9,549,676","18,334,958",0,0,"-9,549,676",0,0,1.32,"13,939,820",0,"18,334,958",1.32,"13,939,820","53,397,374","55,649,047","18,334,124"
2886,兆豐金,Sep-22,"42,099,167","22,003,035","44,964,600","-62,446","-11,714",0,"15,250,013","1,589,612","13,660,401",0,0,0,"13,660,401","-7,065,514","-23,175,832",0,"-30,241,346","-16,580,945","13,660,401",0,0,"-16,580,945",0,0,0.98,"13,939,820",0,"13,660,401",0.98,"13,939,820","32,298,428","33,962,356","13,659,629"
2886,兆豐金,Jun-22,"27,285,568","14,573,283","25,633,795","-51,200","-11,200",0,"8,200,337","243,883","7,956,454",0,0,0,"7,956,454","-3,549,806","-17,483,135",0,"-21,032,941","-13,076,487","7,956,454",0,0,"-13,076,487",0,0,0.57,"13,939,820",0,"7,956,454",0.57,"13,939,820","15,856,713","16,948,245","7,956,086"
2886,兆豐金,Mar-22,"14,255,220","7,216,243","11,257,972","-28,964",-10,0,"6,677,173","631,069","6,046,104",0,0,0,"6,046,104","846,915","-7,520,788",0,"-6,673,873","-627,769","6,046,104",0,0,"-627,769",0,0,0.44,"13,599,824",0,"6,046,104",0.44,"13,599,824","9,442,026","9,979,510","6,045,952"
2886,兆豐金,Dec-21,"60,230,846","29,605,479","42,796,556","125,017","-39,147",0,"28,656,413","2,925,343","25,731,070",0,0,0,"25,731,070","3,864,075","-6,297,500",0,"-2,433,425","23,297,645","25,731,070",0,0,"23,297,645",0,0,1.89,"13,599,824",0,"25,731,070",1.89,"13,599,824","38,984,624","41,056,886","25,722,727"
2886,兆豐金,Sep-21,"45,165,090","22,235,867","31,964,288","43,512","-39,209",0,"22,549,994","2,844,376","19,705,618",0,0,0,"19,705,618","2,565,257","-3,917,123",0,"-1,351,866","18,353,752","19,705,618",0,0,"18,353,752",0,0,1.45,"13,599,824",0,"19,705,618",1.45,"13,599,824","30,317,806","31,866,107","19,704,685"
2886,兆豐金,Jun-21,"29,244,718","14,809,090","21,145,134","28,112","-39,254",0,"14,384,075","1,876,081","12,507,994",0,0,0,"12,507,994","4,087,106","-3,321,888",0,"765,218","13,273,212","12,507,994",0,0,"13,273,212",0,0,0.92,"13,599,824",0,"12,507,994",0.92,"13,599,824","19,610,959","20,640,718","12,507,587"
2886,兆豐金,Mar-21,"14,589,571","7,248,865","10,501,992","13,392",0,0,"7,315,215","1,093,607","6,221,608",0,0,0,"6,221,608","1,629,960","-4,116,673",0,"-2,486,713","3,734,895","6,221,608",0,0,"3,734,895",0,0,0.46,"13,599,824",0,"6,221,608",0.46,"13,599,824","9,985,707","10,493,841","6,221,170"
2886,兆豐金,Dec-20,"60,809,922","29,100,556","49,724,053","-19,633","-155,917",0,"29,330,638","4,312,670","25,017,968",0,0,0,"25,017,968","102,880","526,565",0,"629,445","25,647,413","25,017,968",0,0,"25,647,413",0,0,1.84,"13,599,824",0,"25,017,968",1.84,"13,599,824","47,503,817","49,048,135","25,031,375"
2886,兆豐金,Sep-20,"45,845,656","21,432,488","39,160,596","-21,813",-35,0,"22,230,421","3,280,083","18,950,338",0,0,0,"18,950,338","-797,469","831,382",0,"33,913","18,984,251","18,950,338",0,0,"18,984,251",0,0,1.39,"13,599,824",0,"18,950,338",1.39,"13,599,824","37,643,984","38,796,175","18,962,820"
2886,兆豐金,Jun-20,"30,247,122","14,234,068","28,339,446","-3,851",-35,0,"13,359,546","2,078,117","11,281,429",0,0,0,"11,281,429","-311,925","1,515,467",0,"1,203,542","12,484,971","11,281,429",0,0,"12,484,971",0,0,0.83,"13,599,824",0,"11,281,429",0.83,"13,599,824","25,497,278","26,257,085","11,294,037"
2886,兆豐金,Mar-20,"10,796,374","7,054,197","15,779,795","-33,531",-36,0,"2,388,866","459,720","1,929,146",0,0,0,"1,929,146","-2,907,996","1,715,671",0,"-1,192,325","736,821","1,929,146",0,0,"736,821",0,0,0.14,"13,599,824",0,"1,929,146",0.14,"13,599,824","9,899,436","10,280,883","1,933,368"
2886,兆豐金,Dec-19,"65,274,862","30,898,437","71,681,244","145,443",-4,0,"33,654,274","4,699,474","28,954,800",0,0,0,"28,954,800","1,175,587","2,806,838",0,"3,982,425","32,937,225","28,956,244","-1,444",0,"32,938,669","-1,444",0,2.13,"13,599,824",0,"28,956,244",2.13,"13,599,824","70,268,670","71,724,996","28,954,765"
2886,兆豐金,Sep-19,"49,573,238","22,447,472","54,735,554","166,026",-4,0,"26,425,835","3,678,427","22,747,408",0,0,0,"22,747,408","803,158","4,410,297",0,"5,213,455","27,960,863","22,748,850","-1,442",0,"27,962,305","-1,442",0,1.67,"13,599,824",0,"22,748,850",1.67,"13,599,824","54,380,900","55,458,059","22,746,908"
2886,兆豐金,Jun-19,"33,162,527","14,765,573","36,796,681","135,326",0,0,"17,919,267","2,566,574","15,352,693",0,0,0,"15,352,693","1,147,702","4,727,060",0,"5,874,762","21,227,455","15,354,139","-1,446",0,"21,228,901","-1,446",0,1.13,"13,599,824",0,"15,354,139",1.13,"13,599,824","36,571,571","37,283,273","15,352,368"
