代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2886,兆豐金,Dec-23,"139,031,498","228,463,860","616,356,587","30,162,138","92,724,481",0,"15,357","557,265,509",0,"5,774,751","22,044,685","1,410,325","7,222,920","2,072,607","2,023,611","8,963,136","4,394,765,193",0,0,"25,587,296",0,,"33,505,944","97,890,226","10,532,725",0,0,0,"30,500,000","11,947,112","2,134,168","29,133,623",0,0,"2,767,687","4,058,954,105","140,513,382",0,"1,391,394",0,0,"141,904,776","68,502,384","47,670,164","16,163,964","58,426,861","122,260,989","3,142,939",0,"335,811,088",0,0,0,"335,811,088","4,394,765,193"
2886,兆豐金,Sep-23,"72,566,790","231,594,363","643,696,014","29,107,311","107,240,916",0,"341,897","562,101,980",0,"4,985,996","21,572,230","1,245,524","7,413,111","1,941,480","1,981,469","8,730,957","4,243,990,504",0,0,"25,098,070",0,,"25,894,297","95,340,707","10,919,651",0,0,0,"30,500,000","10,940,276","2,007,482","29,171,861",0,0,"2,467,652","3,925,619,511","140,513,382",0,0,0,0,"140,513,382","68,194,233","47,670,164","16,163,964","53,190,026","117,024,154","-7,360,776",0,"318,370,993",0,0,0,"318,370,993","4,243,990,504"
2886,兆豐金,Jun-23,"78,986,280","195,431,634","652,471,915","29,607,818","97,360,453",0,"329,802","563,788,956",0,"5,120,095","21,587,230","1,192,763","7,074,649","1,986,289","1,538,687","6,244,395","4,213,359,320",0,0,"22,987,672",0,,"25,545,229","100,689,478","9,910,142",0,0,0,"20,500,000","12,619,123","2,042,493","29,245,351",0,0,"2,743,584","3,901,992,180","139,398,196",0,0,"1,115,186",0,"140,513,382","68,194,233","47,670,164","16,163,964","43,945,451","107,779,579","-5,120,054",0,"311,367,140",0,0,0,"311,367,140","4,213,359,320"
2886,兆豐金,Mar-23,"111,824,874","209,131,711","587,999,590","28,930,777","84,534,486",220,"331,980","542,336,585",0,"5,142,494","21,545,752","1,259,370","6,953,990","1,897,350","1,540,659","6,354,807","4,085,771,162",0,0,"21,825,371",0,,"25,626,422","85,029,993","11,376,255",0,0,0,"20,500,000","14,060,802","1,948,049","29,053,590",0,0,"2,853,629","3,770,653,917","139,398,196",0,0,0,0,"139,398,196","68,194,233","45,976,579","2,538,952","69,689,664","118,205,195","-10,680,379",0,"315,117,245",0,0,0,"315,117,245","4,085,771,162"
2886,兆豐金,Dec-22,"88,545,616","204,901,889","565,528,607","27,661,341","86,258,656","12,380","329,712","524,826,590",0,"4,938,289","21,779,506","1,318,844","6,999,467","1,903,487","1,542,390","5,994,391","4,060,987,347",0,0,"21,447,467",0,,"14,182,273","73,475,048","10,752,028",0,0,0,"20,000,000","17,348,000","1,956,726","33,053,040",0,0,"2,480,569","3,761,177,894","139,398,196",0,0,0,0,"139,398,196","68,194,233","45,976,579","2,538,952","59,027,089","107,542,620","-15,325,596",0,"299,809,453",0,0,0,"299,809,453","4,060,987,347"
2886,兆豐金,Sep-22,"61,611,256","212,756,014","561,517,687","33,140,657","126,767,327","28,193","330,003","552,306,947",0,"4,906,111","21,690,808","1,266,605","8,683,775","1,970,967","1,464,710","5,708,075","4,335,876,951",0,0,"23,051,779",0,,"21,469,147","94,085,721","11,208,070",0,0,0,"7,500,000","15,838,000","2,036,691","37,958,427",0,0,"2,384,325","4,043,098,767","139,398,196",0,0,0,0,"139,398,196","68,194,233","45,976,579","2,538,952","54,364,490","102,880,021","-17,694,266",0,"292,778,184",0,0,0,"292,778,184","4,335,876,951"
2886,兆豐金,Jun-22,"108,799,231","224,599,689","613,456,173","36,994,267","112,912,891","15,813","336,086","565,340,604",0,"5,178,193","21,722,362","1,119,111","8,194,700","1,868,797","1,464,962","4,823,968","4,338,754,650",0,0,"20,794,636",0,,"38,318,103","140,021,822","10,236,330",0,0,0,"7,500,000","3,910,000","1,924,633","39,947,868",0,0,"2,357,766","4,042,472,008","135,998,240",0,0,"3,399,956",0,"139,398,196","68,194,233","45,976,579","2,538,952","49,723,281","98,238,812","-9,548,599",0,"296,282,642",0,0,0,"296,282,642","4,338,754,650"
2886,兆豐金,Mar-22,"124,281,958","212,469,973","688,026,027","38,162,135","104,968,958","15,813","335,260","573,922,223",0,"5,303,858","21,603,308","993,887","6,814,572","1,897,749","1,361,890","5,630,520","4,375,936,472",0,0,"20,153,534",0,,"32,620,408","84,464,540","12,279,928",0,0,0,"7,500,000","1,115,000","1,950,231","30,230,805",0,0,"2,343,536","4,048,165,358","135,998,240",0,0,0,0,"135,998,240","68,194,233","43,343,934","2,538,952","73,385,936","119,268,822","4,309,819",0,"327,771,114",0,0,0,"327,771,114","4,375,936,472"
2886,兆豐金,Dec-21,"140,618,308","202,834,657","648,132,418","38,226,578","96,630,962","15,813","331,977","543,790,346",0,"5,449,161","21,670,526","1,017,030","6,505,527","1,854,439","1,341,321","7,140,436","4,168,264,859",0,0,"19,344,092",0,,"30,802,703","84,963,858","12,298,301",0,0,0,"6,000,000","1,260,000","1,903,356","29,941,604",0,0,"2,635,979","3,839,865,976","135,998,240",0,0,0,0,"135,998,240","68,194,233","43,343,934","2,538,952","67,163,598","113,046,484","11,159,926",0,"328,398,883",0,0,0,"328,398,883","4,168,264,859"
2886,兆豐金,Sep-21,"145,594,394","221,185,459","603,344,687","38,414,206","98,449,287","15,813","334,206","533,923,204",0,"5,405,874","21,620,739","957,791","5,703,628","1,864,608","1,363,857","6,152,724","4,204,214,016",0,0,"18,965,188",0,,"29,711,963","98,679,779","11,234,873",0,0,0,"6,000,000","520,000","1,922,708","30,398,725",0,0,"2,948,246","3,880,759,026","135,998,240",0,0,0,0,"135,998,240","68,194,233","43,343,934","2,538,952","60,632,164","106,515,050","12,747,467",0,"323,454,990",0,0,0,"323,454,990","4,204,214,016"
