代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2887,台新金,Dec-23,"69,918,050","32,899,517","74,096,728","34,192","3,171",0,"17,722,919","3,119,042","14,603,877",0,0,0,"14,603,877","915,631","6,102,600",0,"7,018,231","21,622,108","14,601,692","2,185",0,"21,619,933","2,175",0,1.01,"12,477,062","1,953,751","12,647,941",1.01,"12,477,156","61,491,758","64,186,060","14,603,877"
2887,台新金,Sep-23,"53,211,558","24,223,439","54,484,151",501,"1,276",0,"14,854,914","2,751,226","12,103,688",0,0,0,"12,103,688","378,667","2,214,098",0,"2,592,765","14,696,453","12,101,534","2,154",0,"14,694,299","2,154",0,0.85,"12,477,062","1,461,047","10,640,487",0.85,"12,477,147","46,686,697","48,719,745","12,103,688"
2887,台新金,Jun-23,"36,737,274","15,831,474","35,165,363",607,779,0,"10,662,926","1,778,239","8,884,687",0,0,0,"8,884,687","1,574,254","3,256,235",0,"4,830,489","13,715,176","8,882,957","1,730",0,"13,713,446","1,730",0,0.63,"12,477,062","968,680","7,914,277",0.63,"12,477,135","30,947,841","32,287,119","8,884,687"
2887,台新金,Mar-23,"19,222,653","7,749,025","16,722,904",-78,303,0,"5,954,930","890,513","5,064,417",0,0,0,"5,064,417","388,106","2,546,552",0,"2,934,658","7,999,075","5,064,440",-23,0,"7,999,098",-23,0,0.38,"11,974,148","481,664","4,582,776",0.38,"11,974,232","15,344,497","15,999,558","5,064,417"
2887,台新金,Dec-22,"66,442,470","29,199,606","46,391,786","6,313","-729,419",0,"17,649,319","2,793,426","14,855,893",0,0,0,"14,855,893","2,197,737","-8,877,100",0,"-6,679,363","8,176,530","14,863,852","-7,959",0,"8,184,398","-7,868",0,1.09,"11,974,148","1,845,528","13,018,324",1.09,"11,974,260","34,818,547","37,446,660","14,855,893"
2887,台新金,Sep-22,"47,402,064","21,716,175","31,342,666","6,353","-619,522",0,"10,932,447","2,668,722","8,263,725",0,0,0,"8,263,725","1,334,947","-10,761,065",0,"-9,426,118","-1,162,393","8,272,288","-8,563",0,"-1,153,830","-8,563",0,0.58,"11,974,148","1,353,160","6,919,128",0.58,"11,974,228","20,876,436","22,839,478","8,263,725"
2887,台新金,Jun-22,"30,976,832","14,189,195","18,851,396","6,634","-619,576",0,"6,112,974","1,642,408","4,470,566",0,0,0,"4,470,566","622,231","-8,283,327",0,"-7,661,096","-3,190,530","4,476,719","-6,153",0,"-3,184,377","-6,153",0,0.32,"11,409,383","871,527","3,605,192",0.32,"11,409,441","11,166,995","12,437,470","4,470,566"
2887,台新金,Mar-22,"16,611,041","7,058,926","8,772,602","3,689","-620,858",0,"2,934,805","793,660","2,141,145",0,0,0,"2,141,145","4,118,940","-3,644,254",0,"474,686","2,615,831","2,143,825","-2,680",0,"2,618,511","-2,680",0,0.15,"11,409,383","433,356","1,710,469",0.15,"11,409,454","4,989,279","5,624,433","2,141,145"
2887,台新金,Dec-21,"63,764,098","28,300,132","32,637,405","-3,546,984","52,794",0,"23,155,501","2,856,788","20,298,713",0,0,0,"20,298,713","623,679","-1,115,611",0,"-491,932","19,806,781","20,311,808","-13,095",0,"19,819,890","-13,109",0,1.63,"11,409,326","1,757,500","18,554,308",1.63,"11,409,448","31,432,516","33,821,064","20,298,713"
2887,台新金,Sep-21,"47,271,034","20,682,825","24,065,592","-3,550,653","121,024",0,"20,307,982","2,503,812","17,804,170",0,0,0,"17,804,170","-82,656","-1,131,796",0,"-1,214,452","16,589,718","17,814,200","-10,030",0,"16,599,748","-10,030",0,1.45,"11,409,306","1,314,514","16,499,686",1.45,"11,409,432","26,568,859","28,339,434","17,804,170"
2887,台新金,Jun-21,"28,045,246","13,287,150","15,524,335","-3,552,598",-216,0,"14,299,881","1,346,860","12,953,021",0,0,0,"12,953,021","-338,503","-473,662",0,"-812,165","12,140,856","12,960,190","-7,169",0,"12,148,025","-7,169",0,1.11,"10,913,506","871,527","12,088,663",1.11,"10,913,632","18,545,498","19,704,383","12,953,021"
2887,台新金,Mar-21,"11,984,967","6,493,813","7,746,906","446,321",11,0,"5,211,749","737,853","4,473,896",0,0,0,"4,473,896","440,957","-1,496,325",0,"-1,055,368","3,418,528","4,476,740","-2,844",0,"3,421,372","-2,844",0,0.37,"10,913,392","433,356","4,043,384",0.37,"10,913,494","7,399,789","7,982,060","4,473,896"
2887,台新金,Dec-20,"44,144,849","25,852,998","33,902,150","1,615,015",291,0,"16,431,128","1,942,301","14,488,827",0,0,0,"14,488,827","4,401","468,563",0,"472,964","14,961,791","14,493,422","-4,595",0,"14,966,281","-4,490",0,1.17,"10,908,623","1,757,500","12,735,922",1.17,"10,908,906","28,674,164","30,875,467","14,488,827"
2887,台新金,Sep-20,"33,765,912","18,899,215","26,031,078","1,296,572",291,0,"13,623,399","1,861,644","11,761,755",0,0,0,"11,761,755","-20,702","-83,260",0,"-103,962","11,657,793","11,763,254","-1,499",0,"11,659,162","-1,369",0,0.96,"10,907,085","1,315,724","10,447,530",0.96,"10,908,743","23,508,171","25,136,187","11,761,755"
2887,台新金,Jun-20,"21,738,391","12,310,996","18,085,675","972,766",0,0,"8,376,788","1,258,394","7,118,394",0,0,0,"7,118,394","144,449","-229,799",0,"-85,350","7,033,044","7,119,569","-1,175",0,"7,034,098","-1,054",0,0.57,"10,906,137","873,948","6,245,621",0.57,"10,910,141","15,715,968","16,789,249","7,118,394"
2887,台新金,Mar-20,"9,983,220","6,126,859","9,438,481","569,801",0,0,"3,152,827","593,053","2,559,774",0,0,0,"2,559,774","-673,674","-1,488,045",0,"-2,161,719","398,055","2,561,148","-1,374",0,"399,429","-1,374",0,0.2,"10,659,035","436,974","2,124,174",0.2,"10,663,329","7,348,428","7,871,016","2,559,774"
2887,台新金,Dec-19,"43,641,411","24,752,722","37,209,805","2,650,357",0,0,"16,273,574","1,787,643","14,485,931",0,0,0,"14,485,931","543,040","476,907",0,"1,019,947","15,505,878","14,488,021","-2,090",0,"15,507,543","-1,665",0,1.19,"10,655,976","1,819,579","12,668,442",1.19,"10,660,935","33,894,082","35,898,482","14,485,931"
2887,台新金,Sep-19,"32,996,799","17,951,350","27,758,092","2,058,351",0,0,"13,397,572","1,480,706","11,916,866",0,0,0,"11,916,866","351,785","474,081",0,"825,866","12,742,732","11,919,136","-2,270",0,"12,745,002","-2,270",0,0.99,"10,655,495","1,376,593","10,604,622",0.99,"10,727,325","26,690,420","28,180,848","11,916,866"
2887,台新金,Jun-19,"21,833,735","11,762,477","18,320,914","1,373,841",0,0,"9,373,339","1,152,928","8,220,411",0,0,0,"8,220,411","698,078","901,019",0,"1,599,097","9,819,508","8,220,360",51,0,"9,819,457",51,0,0.68,"10,655,112","933,607","7,348,832",0.68,"10,760,859","18,135,001","19,120,338","8,220,411"
