代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2887,台新金,23-Dec,"17,722,919","2,122,841","571,461","-9,365,368","-160,000",0,"-944,075","18,864","-2,055,740",0,"-7,952,343","4,995,997","-32,222","-6,457,333","80,598,219","74,140,886"
2887,台新金,23-Sep,"14,854,914","1,605,390","427,658","-17,749,818","-160,000",0,"-635,671","25,251","-1,371,348",0,"-7,952,343","3,672,754","-24,105","-15,472,517","80,598,219","65,125,702"
2887,台新金,23-Jun,"10,662,926","1,059,804","279,474","-30,347,947","-160,000",0,"-444,379","1,366","-947,988",0,0,"20,189,316","-26,826","-11,133,445","80,598,219","69,464,774"
2887,台新金,23-Mar,"5,954,930","528,778","126,283","-2,788,562",0,0,"-199,866",612,"-290,678",0,0,"11,262,824",-919,"8,182,665","80,598,219","88,780,884"
2887,台新金,22-Dec,"17,649,319","2,142,060","486,053","66,759,735","-10,000",0,"-4,840,848","6,240","-6,561,552","5,276,131","-8,660,177","-45,091,683","46,589","15,153,089","65,445,130","80,598,219"
2887,台新金,22-Sep,"10,932,447","1,606,142","356,900","33,000,858",0,0,"-807,448","5,516","-1,328,748","5,276,131","-8,660,177","-34,615,036","61,839","-2,881,087","65,445,130","62,564,043"
2887,台新金,22-Jun,"6,112,974","1,043,116","227,359","-4,163,740",0,0,"-411,989","3,968","-627,160",0,0,"-19,361,080","40,002","-24,111,978","65,445,130","41,333,152"
2887,台新金,22-Mar,"2,934,805","526,741","108,413","550,696",0,0,"-266,869","2,532","-304,543",0,0,"-4,624,865","62,306","-4,316,406","65,445,130","61,128,724"
2887,台新金,21-Dec,"23,155,501","1,946,858","441,690","63,156","-264,197","3,116,498","-1,036,271","11,138","-2,311,722",0,"-7,816,861","14,013,511",-592,"11,764,353","53,680,777","65,445,130"
2887,台新金,21-Sep,"20,307,982","1,438,605","331,970","-10,402,553",0,"3,116,498","-736,161","4,827","-1,606,151",0,"-1,757,500","7,954,683","-24,191","-4,078,212","53,680,777","49,602,565"
2887,台新金,21-Jun,"14,299,881","935,047","223,838","-21,028,064",0,"3,116,498","-427,890","4,823","-1,238,644",0,0,"14,992,476","-7,185","-7,281,417","53,680,777","46,399,360"
2887,台新金,21-Mar,"5,211,749","467,684","114,587","-15,358,503",0,0,"-230,777",100,"-359,824",0,0,"11,541,912","13,260","-4,163,155","53,680,777","49,517,622"
2887,台新金,20-Dec,"16,431,128","1,815,407","385,896","7,057,533",0,0,"-1,309,057","1,882","-2,265,417",0,"-7,849,089","-6,097,964","-13,606","-1,319,454","55,000,231","53,680,777"
2887,台新金,20-Sep,"13,623,399","1,352,720","275,296","3,984,218",0,0,"-914,280","1,648","-1,860,817",0,"-7,849,089","-4,714,713","-20,511","-2,611,823","55,000,230","52,388,407"
2887,台新金,20-Jun,"8,376,788","898,014","175,267","-23,168,791",0,0,"-602,988",15,"-1,286,555",0,0,"1,272,478","-48,836","-23,231,704","55,000,230","31,768,526"
2887,台新金,20-Mar,"3,152,827","442,618","79,970","-19,318,092",0,0,"-229,806",0,"-327,926",0,0,"20,937,860","2,179","1,294,021","55,000,230","56,294,251"
2887,台新金,19-Dec,"16,273,574","1,711,251","293,149","40,275,013","-10,000",0,"-1,009,039","38,099","-1,740,125",0,"-6,837,319","-10,136,477","-54,108","28,344,303","26,655,928","55,000,231"
2887,台新金,19-Sep,"13,397,572","1,274,718","215,710","6,326,603",0,0,"-806,848","35,922","-1,406,239",0,"-6,837,319","16,799,791","-330,995","21,389,160","26,655,928","48,045,088"
2887,台新金,19-Jun,"9,373,339","841,515","143,822","34,253,708",0,0,"-557,089","1,040","-821,151","-4,200,000",0,"-7,402,460","174,871","26,204,968","26,655,928","52,860,896"
