代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2887,台新金,Dec-23,"29,232,521","200,978,801","734,631,003","74,789,943","165,317,191",0,0,"147,149,191",0,"527,714","25,700,393","3,565,321","7,800,552","2,291,375","4,093,509","17,961,678","3,035,951,370",0,0,"65,303,086",0,,"16,732,526","39,299,694","3,907,323",0,0,0,"68,144,602","10,387,601","2,405,852","241,426,541","893,830",0,"1,383,817","2,819,388,897","124,770,618","11,000,000",0,0,0,"135,770,618","38,197,778","16,926,942","10,920,515","15,513,819","43,361,276","-794,452",0,"216,535,220",0,0,"27,253","216,562,473","3,035,951,370"
2887,台新金,Sep-23,"37,234,576","211,875,561","730,800,581","85,163,631","172,154,031",0,0,"133,270,249",0,"494,023","25,689,222","3,586,004","6,704,760","2,366,706","3,867,626","24,766,958","2,989,263,024",0,0,"69,805,976",0,,"23,114,684","45,896,502","2,425,046",0,0,0,"68,113,250","10,782,084","2,478,590","240,898,394","909,565",0,"1,797,088","2,779,625,546","124,770,618","11,000,000",0,0,0,"135,770,618","38,197,778","16,926,942","10,920,515","13,046,770","40,894,227","-5,253,037",0,"209,609,586",0,0,"27,892","209,637,478","2,989,263,024"
2887,台新金,Jun-23,"31,764,521","188,308,409","736,686,638","80,286,827","177,470,199",0,0,"138,935,799",0,"494,129","25,830,960","3,598,352","7,507,061","2,453,347","3,798,077","18,261,190","2,972,739,856",0,0,"55,191,382",0,,"22,105,950","48,027,865","2,838,659",0,0,0,"68,081,898","11,057,834","2,534,414","234,812,687","1,014,259",0,"1,500,480","2,764,083,655","119,741,476","11,000,000",0,"5,029,142",0,"135,770,618","38,197,778","16,926,942","10,920,515","9,765,376","37,612,833","-2,952,496",0,"208,628,733",0,0,"27,468","208,656,201","2,972,739,856"
2887,台新金,Mar-23,"34,189,578","165,329,849","722,900,910","74,779,767","148,426,536",0,0,"141,620,933",0,"341,247","25,910,106","3,496,754","7,711,646","2,512,364","3,804,678","13,931,289","2,892,397,609",0,0,"41,923,692",0,,"23,065,474","46,249,905","2,649,657",0,0,0,"68,050,887","12,018,491","2,630,458","229,172,477","1,152,538",0,"1,327,755","2,681,504,722","119,741,476","11,000,000",0,0,0,"130,741,476","38,197,778","15,244,071","8,698,118","22,263,404","46,205,593","-4,278,119",0,"210,866,728",0,0,"26,159","210,892,887","2,892,397,609"
2887,台新金,Dec-22,"31,549,218","153,775,905","642,508,812","76,900,485","153,714,625",0,"119,036","142,346,349",0,"341,325","26,025,852","3,530,907","8,025,525","2,282,006","3,811,280","16,965,759","2,764,804,547",0,0,"54,334,795",0,,"12,638,659","30,774,802","2,221,109",0,0,0,"68,020,216","12,265,346","2,360,330","224,439,809","1,137,219",0,"1,400,365","2,561,910,735","119,741,476","11,000,000",0,0,0,"130,741,476","38,197,778","15,244,071","8,698,118","17,279,705","41,221,894","-7,293,518",0,"202,867,630",0,0,"26,182","202,893,812","2,764,804,547"
2887,台新金,Sep-22,"34,438,618","202,763,049","556,695,496","87,225,291","160,401,991",0,"101,579","147,186,403",0,"339,420","22,317,604","3,466,048","7,685,319","2,321,804","2,846,087","31,243,663","2,745,394,188",0,0,"96,902,350",0,,"21,391,936","38,242,012","1,467,803",0,0,0,"74,788,863","12,868,085","2,422,368","222,167,871","1,168,960",0,"1,786,661","2,551,839,299","119,741,476","11,000,000",0,0,0,"130,741,476","38,197,778","15,244,071","8,698,118","10,425,821","34,368,010","-9,777,862",0,"193,529,402",0,0,"25,487","193,554,889","2,745,394,188"
2887,台新金,Jun-22,"26,905,832","158,305,803","537,916,328","98,801,698","165,907,526",0,"142,978","166,530,881",0,"339,374","22,257,627","3,283,959","7,808,707","2,438,809","2,850,263","26,417,751","2,633,695,947",0,0,"63,694,656",0,,"18,455,145","49,830,214","2,059,463",0,0,0,"74,759,587","11,867,764","2,540,434","214,714,468","1,157,309",0,"1,447,783","2,447,445,326","114,093,832","8,000,000",0,"5,647,644",0,"127,741,476","35,921,647","15,244,071","8,698,118","4,985,255","28,927,444","-6,367,843",0,"186,222,724",0,0,"27,897","186,250,621","2,633,695,947"
2887,台新金,Mar-22,"35,796,387","158,570,469","499,288,210","105,053,935","176,523,645",0,"95,232","178,613,162",0,"354,836","22,421,709","3,217,777","8,117,362","2,492,318","2,854,440","27,152,868","2,634,166,713",0,0,"54,196,233",0,,"19,190,480","33,672,833","2,576,741",0,0,0,"70,100,000","12,722,238","2,602,230","208,805,615","1,183,172",0,"1,747,115","2,433,449,554","114,093,832","8,000,000",0,0,0,"122,093,832","35,921,647","13,196,771","393,716","27,259,764","40,850,251","1,820,059",0,"200,685,789",0,0,"31,370","200,717,159","2,634,166,713"
2887,台新金,Dec-21,"27,561,283","150,375,077","461,273,302","104,505,779","180,655,171",0,"291,168","176,881,749",0,"351,147","22,469,854","3,284,761","8,325,121","2,573,461","2,858,617","13,902,250","2,512,560,489",0,0,"31,940,397",0,,"18,907,997","34,536,010","2,360,788",0,0,0,"70,100,000","12,867,620","2,653,717","200,846,734","1,127,500",0,"1,087,573","2,314,459,161","114,093,832","8,000,000",0,0,0,"122,093,832","35,921,647","13,196,771","393,716","25,110,517","38,701,004","1,350,795",0,"198,067,278",0,0,"34,050","198,101,328","2,512,560,489"
2887,台新金,Sep-21,"36,291,205","136,187,880","451,709,647","103,287,175","176,001,150",0,"289,877","169,362,515",0,"83,720","22,490,949","3,240,539","8,034,541","2,695,310","2,858,743","12,617,208","2,471,989,685",0,0,"29,672,485",0,,"21,201,291","43,397,897","2,044,509",0,0,0,"70,100,000","12,698,391","2,769,865","195,068,264","1,051,569",0,"1,126,336","2,277,105,420","114,093,832","8,000,000",0,0,0,"122,093,832","35,921,647","13,196,771","393,716","22,851,730","36,442,217","389,440",0,"194,847,136",0,0,"37,129","194,884,265","2,471,989,685"
