代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
5880,合庫金,23-Dec,0.39,0.69,7.66,7.66,13.8,29.13,29.13,1.17,15.41,-14.12,-14.12,-14.12,7.32,11.33,1854.48,94.88,5.12
5880,合庫金,23-Sep,0.33,0.46,6.58,6.58,9.24,32.56,32.56,1.36,17.42,-2.02,-2.02,-2.02,3.9,13.52,1884.35,94.96,5.04
5880,合庫金,23-Jun,0.22,0.41,4.34,4.34,8.29,32.42,32.42,1.41,27.56,5.23,5.23,5.23,7.44,9.84,1894.84,94.99,5.01
5880,合庫金,23-Mar,0.11,0.25,2.22,2.22,5.07,34.15,34.15,1.49,27.62,12.5,12.5,12.5,4.81,-3.44,1893.59,94.98,5.02
5880,合庫金,22-Dec,0.47,-0.18,8.98,8.98,-3.52,39.14,39.14,1.45,-2.26,-1.86,-1.86,-0.91,0.95,-9.11,1927.59,95.07,4.93
5880,合庫金,22-Sep,0.34,-0.5,6.81,6.81,-9.9,39.02,39.02,1.38,-5.64,-7.08,-7.08,-7.08,3.86,-14.15,2068.02,95.39,4.61
5880,合庫金,22-Jun,0.21,-0.4,4.11,4.11,-7.65,39.3,39.3,1.4,-10.1,-8.35,-8.35,-8.35,0.08,-14.81,1939.3,95.1,4.9
5880,合庫金,22-Mar,0.1,-0.05,1.85,1.85,-0.97,38.74,38.74,1.48,-11.17,-6.29,-6.29,-6.29,5.1,-0.24,1736.62,94.56,5.44
5880,合庫金,21-Dec,0.49,0.39,8.83,8.74,6.96,38.61,38.98,1.49,5.11,23.79,23.79,22.61,6.92,2.19,1725.54,94.52,5.48
5880,合庫金,21-Sep,0.39,0.35,6.88,6.88,6.1,39.62,39.62,1.51,9.0,32.91,32.91,32.91,7.81,3.78,1692.02,94.42,5.58
5880,合庫金,21-Jun,0.24,0.26,4.2,4.2,4.47,38.55,38.55,1.39,9.47,26.63,26.63,26.63,9.3,9.29,1635.86,94.24,5.76
5880,合庫金,21-Mar,0.11,0.08,2.0,2.0,1.44,36.72,36.72,1.29,14.99,16.4,16.4,16.4,11.22,6.14,1643.24,94.26,5.74
5880,合庫金,20-Dec,0.43,0.56,7.38,7.38,9.44,33.1,33.1,1.24,5.44,-2.71,-2.71,-2.71,10.9,4.75,1644.79,94.27,5.73
5880,合庫金,20-Sep,0.32,0.42,5.4,5.4,7.08,32.49,32.49,1.22,5.11,-6.28,-6.28,-6.28,8.72,4.32,1625.06,94.2,5.8
5880,合庫金,20-Jun,0.21,0.3,3.55,3.55,5.06,33.32,33.32,1.25,0.32,-5.19,-5.19,-5.19,8.07,4.03,1635.73,94.24,5.76
5880,合庫金,20-Mar,0.11,0.01,1.81,1.81,0.12,36.28,36.28,1.33,-7.34,0.94,0.94,0.94,4.58,2.91,1563.49,93.99,6.01
5880,合庫金,19-Dec,0.49,0.66,8.02,8.02,10.9,35.87,35.87,1.33,4.74,9.97,9.97,9.97,6.59,6.79,1548.02,93.93,6.07
5880,合庫金,19-Sep,0.37,0.54,6.08,6.08,8.93,36.44,36.44,1.26,3.71,4.99,4.99,4.99,5.1,5.25,1555.24,93.96,6.04
5880,合庫金,19-Jun,0.24,0.43,3.94,3.94,7.18,35.26,35.26,1.24,5.4,4.96,4.96,4.96,3.87,6.06,1570.81,94.01,5.99
