代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
5880,合庫金,Dec-23,"61,377,038","29,568,025","93,411,635","16,600",0,0,"22,074,663","4,196,448","17,878,215",0,0,0,"17,878,215","9,338,918","4,977,021",0,"14,315,939","32,194,154","17,263,694","614,521",0,"31,446,812","747,342",0,1.17,"14,709,382",0,"17,263,694",1.17,"14,709,502","83,523,205","86,172,118","17,878,215"
5880,合庫金,Sep-23,"46,039,962","21,986,327","68,819,141","14,671",0,0,"18,514,394","3,524,777","14,989,617",0,0,0,"14,989,617","3,923,846","2,126,297",0,"6,050,143","21,039,760","14,514,358","475,259",0,"20,678,478","361,282",0,0.99,"14,709,382",0,"14,514,358",0.99,"14,709,499","62,949,134","64,920,043","14,989,617"
5880,合庫金,Jun-23,"30,343,663","14,393,120","44,703,693","10,407",0,0,"12,117,978","2,281,354","9,836,624",0,0,0,"9,836,624","5,383,398","3,559,727",0,"8,943,125","18,779,749","9,525,438","311,186",0,"18,318,571","461,178",0,0.65,"14,709,382",0,"9,525,438",0.65,"14,709,480","40,215,032","41,518,328","9,836,624"
5880,合庫金,Mar-23,"14,747,394","7,081,168","21,439,906","5,501",0,0,"5,959,065","922,430","5,036,635",0,0,0,"5,036,635","3,671,920","2,780,214",0,"6,452,134","11,488,769","4,886,540","150,095",0,"11,211,838","276,931",0,0.35,"14,008,935",0,"4,886,540",0.35,"14,009,060","18,811,785","19,457,921","5,036,635"
5880,合庫金,Dec-22,"53,182,152","28,309,753","63,731,513","9,411",0,0,"24,386,344","3,569,052","20,817,292",0,0,0,"20,817,292","-8,255,445","-20,723,211",0,"-28,978,656","-8,161,364","20,248,985","568,307",0,"-7,180,682","-980,682",0,1.45,"14,008,935",0,"20,248,985",1.45,"14,009,082","50,354,215","52,860,514","20,817,292"
5880,合庫金,Sep-22,"39,211,294","20,592,390","44,107,715","8,185",0,0,"18,236,903","2,938,134","15,298,769",0,0,0,"15,298,769","-12,042,737","-25,499,368",0,"-37,542,105","-22,243,336","14,815,006","483,763",0,"-20,935,548","-1,307,788",0,1.06,"14,008,935",0,"14,815,006",1.06,"14,009,071","33,931,230","35,792,655","15,298,769"
5880,合庫金,Jun-22,"23,787,464","13,259,095","26,999,692","4,178",0,0,"11,117,536","1,769,458","9,348,078",0,0,0,"9,348,078","-7,907,396","-18,811,394",0,"-26,718,790","-17,370,712","9,025,164","322,914",0,"-16,403,092","-967,620",0,0.64,"14,008,935",0,"9,025,164",0.64,"14,009,050","19,458,793","20,684,899","9,348,078"
5880,合庫金,Mar-22,"11,556,147","6,513,875","12,467,292","2,842",0,0,"5,281,286","804,373","4,476,913",0,0,0,"4,476,913","1,202,899","-8,023,204",0,"-6,820,305","-2,343,392","4,297,777","179,136",0,"-1,998,784","-344,608",0,0.32,"13,600,908",0,"4,297,777",0.32,"13,601,048","8,708,922","9,312,803","4,476,913"
5880,合庫金,Dec-21,"54,412,693","27,667,803","49,330,655","11,040",0,0,"24,428,522","3,216,792","21,211,730",0,0,0,"21,211,730","5,952,148","-10,445,817",0,"-4,493,669","16,718,061","20,533,879","677,851",0,"16,509,912","208,149",0,1.51,"13,600,908",0,"20,533,879",1.51,"13,601,201","37,756,275","40,033,484","21,008,485"
5880,合庫金,Sep-21,"41,556,165","19,725,970","37,006,935","8,491",0,0,"19,508,794","3,044,893","16,463,901",0,0,0,"16,463,901","3,815,480","-5,680,961",0,"-1,865,481","14,598,420","15,882,952","580,949",0,"14,303,978","294,442",0,1.17,"13,600,908",0,"15,882,952",1.17,"13,601,080","29,555,549","31,249,745","16,463,901"
