代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2882,國泰金,23-Dec,0.41,1.66,7.29,7.29,29.19,16.94,16.94,3.24,-10.91,35.7,35.7,35.7,6.13,31.02,1498.5,93.74,6.26
2882,國泰金,23-Sep,0.48,0.72,9.21,9.21,13.9,24.64,24.64,2.68,-20.9,9.66,9.66,9.66,8.48,123.53,1781.65,94.69,5.31
2882,國泰金,23-Jun,0.27,1.02,4.96,4.96,18.92,20.33,20.33,1.2,-31.7,-33.04,-33.04,-33.04,9.72,59.63,1663.78,94.33,5.67
2882,國泰金,23-Mar,0.06,0.69,1.1,1.1,12.87,10.49,10.49,0.46,-48.2,-79.13,-79.13,-79.13,4.6,-9.26,1660.19,94.32,5.68
2882,國泰金,22-Dec,0.32,-2.59,4.98,4.98,-40.16,11.12,11.12,2.32,-45.45,-73.06,-73.06,-73.06,4.11,-33.08,1873.31,94.93,5.07
2882,國泰金,22-Sep,0.46,-4.74,8.93,8.93,-91.22,17.78,17.78,5.2,-35.83,-55.48,-55.48,-55.48,4.44,-64.76,3777.36,97.42,2.58
2882,國泰金,22-Jun,0.43,-3.56,7.22,7.22,-60.38,20.74,20.74,7.13,-31.23,-46.12,-46.12,-46.12,2.34,-49.7,2466.12,96.1,3.9
2882,國泰金,22-Mar,0.3,-1.26,4.09,4.09,-17.46,26.03,26.03,8.58,-30.34,-40.29,-40.29,-40.29,5.67,-11.33,1426.84,93.45,6.55
2882,國泰金,21-Dec,1.25,0.41,15.49,15.49,5.13,22.51,22.51,10.34,-0.63,85.48,85.48,85.48,5.88,1.02,1168.48,92.12,7.88
2882,國泰金,21-Sep,1.1,0.02,13.79,13.79,0.29,25.62,25.62,9.83,0.73,89.97,89.97,89.97,7.78,5.51,1208.44,92.36,7.64
2882,國泰金,21-Jun,0.82,0.27,10.16,10.16,3.29,26.47,26.47,9.88,7.67,179.85,179.85,179.85,9.39,14.0,1161.23,92.07,7.93
2882,國泰金,21-Mar,0.52,-0.35,6.51,6.51,-4.42,30.36,30.36,7.99,16.98,144.83,144.83,144.83,10.39,29.16,1181.28,92.2,7.8
2882,國泰金,20-Dec,0.72,1.49,9.01,9.01,18.52,12.06,12.06,5.41,13.32,18.95,18.95,18.95,8.79,15.7,1110.3,91.74,8.26
2882,國泰金,20-Sep,0.62,0.7,8.02,8.02,8.97,13.59,13.59,5.43,23.9,23.51,23.51,23.51,6.26,12.61,1180.82,92.19,7.81
2882,國泰金,20-Jun,0.32,0.34,4.17,4.17,4.39,10.18,10.18,4.41,32.26,-4.2,-4.2,-4.2,6.25,12.66,1214.32,92.39,7.61
2882,國泰金,20-Mar,0.23,-1.11,3.24,3.24,-15.41,14.51,14.51,5.33,29.58,73.53,73.53,73.53,5.19,1.28,1399.23,93.33,6.67
2882,國泰金,19-Dec,0.66,2.63,9.74,9.74,38.62,11.49,11.49,4.56,17.45,23.23,23.23,23.23,9.12,47.75,1187.1,92.23,7.77
2882,國泰金,19-Sep,0.54,2.35,8.27,8.27,35.69,13.63,13.63,3.63,6.67,-4.48,-4.48,-4.48,7.47,19.72,1257.33,92.63,7.37
2882,國泰金,19-Jun,0.36,2.02,5.56,5.56,31.18,14.06,14.06,3.68,-4.79,-5.22,-5.22,-5.22,5.74,16.52,1293.68,92.82,7.18
