代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2882,國泰金,Dec-23,"304,172,639","102,496,484","307,577,036","1,951,286","2,987,655",0,"58,469,289","6,955,472","51,513,817",0,0,0,"51,513,817","24,719,444","129,984,662",0,"154,704,106","206,217,923","50,928,865","584,952",0,"205,111,048","1,106,875",0,3.24,"14,669,210","3,390,924","47,537,941",3.24,"14,669,210","120,416,641","129,052,602","51,513,817"
2882,國泰金,Sep-23,"242,440,858","74,544,092","226,957,726","2,019,994","3,232,399",0,"71,002,195","11,258,258","59,743,937",0,0,0,"59,743,937","13,714,963","16,666,644",0,"30,381,607","90,125,544","59,251,994","491,943",0,"88,796,680","1,328,864",0,3.81,"14,669,210","3,390,924","55,861,070",3.81,"14,669,210","115,533,487","121,906,107","59,743,937"
2882,國泰金,Jun-23,"162,412,481","48,827,797","147,690,238","1,363,143","2,961,786",0,"38,663,586","5,645,798","33,017,788",0,0,0,"33,017,788","14,359,303","78,647,224",0,"93,006,527","126,024,315","32,495,667","522,121",0,"124,888,302","1,136,013",0,1.98,"14,669,210","3,390,924","29,104,743",1.98,"14,669,210","65,852,331","70,072,597","33,017,788"
2882,國泰金,Mar-23,"68,410,247","23,299,872","71,970,065","684,549","2,027,063",0,"7,237,424","64,040","7,173,384",0,0,0,"7,173,384","8,894,913","68,072,356",0,"76,967,269","84,140,653","7,009,028","164,356",0,"83,553,949","586,704",0,0.48,"14,669,210",0,"7,009,028",0.48,"14,669,210","19,694,223","21,798,909","7,173,384"
2882,國泰金,Dec-22,"341,433,658","88,610,281","250,519,506","2,265,986","10,365,022",0,"49,947,792","11,985,678","37,962,114",0,0,0,"37,962,114","-27,364,218","-316,952,156",0,"-344,316,374","-306,354,260","37,359,360","602,754",0,"-306,895,790","541,530",0,2.58,"13,189,758","3,390,924","33,968,436",2.58,"13,189,758","74,304,772","81,848,836","37,962,114"
2882,國泰金,Sep-22,"306,490,719","64,947,063","178,509,807","2,076,680","11,580,326",0,"70,841,106","16,361,774","54,479,332",0,0,0,"54,479,332","-26,096,478","-585,129,077",0,"-611,225,555","-556,746,223","53,893,886","585,446",0,"-557,663,371","917,148",0,3.83,"13,169,210","3,390,924","50,502,962",3.83,"13,169,210","85,171,294","90,642,805","54,479,332"
2882,國泰金,Jun-22,"237,796,265","42,013,962","112,786,175","1,243,451","10,495,640",0,"63,755,657","14,442,263","49,313,394",0,0,0,"49,313,394","-14,020,457","-447,500,378",0,"-461,520,835","-412,207,441","48,807,660","505,734",0,"-412,962,777","755,336",0,3.45,"13,169,210","3,390,924","45,416,736",3.45,"13,169,210","71,253,021","74,860,864","49,313,394"
2882,國泰金,Mar-22,"132,076,882","21,200,251","53,264,586","427,622","8,901,483",0,"39,808,433","5,433,150","34,375,283",0,0,0,"34,375,283","5,507,191","-186,612,183",0,"-181,104,992","-146,729,709","34,206,762","168,521",0,"-147,190,984","461,275",0,2.6,"13,169,210",0,"34,206,762",2.6,"13,169,210","43,030,584","44,817,145","34,375,283"
2882,國泰金,Dec-21,"625,962,605","85,543,474","207,813,024","1,806,724","37,416,140",0,"159,526,371","18,637,061","140,889,310",0,0,0,"140,889,310","12,252,780","-106,528,642",0,"-94,275,862","46,613,448","139,514,082","1,375,228",0,"45,166,120","1,447,328",0,10.34,"13,169,210","3,390,924","136,123,158",10.34,"13,169,210","172,457,234","179,855,029","140,889,310"
2882,國泰金,Sep-21,"477,589,050","62,572,371","154,940,407","1,615,912","31,759,336",0,"138,078,189","15,708,729","122,369,460",0,0,0,"122,369,460","3,430,177","-123,189,628",0,"-119,759,451","2,610,009","121,596,084","773,376",0,"1,895,415","714,594",0,8.98,"13,169,210","3,390,924","118,205,160",8.98,"13,169,210","147,845,211","153,276,828","122,369,460"
