代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2882,國泰金,Dec-23,"320,831,824","2,009,183,691","4,728,733,650","109,382,581","248,954,635",0,"5,788,596","876,261,075","1,109","34,212,316","109,370,464","49,669,714","74,165,978","5,556,600","461,686,710","66,946,615","12,811,120,326",0,0,"146,895,790",0,,"25,820,712","90,464,445","540,590",0,"2,038,001",0,"175,941,430","12,988,127","20,030,215","6,958,614,203","1,979,012",0,"49,491,154","12,009,674,674","146,692,102","15,333,000",0,0,0,"162,025,102","202,793,453","72,994,637","378,461,911","50,240,458","501,697,006","-78,460,876",0,"788,054,685",0,0,"13,390,967","801,445,652","12,811,120,326"
2882,國泰金,Sep-23,"309,038,429","1,907,776,389","4,803,998,449","100,904,717","237,017,722",0,"5,285,015","909,146,207","1,750","34,512,366","109,414,585","50,994,886","109,164,037","5,563,649","453,345,231","100,693,125","12,897,826,562",0,0,"265,212,124",0,,,"101,266,006","838,599",0,"5,675,255",0,"169,846,284","12,649,530","20,054,417","7,008,140,409",,0,"78,178,856","12,212,374,678","146,692,102","15,333,000",0,0,0,"162,025,102","202,839,654","72,994,637","378,461,911","57,567,710","509,024,258","-202,099,251",0,"671,789,763",0,0,"13,662,121","685,451,884","12,897,826,562"
2882,國泰金,Jun-23,"401,196,388","1,829,746,033","4,606,218,958","131,009,251","285,335,971",0,"4,214,082","973,682,497","4,424","33,419,101","109,118,831","50,731,867","85,632,719","5,472,836","452,088,622","85,062,353","12,709,227,302",0,0,"205,548,009",0,,,"114,947,266","1,685,618",0,"5,425,783",0,"141,100,000","12,908,519","19,806,827","6,927,295,200",,0,"55,148,923","11,988,660,214","146,692,102","15,333,000",0,0,0,"162,025,102","202,184,316","72,994,637","378,461,911","32,223,490","483,680,038","-140,685,484",0,"707,203,972",0,0,"13,363,116","720,567,088","12,709,227,302"
2882,國泰金,Mar-23,"424,399,997","1,762,976,288","4,480,740,539","110,913,646","215,802,304",0,"5,347,205","908,659,837","103,678","33,134,382","108,840,710","51,059,230","75,117,517","5,188,427","449,882,148","78,116,647","12,248,224,192",0,0,"128,793,295",0,,,"75,657,769","5,741,041",0,"3,436,279",0,"132,146,179","12,661,567","19,414,697","6,856,818,289",,0,"40,650,413","11,552,377,030","146,692,102","15,333,000",0,0,0,"162,025,102","215,335,184","73,747,059","150,768,651","237,313,217","461,828,927","-156,777,802",0,"682,411,411",0,0,"13,435,751","695,847,162","12,248,224,192"
2882,國泰金,Dec-22,"412,013,900","1,675,024,629","4,510,776,595","108,925,321","217,153,186",0,"5,158,702","929,052,914","29,891","32,883,301","108,550,891","51,636,617","89,895,981","4,833,197","448,140,598","100,135,437","12,070,885,583",0,0,"182,999,244",0,,"15,064,455","73,787,470","4,484,328",0,"3,716,091",0,"132,147,398","12,763,713","19,240,853","6,842,132,184",0,0,"49,779,071","11,459,177,548","146,692,102","15,333,000",0,0,0,"162,025,102","215,318,047","73,747,059","150,768,651","230,331,762","454,847,472","-233,350,281",0,"598,840,340",0,0,"12,867,695","611,708,035","12,070,885,583"
2882,國泰金,Sep-22,"192,327,910","1,658,155,436","3,584,483,630","96,304,264","209,371,204",0,"4,781,029","1,724,764,282","41,599","35,522,488","98,034,583","52,067,009","170,580,662","4,408,324","445,671,734","182,517,752","11,889,627,463",0,0,"348,140,012",0,,,"72,634,921","4,600,241",0,"5,847,890",0,"132,000,000","7,579,500","18,822,216","6,860,788,001",,0,"76,543,304","11,582,984,781","131,692,102","15,333,000",0,0,0,"147,025,102","177,122,144","73,747,059","150,768,651","253,586,831","478,102,541","-507,371,343",0,"294,878,444",0,0,"11,764,238","306,642,682","11,889,627,463"
2882,國泰金,Jun-22,"226,789,570","1,702,830,104","3,468,874,827","84,936,505","218,205,893",0,"4,489,884","1,728,060,166","32,786","34,888,255","97,695,894","51,475,684","105,357,439","4,390,689","440,912,033","114,230,147","11,583,284,097",0,0,"201,800,499",0,,,"127,916,024","4,493,448",0,"1,929,739",0,"138,063,726","679,975","18,649,387","6,705,974,983",,0,"34,508,670","11,131,891,514","131,692,102","15,333,000",0,0,0,"147,025,102","177,122,144","73,747,059","150,768,651","249,982,416","474,498,126","-359,066,334",0,"439,579,038",0,0,"11,813,545","451,392,583","11,583,284,097"
2882,國泰金,Mar-22,"305,927,286","1,949,246,982","3,377,099,687","83,786,095","199,416,417","271,823","4,351,337","1,674,631,985","251,542","32,868,933","98,209,962","51,451,553","70,558,482","4,503,718","433,854,059","91,729,918","11,709,048,814",0,0,"145,169,174",0,,,"75,034,091","7,520,698",0,"767,655",0,"142,360,991","1,822,066","14,714,418","6,586,034,465",,0,"33,691,684","10,942,169,778","131,692,102","15,333,000",0,0,0,"147,025,102","177,124,151","59,471,895","150,716,023","302,082,660","512,270,578","-81,692,906",0,"754,726,925",0,0,"12,152,111","766,879,036","11,709,048,814"
2882,國泰金,Dec-21,"467,635,057","1,929,395,229","3,266,686,240","103,508,739","205,480,862","283,087","4,164,103","1,626,821,625","500,642","32,614,572","97,852,266","51,543,583","63,746,198","4,362,776","432,525,464","58,477,264","11,594,361,461",0,0,"79,934,187",0,,"24,269,695","76,870,285","7,528,389",0,"20,956",0,"141,800,000","1,670,185","14,721,170","6,448,259,356",0,0,"52,976,726","10,680,322,734","131,692,102","15,333,000",0,0,0,"147,025,102","177,244,388","59,471,895","150,716,023","267,799,001","477,986,919","99,781,737",0,"902,038,146",0,0,"12,000,581","914,038,727","11,594,361,461"
2882,國泰金,Sep-21,"476,817,293","1,795,781,455","3,240,849,350","85,416,727","189,383,985",0,"4,328,319","1,662,374,427","244,235","32,795,562","99,276,642","52,106,253","64,875,910","4,221,277","429,598,353","54,113,144","11,383,850,222",0,0,"84,999,867",0,,,"107,446,145","7,711,939",0,"42,836",0,"141,800,000","1,288,320","14,663,920","6,349,029,048",,0,"52,441,937","10,513,817,017","131,692,102","15,333,000",0,0,0,"147,025,102","177,247,370","59,471,895","150,716,023","248,138,648","458,326,566","76,166,735",0,"858,765,773",0,0,"11,267,432","870,033,205","11,383,850,222"
2882,國泰金,Jun-21,"544,477,045","1,815,942,101","3,174,595,890","80,492,968","190,169,621",0,"4,318,128","1,588,241,683","129,913","33,204,066","99,362,398","52,646,092","67,992,966","4,168,739","429,841,499","55,706,122","11,318,443,471",0,0,"95,581,687",0,,,"157,844,631","15,557,668",0,"36,014",0,"141,800,000","1,962,265","14,486,802","6,279,543,571",,0,"60,297,442","10,421,026,919","131,692,102","15,333,000",0,0,0,"147,025,102","177,251,872","59,471,895","150,716,023","217,691,715","427,879,633","133,980,387",0,"886,136,994",0,0,"11,279,558","897,416,552","11,318,443,471"
2882,國泰金,Mar-21,"448,129,821","1,800,120,582","3,186,546,185","101,327,349","204,782,871",0,"4,309,641","1,571,029,708","146,269","33,444,362","98,352,016","53,569,485","60,913,785","4,145,216","422,266,940","73,047,890","11,080,841,580",0,0,"130,825,360",0,,,"84,660,437","29,534,698",0,"43,129",0,"147,300,000","819,855","14,395,259","6,220,022,671",,0,"46,046,042","10,216,016,505","131,692,102","15,333,000",0,0,0,"147,025,102","177,256,371","51,967,688","149,894,910","227,608,946","429,471,544","100,001,617",0,"853,754,634",0,0,"11,070,441","864,825,075","11,080,841,580"
