代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2889,國票金,23-Dec,0.69,1.79,5.47,5.47,14.25,35.07,35.06,0.58,21.63,50.33,50.33,50.38,1.56,15.72,645.85,86.59,13.41
2889,國票金,23-Sep,0.54,0.95,4.43,4.43,7.73,35.88,35.87,0.49,15.68,29.13,29.13,29.17,-1.61,19.65,679.86,87.18,12.82
2889,國票金,23-Jun,0.38,0.64,3.1,3.1,5.29,37.31,37.31,0.47,16.48,38.19,38.19,38.18,0.45,12.56,697.0,87.45,12.55
2889,國票金,23-Mar,0.19,0.41,1.62,1.62,3.4,38.35,38.35,0.43,14.65,34.92,34.92,34.92,6.39,1.69,720.09,87.81,12.19
2889,國票金,22-Dec,0.47,-0.91,3.83,3.83,-7.46,28.36,28.36,0.37,-42.61,-64.08,-64.08,-64.07,2.42,-4.57,749.86,88.23,11.77
2889,國票金,22-Sep,0.42,-1.22,3.65,3.65,-10.57,32.13,32.13,0.64,-39.36,-57.67,-57.67,-57.66,6.86,-12.65,848.36,89.46,10.54
2889,國票金,22-Jun,0.28,-0.83,2.32,2.32,-7.01,31.45,31.45,0.76,-41.47,-62.36,-62.36,-62.35,2.62,-11.55,793.07,88.8,11.2
2889,國票金,22-Mar,0.15,-0.42,1.18,1.18,-3.34,32.59,32.59,0.98,-45.08,-65.98,-65.98,-65.98,1.99,-0.07,683.87,87.24,12.76
2889,國票金,21-Dec,1.38,1.03,10.6,10.59,7.91,45.3,45.31,1.3,18.6,23.3,23.3,23.27,10.46,3.38,691.89,87.37,12.63
2889,國票金,21-Sep,1.08,0.85,8.23,8.23,6.43,46.02,46.03,1.29,23.42,25.79,25.79,25.76,12.3,5.28,675.16,87.1,12.9
2889,國票金,21-Jun,0.78,0.55,5.9,5.9,4.19,48.9,48.91,1.4,41.42,55.9,55.9,55.87,14.62,11.26,669.8,87.01,12.99
2889,國票金,21-Mar,0.47,0.06,3.54,3.54,0.46,52.61,52.61,1.44,92.07,227.14,227.14,227.14,14.89,10.52,668.06,86.98,13.02
2889,國票金,20-Dec,1.24,1.66,9.05,9.05,12.1,43.58,43.58,1.13,22.87,24.16,24.16,25.92,10.57,7.3,641.16,86.51,13.49
2889,國票金,20-Sep,0.96,1.22,6.95,6.95,8.86,45.16,45.16,1.03,17.35,15.92,15.92,17.96,5.15,4.67,626.72,86.24,13.76
2889,國票金,20-Jun,0.56,0.79,4.14,4.14,5.81,44.37,44.37,0.94,13.23,9.55,9.55,9.55,2.34,5.49,647.21,86.62,13.38
2889,國票金,20-Mar,0.16,-0.34,1.18,1.18,-2.49,30.89,30.89,0.85,-6.75,-34.54,-34.54,-34.54,4.92,2.88,638.81,86.46,13.54
2889,國票金,19-Dec,1.07,1.69,7.92,7.81,12.57,42.52,43.13,0.91,24.81,39.7,39.7,37.71,3.05,10.27,619.27,86.1,13.9
2889,國票金,19-Sep,0.86,1.57,6.44,6.33,11.73,44.93,45.72,0.9,23.82,43.6,43.6,41.07,3.82,11.08,623.43,86.18,13.82
2889,國票金,19-Jun,0.53,1.02,4.07,4.07,7.87,45.85,45.85,0.75,6.38,11.75,11.75,11.74,10.65,7.64,670.25,87.02,12.98
