代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2889,國票金,Dec-23,"7,094,310","3,885,166","5,951,243","-206,675",0,0,"3,152,009","665,018","2,486,991",0,0,0,"2,486,991","1,689,483","2,302,203",0,"3,991,686","6,478,677","2,000,270","486,721",0,"5,287,382","1,191,295",0,0.58,"3,447,384",0,"2,000,270",0.58,"3,447,384","7,830,296","8,090,408","2,487,759"
2889,國票金,Sep-23,"5,407,192","2,928,564","4,351,545","-150,298",0,0,"2,446,917","507,549","1,939,368",0,0,0,"1,939,368","1,059,655","389,806",0,"1,449,461","3,388,829","1,594,485","344,883",0,"2,630,081","758,748",0,0.46,"3,447,384",0,"1,594,485",0.46,"3,447,384","5,840,275","6,034,441","1,940,020"
2889,國票金,Jun-23,"3,589,984","1,892,556","2,823,541","-101,436",0,0,"1,687,615","348,142","1,339,473",0,0,0,"1,339,473","379,248","568,620",0,"947,868","2,287,341","1,124,147","215,326",0,"1,942,762","344,579",0,0.33,"3,447,384",0,"1,124,147",0.33,"3,447,384","3,856,471","3,985,419","1,339,473"
2889,國票金,Mar-23,"1,813,944","897,505","1,409,417","-52,131",0,0,"910,942","215,300","695,642",0,0,0,"695,642","-6,249","770,675",0,"764,426","1,460,068","605,589","90,053",0,"1,362,875","97,193",0,0.18,"3,447,384",0,"605,589",0.18,"3,447,384","1,961,965","2,026,244","695,642"
2889,國票金,Dec-22,"5,832,566","3,627,104","4,364,273","-228,387",0,0,"2,251,409","597,095","1,654,314",0,0,0,"1,654,314","88,299","-4,965,008",0,"-4,876,709","-3,222,395","1,287,976","366,338",0,"-3,415,272","192,877",0,0.41,"3,165,429",0,"1,287,976",0.41,"3,165,429","4,464,555","4,720,830","1,654,354"
2889,國票金,Sep-22,"4,674,290","2,713,965","3,032,680","-170,400",0,0,"1,981,170","479,298","1,501,872",0,0,0,"1,501,872","-106,142","-5,740,474",0,"-5,846,616","-4,344,744","1,199,334","302,538",0,"-4,357,434","12,690",0,0.38,"3,144,038",0,"1,199,334",0.38,"3,144,038","3,263,835","3,455,776","1,501,901"
2889,國票金,Jun-22,"3,082,047","1,820,946","1,861,457","-115,591",0,0,"1,264,791","295,474","969,317",0,0,0,"969,317","90,857","-3,989,398",0,"-3,898,541","-2,929,224","788,603","180,714",0,"-2,966,198","36,974",0,0.25,"3,142,337",0,"788,603",0.25,"3,142,337","1,869,597","1,997,013","969,346"
2889,國票金,Mar-22,"1,582,211","940,533","873,562","-62,362",0,0,"644,771","129,165","515,606",0,0,0,"515,606","46,083","-2,014,022",0,"-1,967,939","-1,452,333","405,728","109,878",0,"-1,455,563","3,230",0,0.14,"2,987,842",0,"405,728",0.14,"2,987,842","873,511","934,607","515,606"
2889,國票金,Dec-21,"10,163,867","4,517,024","3,435,284","-75,403",0,0,"5,495,755","890,705","4,605,050",0,0,0,"4,605,050","990,540","-2,155,681",0,"-1,165,141","3,439,909","3,883,865","721,185",0,"2,502,467","937,442",0,1.3,"2,987,509",0,"3,883,865",1.3,"2,987,509","6,241,726","6,456,528","4,603,977"
2889,國票金,Sep-21,"7,708,105","3,257,189","2,554,789","-32,507",0,0,"4,403,991","855,812","3,548,179",0,0,0,"3,548,179","736,339","-1,512,765",0,"-776,426","2,771,753","3,067,224","480,955",0,"2,119,710","652,043",0,1.03,"2,987,509",0,"3,067,224",1.03,"2,987,509","4,941,899","5,099,049","3,547,105"
2889,國票金,Jun-21,"5,265,616","2,136,257","1,683,800","-7,580",0,0,"3,143,292","567,933","2,575,359",0,0,0,"2,575,359","524,593","-1,272,334",0,"-747,741","1,827,618","2,284,495","290,864",0,"1,435,155","392,463",0,0.79,"2,886,482",0,"2,284,495",0.79,"2,886,482","3,501,536","3,607,004","2,574,775"
2889,國票金,Mar-21,"2,881,184","1,019,592","848,956","5,870",0,0,"1,881,587","365,820","1,515,767",0,0,0,"1,515,767","137,871","-1,456,614",0,"-1,318,743","197,024","1,363,572","152,195",0,"85,174","111,850",0,0.47,"2,886,482",0,"1,363,572",0.47,"2,886,482","2,067,820","2,120,998","1,515,767"
2889,國票金,Dec-20,"8,570,151","3,734,406","3,498,912","18,083",0,0,"4,742,741","1,007,822","3,734,919",0,0,0,"3,734,919","-74,366","1,336,346",0,"1,261,980","4,996,899","3,248,085","486,834",0,"4,505,763","491,136",0,1.12,"2,889,416",0,"3,248,085",1.12,"2,889,416","5,964,396","6,170,620","3,734,919"
2889,國票金,Sep-20,"6,245,396","2,644,435","2,635,071","61,319",0,0,"3,603,622","783,000","2,820,622",0,0,0,"2,820,622","-139,973","913,256",0,"773,283","3,593,905","2,466,881","353,741",0,"3,239,184","354,721",0,0.85,"2,890,401",0,"2,466,881",0.85,"2,890,401","4,618,965","4,771,365","2,820,622"
2889,國票金,Jun-20,"3,723,429","1,634,982","1,767,614","45,709",0,0,"2,155,183","503,282","1,651,901",0,0,0,"1,651,901","-74,482","743,022",0,"668,540","2,320,441","1,489,871","162,030",0,"2,148,785","171,656",0,0.52,"2,892,383",0,"1,489,871",0.52,"2,892,383","2,929,851","3,025,933","1,651,901"
2889,國票金,Mar-20,"1,500,079","770,827","901,483","40,058",0,0,"725,316","261,977","463,339",0,0,0,"463,339","-279,219","-1,163,411",0,"-1,442,630","-979,291","465,631","-2,292",0,"-897,921","-81,370",0,0.16,"2,848,065",0,"465,631",0.16,"2,848,065","1,151,039","1,197,855","463,339"
2889,國票金,Dec-19,"6,975,029","3,154,593","3,591,503","87,775",0,0,"3,571,292","563,042","3,008,250",0,0,0,"3,008,250","176,600","1,588,625",0,"1,765,225","4,773,475","2,629,834","378,416",0,"4,331,585","441,890",0,0.92,"2,843,856",0,"2,629,834",0.92,"2,843,856","5,366,871","5,571,998","2,966,125"
2889,國票金,Sep-19,"5,321,883","2,325,630","2,631,256","70,474",0,0,"2,853,365","420,093","2,433,272",0,0,0,"2,433,272","227,574","1,771,829",0,"1,999,403","4,432,675","2,125,139","308,133",0,"4,006,124","426,551",0,0.75,"2,842,453",0,"2,125,139",0.75,"2,842,453","4,180,644","4,334,871","2,391,147"
2889,國票金,Jun-19,"3,288,501","1,470,722","1,683,281","43,679",0,0,"1,778,766","270,884","1,507,882",0,0,0,"1,507,882","160,451","1,249,040",0,"1,409,491","2,917,373","1,352,690","155,192",0,"2,696,998","220,375",0,0.48,"2,811,533",0,"1,352,690",0.48,"2,811,533","2,610,539","2,711,868","1,507,831"
