代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2889,國票金,Dec-23,"3,287,831","156,055,499","699,366","13,803,428","38,404,206",0,48,"134,636,590",0,"5,833,790","7,039,021","257,608","421,013","116,249","405,724","5,019,090","363,920,403",0,0,"1,562,885",0,,"13,472,539","17,559,271","472,710",0,0,0,0,0,"115,129","1,715,641",,0,"38,040","315,127,815","34,473,840",0,0,0,0,"34,473,840","399,934","2,921,015","1,519,857","2,053,406","6,494,278","770,888",0,"42,138,940",0,0,"6,653,648","48,792,588","363,920,403"
2889,國票金,Sep-23,"3,523,308","153,567,520","699,366","14,342,428","37,542,313",0,"1,069","128,267,525",0,"5,813,223","7,048,319","255,428","746,434","129,578","406,379","4,643,643","354,655,878",0,0,"1,901,609",0,,"12,358,025","16,140,012","433,845",0,0,0,0,0,"128,126","1,727,727",,0,"32,028","309,179,239","34,473,840",0,0,0,0,"34,473,840","234,217","2,921,015","1,519,857","1,659,325","6,100,197","-1,492,332",0,"39,315,922",0,0,"6,160,717","45,476,639","354,655,878"
2889,國票金,Jun-23,"3,040,309","158,991,512","699,366","14,749,454","35,662,705",0,58,"121,730,882",0,"5,847,459","7,068,275","254,828","544,199","146,883","407,034","4,946,261","353,666,296",0,0,"1,787,483",0,,"15,003,534","18,507,706","512,116",0,0,0,0,0,"145,044","1,742,505",,0,"27,459","309,291,355","34,473,840",0,0,0,0,"34,473,840","234,005","2,921,015","1,519,857","1,124,861","5,565,733","-1,645,187",0,"38,628,391",0,0,"5,746,550","44,374,941","353,666,296"
2889,國票金,Mar-23,"3,470,106","173,351,624","699,488","11,766,279","31,474,719",0,56,"116,201,907",0,"5,897,592","7,240,866","256,940","475,744","147,192","264,820","4,799,695","357,844,285",0,0,"1,834,287",0,,"11,338,020","14,826,564","488,970",0,0,0,0,0,"144,898","1,742,288",,0,"25,388","314,209,537","34,473,840",0,0,0,0,"34,473,840","234,007","2,784,769","234,587","2,027,105","5,046,461","-1,705,802",0,"38,048,506",0,0,"5,586,242","43,634,748","357,844,285"
2889,國票金,Dec-22,"3,739,279","180,865,700",0,"7,286,049","25,000,980",0,0,"111,843,699",0,"5,900,861","7,260,430","259,646","566,832","147,693","265,260","4,455,761","358,338,860",0,0,"3,857,904",0,,"6,904,871","13,918,848","392,205",0,0,0,0,0,"145,693","1,742,267",,0,"28,814","316,174,186","34,473,840",0,0,0,0,"34,473,840","234,079","2,784,769","234,587","1,421,516","4,440,872","-2,463,088",0,"36,685,703",0,0,"5,478,971","42,164,674","358,338,860"
2889,國票金,Sep-22,"3,271,945","175,183,030",0,"9,925,428","28,976,131",0,44,"116,300,652",0,"5,860,197","7,422,870","253,954","714,921","162,767","127,458","4,613,980","360,442,706",0,0,"2,981,084",0,,"9,374,735","14,550,861","389,446",0,0,0,0,0,"160,028","1,964,350",,0,"27,559","322,435,672","31,473,840",0,0,0,0,"31,473,840","208,319","2,784,769","234,587","1,254,425","4,273,781","-3,238,159",0,"32,717,781",0,0,"5,289,253","38,007,034","360,442,706"
2889,國票金,Jun-22,"3,417,878","178,433,495",0,"12,541,227","32,325,756",0,18,"103,931,994",0,"6,009,703","7,447,766","246,493","429,969","163,731","127,689","4,300,798","352,070,049",0,0,"2,228,541",0,,"11,838,043","17,473,335","586,759",0,0,0,0,0,"159,898","1,986,204",,0,"20,332","312,647,714","29,975,086",0,0,"1,498,754",0,"31,473,840","208,101","2,784,769","234,587","845,490","3,864,846","-1,437,988",0,"34,108,799",0,0,"5,313,536","39,422,335","352,070,049"
2889,國票金,Mar-22,"3,134,626","157,453,180",0,"12,396,118","34,593,411",0,54,"109,223,766",0,"6,242,622","7,563,883","243,624","236,939","148,228","44,667","4,417,733","336,355,200",0,0,"2,276,140",0,,"12,586,674","15,135,692","805,986",0,0,0,0,0,"144,108","1,986,797",,0,"9,027","293,445,530","29,975,086",0,0,0,0,"29,975,086","208,461","2,397,742","234,587","4,298,944","6,931,273","453,355",0,"37,568,175",0,0,"5,341,495","42,909,670","336,355,200"
2889,國票金,Dec-21,"2,277,534","163,784,100",0,"12,270,591","34,115,876",0,54,"111,293,647",0,"6,415,079","7,576,526","246,351","125,110","155,561","44,734","7,860,931","349,885,764",0,0,"2,750,157",0,,"12,111,651","17,323,653","702,814",0,0,0,0,0,"151,627","2,015,991",,0,"231,006","305,701,954","29,975,086",0,0,0,0,"29,975,086","158,167","2,397,742","234,587","3,893,216","6,525,545","2,314,646","-106,346","38,867,098",0,0,"5,316,712","44,183,810","349,885,764"
2889,國票金,Sep-21,"2,255,561","152,351,429",0,"14,127,377","35,285,202",0,104,"116,290,294",0,"6,517,773","7,448,152","231,414","95,519","130,599","44,801","4,130,230","337,301,520",0,0,"2,150,034",0,,"12,850,679","18,854,477","733,032",0,0,0,0,0,"130,688","1,770,020",,0,"288,609","293,787,996","28,964,817",0,0,"1,010,269",0,"29,975,086","156,037","2,397,742","234,587","3,121,730","5,754,059","2,703,375","-106,346","38,482,211",0,0,"5,031,313","43,513,524","337,301,520"
2889,國票金,Jun-21,"2,792,201","142,263,811",0,"25,126,119","46,119,195",0,30,"119,767,056",0,"6,635,154","7,441,572","232,118","100,346","135,026","44,868","3,549,672","343,095,701",0,0,"5,286,014",0,,"24,462,727","29,065,810","757,376",0,0,0,0,0,"135,450","1,706,270",,0,"316,621","298,526,442","28,964,817",0,0,0,0,"28,964,817","156,037","2,074,646","234,587","5,551,487","7,860,720","2,798,641","-106,346","39,673,869",0,0,"4,895,390","44,569,259","343,095,701"
2889,國票金,Mar-21,"2,310,677","148,538,784",0,"16,271,118","35,915,868",0,26,"116,293,641",0,"6,645,469","7,470,905","237,966","97,748","129,288",0,"2,577,992","329,796,244",0,0,"2,137,562",0,,"16,626,652","19,711,808","931,711",0,0,0,0,0,"129,752","1,720,775",,0,"275,856","286,857,580","28,964,817",0,0,0,0,"28,964,817","156,037","2,074,646","234,587","4,595,843","6,905,076","2,404,304","-106,346","38,323,888",0,0,"4,614,776","42,938,664","329,796,244"
