代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2881,富邦金,Dec-23,"167,798,693","82,450,905","271,677,108","3,092,483","-592,811",0,"74,443,839","9,401,537","65,042,302",0,0,0,"65,042,302","7,109,109","188,860,383",0,"195,969,492","261,011,794","66,016,737","-974,435",0,"260,129,919","881,875",0,4.8,"13,014,973","3,515,980","62,500,757",4.8,"13,014,973","177,103,643","184,563,714","65,042,302"
2881,富邦金,Sep-23,"153,600,382","58,526,332","199,793,297","2,113,336","-389,137",0,"78,740,856","11,498,957","67,241,899",0,0,0,"67,241,899","6,556,796","120,967,186",0,"127,523,982","194,765,881","67,812,976","-571,077",0,"195,115,551","-349,670",0,4.94,"13,014,973","3,515,980","64,296,996",4.94,"13,014,973","152,598,009","158,083,066","67,241,899"
2881,富邦金,Jun-23,"98,159,695","37,347,098","128,295,020","1,318,637","154,297",0,"46,389,635","3,887,512","42,502,123",0,0,0,"42,502,123","7,982,817","149,765,556",0,"157,748,373","200,250,496","42,905,036","-402,913",0,"199,809,092","441,404",0,3.18,"12,395,213","3,515,980","39,389,056",3.18,"12,395,213","93,085,841","96,719,565","42,502,123"
2881,富邦金,Mar-23,"32,038,301","18,342,327","62,247,815","667,851","145,464",0,"14,023,883","151,093","13,872,790",0,0,0,"13,872,790","4,452,826","130,253,303",0,"134,706,129","148,578,919","13,983,146","-110,356",0,"147,507,517","1,071,402",0,1.13,"12,395,213",0,"13,983,146",1.13,"12,395,213","36,406,276","38,217,509","13,872,790"
2881,富邦金,Dec-22,"259,458,299","69,891,412","214,650,203","1,996,325","3,647,419",0,"60,945,652","13,081,160","47,864,492",0,0,0,"47,864,492","-9,992,027","-387,616,148",0,"-397,608,175","-349,743,683","46,925,627","938,865",0,"-343,795,843","-5,947,840",0,3.54,"12,395,213","3,026,121","43,899,506",3.54,"12,395,213","110,383,916","117,407,534","47,864,492"
2881,富邦金,Sep-22,"290,596,130","51,227,147","153,404,819","1,196,558","3,799,618",0,"104,808,711","19,802,461","85,006,250",0,0,0,"85,006,250","-12,621,320","-434,298,281",0,"-446,919,601","-361,913,351","83,713,989","1,292,261",0,"-354,742,885","-7,170,466",0,6.51,"12,395,213","3,026,121","80,687,868",6.51,"12,395,213","134,521,819","139,738,623","85,006,250"
2881,富邦金,Jun-22,"226,140,188","34,165,191","96,138,282","1,353,954","6,242,100",0,"87,230,927","16,947,189","70,283,738",0,0,0,"70,283,738","-9,603,381","-345,940,377",0,"-355,543,758","-285,260,020","69,403,891","879,847",0,"-280,033,247","-5,226,773",0,5.62,"11,804,964","3,026,121","66,377,770",5.62,"11,804,964","102,855,341","106,322,740","70,283,738"
2881,富邦金,Mar-22,"134,095,059","16,801,854","45,851,877","312,613","6,248,241",0,"57,557,418","10,576,794","46,980,624",0,0,0,"46,980,624","-610,211","-136,049,173",0,"-136,659,384","-89,678,760","46,477,062","503,562",0,"-87,667,526","-2,011,234",0,3.94,"11,804,964",0,"46,477,062",3.94,"11,804,964","64,496,555","66,249,781","46,980,624"
2881,富邦金,Dec-21,"485,832,177","71,872,868","168,724,610","1,579,969","10,055,561",0,"165,589,399","18,354,467","147,234,932",0,0,0,"147,234,932","4,761,591","13,800,019",0,"18,561,610","165,796,542","144,559,046","2,675,886",0,"165,196,199","600,343",0,12.49,"11,342,345","2,915,986","141,643,060",12.49,"11,342,345","190,842,356","197,492,373","147,503,670"
2881,富邦金,Sep-21,"380,040,341","51,071,766","124,557,261","1,883,969","9,895,178",0,"149,925,246","16,742,442","133,182,804",0,0,0,"133,182,804","460,797","-21,225,935",0,"-20,765,138","112,417,666","130,884,170","2,298,634",0,"112,292,718","124,948",0,11.38,"11,240,469","2,915,986","127,968,184",11.38,"11,240,469","168,579,766","173,536,386","133,182,804"
