代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2881,富邦金,23-Dec,"74,443,839","5,431,546","2,028,525","-84,891,250","-305,000","920,499","-4,434,888","28,048","-10,739,110",0,"-22,108,799","49,067,278","-5,680,537","-52,243,619","573,733,858","521,490,239"
2881,富邦金,23-Sep,"78,740,856","3,984,545","1,500,512","-100,414,828","-305,000",36,"-2,982,394","27,382","-9,074,722",0,"-22,108,799","54,126,527","1,950,291","-53,412,732","573,733,858","520,321,126"
2881,富邦金,23-Jun,"46,389,635","2,647,030","986,694","-233,982,745","-305,000",0,"-1,925,130","23,226","-7,512,061",0,0,"41,708,092","-440,026","-200,226,740","573,733,858","373,507,118"
2881,富邦金,23-Mar,"14,023,883","1,320,462","490,771","-143,262,033","-150,000",0,"-839,489",134,"-2,040,750",0,0,"25,409,619","-1,739,699","-121,632,863","573,733,858","452,100,995"
2881,富邦金,22-Dec,"60,945,652","5,236,626","1,786,992","145,228,247","-12,679,050",0,"-2,652,210","63,818","-41,361,231",0,"-44,343,497","-32,536,605","7,165,844","78,496,255","495,237,603","573,733,858"
2881,富邦金,22-Sep,"104,808,711","3,915,210","1,301,594","151,467,575","-12,626,762",0,"-1,704,172","18,146","-25,619,935",0,"-44,343,496","-35,331,385","9,733,458","100,249,713","503,419,124","603,668,837"
2881,富邦金,22-Jun,"87,230,927","2,605,961","861,438","38,751,702","-12,626,762",0,"-1,032,064","2,283","-23,682,971",0,0,"-27,420,771","4,992,632","-7,359,408","503,419,124","496,059,716"
2881,富邦金,22-Mar,"57,557,418","1,325,862","427,364","60,422,374","-5,094,959",0,"-466,652",64,"-7,238,095",0,0,"-3,336,892","3,499,282","53,346,669","503,419,124","556,765,793"
2881,富邦金,21-Dec,"165,589,399","5,077,748","1,572,269","32,446,471","-1,434,179","60,547","-2,870,841",475,"-11,253,959","52,230,080","-33,550,645","-4,974,958","-3,833,580","12,383,974","491,035,150","503,419,124"
2881,富邦金,21-Sep,"149,925,246","3,798,868","1,157,752","58,709,226","-693,564","60,547","-1,508,006",423,"-7,351,158","2,291,123","-33,550,645","-21,329,856","-2,572,292","27,455,920","491,035,150","518,491,070"
2881,富邦金,21-Jun,"103,177,069","2,486,608","751,690","-46,029,831","-151,818",0,"-1,002,931",243,"-3,306,406",0,0,"-18,372,355","-1,868,787","-69,577,379","491,035,150","421,457,771"
2881,富邦金,21-Mar,"59,750,607","1,167,488","362,577","-18,886,976",0,"1,579,343","-413,852",144,"-312,938",0,0,"7,996,463","-85,202","-11,288,653","491,035,150","479,746,497"
2881,富邦金,20-Dec,"103,127,912","4,917,836","1,371,160","50,868,295","-4,081,546",0,"-3,891,151","4,999","-67,201,747",0,"-23,383,194","19,175,484","-3,868,375","-1,026,343","492,061,493","491,035,150"
2881,富邦金,20-Sep,"78,238,057","3,655,499","1,005,617","58,237,782","-3,354,042",0,"-3,069,087","44,083","-63,625,062",0,"-23,383,194","-10,318,270","-3,512,900","-19,218,450","492,061,493","472,843,043"
2881,富邦金,20-Jun,"45,339,449","2,428,446","664,407","-98,159,180","-3,363,527",0,"-2,063,563","1,448","-35,013,565",0,0,"-9,694,361","-2,899,408","-145,766,514","492,061,493","346,294,979"
2881,富邦金,20-Mar,"25,820,334","1,226,965","335,276","-138,809,140","-2,008,000",0,"-443,749","4,214","-3,081,723",0,0,"-2,008,460","-275,487","-144,174,810","492,061,493","347,886,683"
2881,富邦金,19-Dec,"65,468,415","5,018,913","1,410,433","134,484,617","-509,000",0,"-2,094,255","90,311","-24,342,154",0,"-23,091,251","15,758,744","-4,492,048","121,409,159","370,652,334","492,061,493"
2881,富邦金,19-Sep,"63,263,147","3,815,598","1,063,097","-13,073,401","-7,000",0,"-1,364,374","11,040","-22,295,052",0,"-23,091,251","12,533,189","-766,303","-23,601,567","370,652,334","347,050,767"
2881,富邦金,19-Jun,"32,607,789","2,549,691","711,945","-28,564,558","-7,000",0,"-861,424","8,793","-22,179,419",0,0,"7,857,873","2,079,542","-40,806,562","370,652,334","329,845,772"
