代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2881,富邦金,Dec-23,"326,164,774","1,705,394,115","3,691,999,727","35,030,161","307,654,045",0,"3,067,000","621,848,355","15,581,070","57,824,186","68,834,664","33,446,190","51,437,518","13,009,645","304,228,110","55,073,833","11,106,312,242",0,0,"63,645,358",0,,"36,809,499","189,288,259","3,372,994",0,"10,117,852",0,"300,620,560","17,107,892","20,602,341","4,704,889,469","4,174,831",0,"41,351,343","10,289,706,417","130,149,732","15,999,900",0,0,0,"146,149,632","165,040,190","95,593,238","261,752,640","168,806,349","526,152,227","-34,904,796",0,"802,437,253",0,0,"14,168,572","816,605,825","11,106,312,242"
2881,富邦金,Sep-23,"291,155,379","1,498,955,737","3,852,305,863","62,014,991","292,002,798",0,"3,259,864","662,945,550","23,035,130","58,948,577","66,075,205","33,621,753","61,851,100","8,752,046","312,634,937","75,639,763","11,082,302,287",0,0,"120,141,601",0,,"35,596,748","169,523,453","3,651,903",0,"13,548,912",0,"306,401,315","18,396,478","20,351,091","4,759,869,364","4,048,659",0,"50,671,302","10,331,930,023","130,149,732","15,999,900",0,0,0,"146,149,632","165,051,911","95,593,238","261,752,640","170,433,707","527,779,585","-101,546,379",0,"737,434,749",0,0,"12,937,515","750,372,264","11,082,302,287"
2881,富邦金,Jun-23,"199,667,625","1,643,445,162","3,747,997,357","65,996,553","287,945,611","71,042","3,222,011","675,101,298","19,758,241","57,177,705","65,339,054","33,215,244","55,331,835","9,099,771","315,446,924","66,333,025","10,934,873,383",0,0,"96,487,234",0,,"46,618,316","195,878,151","5,119,963",0,"12,878,557",0,"284,790,186","17,555,808","20,735,710","4,724,516,798","4,041,424",0,"37,361,844","10,183,163,204","123,952,126","15,999,900",0,"6,197,606",0,"146,149,632","164,734,663","95,593,238","261,752,640","144,013,785","501,359,663","-68,934,675",0,"743,309,283",0,0,"8,400,896","751,710,179","10,934,873,383"
2881,富邦金,Mar-23,"226,605,917","1,506,673,721","3,731,520,474","47,762,545","242,158,990",0,"2,424,109","691,255,996","16,223,929","57,521,680","65,324,631","33,748,917","52,828,313","9,495,559","308,387,538","60,762,211","10,629,619,411",0,0,"65,132,202",0,,"31,857,724","149,615,542","7,509,250",0,"13,872,448",0,"263,590,565","21,268,809","21,023,974","4,690,937,510","3,967,715",0,"30,132,047","9,907,429,668","123,952,126","15,999,900",0,0,0,"139,952,026","170,933,870","90,913,681","30,311,999","373,521,891","494,747,571","-92,519,265",0,"713,114,202",0,0,"9,075,541","722,189,743","10,629,619,411"
2881,富邦金,Dec-22,"316,596,903","1,418,586,039","3,356,346,543","25,488,097","243,228,598",0,"2,262,308","961,531,664","19,304,960","57,812,659","65,272,146","34,192,088","74,819,172","9,974,378","305,826,478","56,193,707","10,587,756,710",0,0,"87,590,556",0,,"19,777,031","171,470,259","6,390,844",0,"12,922,639",0,"257,381,535","13,696,500","21,792,236","4,710,169,640","3,641,793",0,"32,848,412","10,014,147,503","123,952,126","15,999,900",0,0,0,"139,952,026","171,017,736","90,913,681","30,311,999","359,918,631","481,144,311","-226,423,522",0,"565,690,551",0,0,"7,918,656","573,609,207","10,587,756,710"
2881,富邦金,Sep-22,"286,678,955","1,441,170,683","3,428,987,355","49,287,344","232,789,775","328,507","2,094,486","993,789,312","18,286,026","54,931,115","65,216,025","33,768,312","85,233,562","10,159,243","303,165,485","85,567,825","10,722,331,438",0,0,"200,864,835",0,,"30,692,927","161,472,416","7,248,788",0,"22,669,172",0,"259,508,764","6,198,470","21,832,671","4,734,106,782","3,440,198",0,"43,425,926","10,149,204,728","123,952,126","15,999,900",0,0,0,"139,952,026","168,792,297","90,913,681","30,311,999","396,053,278","517,278,958","-273,967,761",0,"552,055,520",0,0,"21,071,190","573,126,710","10,722,331,438"
2881,富邦金,Jun-22,"246,959,132","1,420,244,599","3,272,791,187","69,706,317","258,356,081",0,"1,792,148","1,068,282,852","11,418,211","55,289,134","64,992,481","33,860,627","56,584,568","10,497,407","305,160,279","59,309,293","10,471,072,007",0,0,"116,134,001",0,,"31,992,044","207,671,897","8,719,744",0,"13,756,008",0,"260,322,456","1,289,017","22,052,421","4,656,631,031","3,423,888",0,"21,366,158","9,824,835,733","118,049,644","15,999,900",0,"5,902,482",0,"139,952,026","168,823,026","90,913,681","30,311,999","382,137,112","503,362,792","-185,341,957",0,"626,795,887",0,0,"19,440,387","646,236,274","10,471,072,007"
2881,富邦金,Mar-22,"258,226,283","1,515,657,072","3,231,623,910","68,754,180","252,454,394",0,"1,606,927","1,115,669,426","6,688,536","45,283,905","65,115,891","34,351,143","34,218,370","10,229,800","304,991,193","58,070,970","10,577,255,212",0,0,"91,996,865",0,,"51,784,202","160,745,305","21,303,783",0,"9,742,675",0,"261,026,101","1,984,249","21,687,452","4,577,184,522","3,398,284",0,"19,774,146","9,683,239,283","118,049,644","15,999,900",0,0,0,"134,049,544","173,404,074","76,665,185","29,125,366","419,504,008","525,294,559","29,197,798",0,"861,945,975",0,0,"32,069,954","894,015,929","10,577,255,212"
2881,富邦金,Dec-21,"284,688,160","1,608,926,656","3,171,801,140","36,864,077","255,321,792",0,"1,739,474","1,079,516,442","3,074,240","35,937,490","65,372,933","33,848,605","32,087,405","10,051,706","303,052,029","74,529,942","10,499,733,326",0,0,"45,082,336",0,,"42,559,035","196,749,294","18,076,996",0,"9,956,216",0,"266,168,615","1,270,866","21,477,286","4,485,442,224","3,046,625",0,"27,306,911","9,515,890,829","118,049,644","15,999,900",0,0,0,"134,049,544","173,363,019","76,665,185","29,125,366","372,901,683","478,692,234","163,464,512",0,"949,569,309",0,0,"34,273,188","983,842,497","10,499,733,326"
2881,富邦金,Sep-21,"267,787,048","1,487,179,589","3,142,435,205","115,564,664","291,235,674",0,"1,531,182","924,567,203","3,256,476","35,243,771","65,625,048","33,553,708","30,849,378","10,938,489","301,552,629","56,308,460","10,158,283,533",0,0,"41,936,494",0,,"61,537,402","173,540,916","17,341,221",0,"12,602,099",0,"266,360,006","2,903,772","21,495,827","4,425,590,777","2,918,116",0,"24,186,447","9,279,244,531","112,569,644","12,666,600","2,291,123",0,0,"127,527,367","129,550,548","76,665,185","29,125,366","359,386,223","465,176,774","124,075,045","-722,690","845,607,044",0,0,"33,431,958","879,039,002","10,158,283,533"
2881,富邦金,Jun-21,"237,501,896","1,617,960,990","3,059,860,795","73,533,741","250,407,778","139,999","1,512,670","916,248,293","3,836,320","35,643,484","64,120,751","33,609,636","30,678,628","8,446,921","304,911,051","56,436,183","9,992,413,269",0,0,"52,895,186",0,,"94,024,878","239,484,693","15,613,214",0,"10,457,162",0,"261,357,264","1,569,322","21,633,682","4,393,395,351","2,891,660",0,"26,913,345","9,115,658,157","102,336,040","12,666,600",0,"10,233,604",0,"125,236,244","128,594,028","76,665,185","29,125,366","315,329,348","421,119,899","168,144,626","-698,392","842,396,405",0,0,"34,358,707","876,755,112","9,992,413,269"
2881,富邦金,Mar-21,"270,358,909","1,549,425,810","2,899,062,876","93,427,886","271,173,288",0,"1,686,166","860,614,685","4,539,498","34,747,640","65,091,234","33,409,872","25,045,827","7,993,449","304,539,113","54,823,914","9,698,222,622",0,0,"50,479,217",0,,"64,346,510","162,529,008","19,306,176",0,"9,269,129",0,"266,181,133","1,342,788","22,233,131","4,355,961,172","2,903,224",0,"22,129,226","8,845,558,110","102,336,040","12,666,600",0,0,0,"115,002,640","137,668,649","68,437,923","31,566,980","319,569,145","419,574,048","145,208,491","-680,246","816,773,582",0,0,"35,890,930","852,664,512","9,698,222,622"
