代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2888,新光金,Dec-23,"25,405,384","29,510,045","131,452,391","-184,022","-3,555,020",0,"-12,707,748","-5,383,443","-7,324,305",0,0,0,"-7,324,305","14,749,210","26,279,343",0,"41,028,553","33,704,248","-7,409,239","84,934",0,"33,602,946","101,302",0,-0.48,"15,487,622",0,"-7,409,239",-0.48,"15,487,622","4,907,560","7,132,014","-7,474,312"
2888,新光金,Sep-23,"30,267,206","21,081,840","98,112,574","-173,165","-2,431,574",0,"-1,492,615","-799,402","-693,213",0,0,0,"-693,213","10,213,506","8,832,425",0,"19,045,931","18,352,718","-769,293","76,080",0,"18,261,867","90,851",0,-0.05,"15,487,619",0,"-769,293",-0.05,"15,487,619","11,319,490","12,981,534","-693,213"
2888,新光金,Jun-23,"16,875,205","13,943,426","64,664,033","-133,391","-793,087",0,"-9,062,635","-2,730,930","-6,331,705",0,0,0,"-6,331,705","10,376,658","20,339,195",0,"30,715,853","24,384,148","-6,384,486","52,781",0,"24,320,831","63,317",0,-0.41,"15,487,618",0,"-6,384,486",-0.41,"15,487,618","-712,702","387,843","-6,331,705"
2888,新光金,Mar-23,"4,179,720","6,373,196","32,078,412","-104,621","3,857",0,"-11,351,764","-2,323,288","-9,028,476",0,0,0,"-9,028,476","9,236,925","12,954,621",0,"22,191,546","13,163,070","-9,052,578","24,102",0,"13,137,468","25,602",0,-0.58,"15,487,618",0,"-9,052,578",-0.58,"15,487,618","-7,308,618","-6,758,061","-9,028,476"
2888,新光金,Dec-22,"100,907,716","27,128,412","120,790,174","-283,838","6,759,503",0,"4,705,240","2,536,552","2,168,688",0,0,0,"2,168,688","-9,209,233","-49,971,478",0,"-59,180,711","-57,012,023","2,086,636","82,052",0,"-57,078,146","66,123",0,0.1,"15,086,800","527,850","1,558,786",0.1,"15,087,004","13,519,702","15,693,161","2,029,064"
2888,新光金,Sep-22,"107,980,632","20,494,892","88,427,434","-211,554","7,012,210",0,"15,998,063","5,621,465","10,376,598",0,0,0,"10,376,598","-7,147,363","-95,783,775",0,"-102,931,138","-92,554,540","10,305,669","70,929",0,"-92,619,049","64,509",0,0.65,"14,951,726","527,850","9,815,722",0.63,"15,496,085","21,221,572","22,833,835","10,376,598"
2888,新光金,Jun-22,"76,366,361","13,341,295","57,312,162","-139,993","6,698,925",0,"4,301,800","1,385,923","2,915,877",0,0,0,"2,915,877","4,777,878","-71,989,636",0,"-67,211,758","-64,295,881","2,864,701","51,176",0,"-64,336,465","40,584",0,0.16,"14,679,339","527,850","2,362,111",0.16,"15,225,735","7,220,852","8,297,389","2,915,877"
2888,新光金,Mar-22,"49,142,735","6,633,737","27,917,125","-111,310","6,297,878",0,"5,369,965","1,893,175","3,476,790",0,0,0,"3,476,790","7,855,736","-28,318,555",0,"-20,462,819","-16,986,029","3,458,111","18,679",0,"-17,000,188","14,159",0,0.24,"14,202,623",0,"3,470,897",0.24,"14,722,828","6,695,199","7,231,668","3,476,790"
2888,新光金,Dec-21,"216,512,146","29,410,903","108,110,074","-214,840","26,086,042",0,"18,441,707","-4,288,783","22,730,490",0,0,0,"22,730,490","9,560,273","-14,926,305",0,"-5,366,032","17,364,458","22,652,742","77,748",0,"17,281,154","83,304",0,1.67,"13,402,999","261,450","22,456,450",1.59,"14,087,821","23,574,201","25,647,158","22,730,490"
2888,新光金,Sep-21,"170,281,486","20,869,898","80,353,745","-129,343","19,111,687",0,"17,604,233","-4,050,952","21,655,185",0,0,0,"21,655,185","2,102,238","-19,200,159",0,"-17,097,921","4,557,264","21,597,251","57,934",0,"4,492,232","65,032",0,1.62,"13,172,894","261,450","21,385,343",1.54,"13,873,488","21,459,253","23,028,521","21,655,185"
2888,新光金,Jun-21,"114,706,740","13,429,063","53,077,593","-87,595","16,890,686",0,"10,363,395","-3,253,164","13,616,559",0,0,0,"13,616,559","7,421,863","-15,136,803",0,"-7,714,940","5,901,619","13,585,565","30,994",0,"5,864,153","37,466",0,1.04,"13,016,113",0,"13,618,389",1.0,"13,683,283","12,941,348","13,980,997","13,616,559"
2888,新光金,Mar-21,"56,443,773","6,324,948","26,421,318","-13,039","9,610,613",0,"9,279,013","-160,207","9,439,220",0,0,0,"9,439,220","3,803,840","-24,074,299",0,"-20,270,459","-10,831,239","9,424,790","14,430",0,"-10,843,354","12,115",0,0.72,"13,011,785",0,"9,441,105",0.69,"13,679,033","10,583,070","11,099,887","9,439,220"
2888,新光金,Dec-20,"268,137,149","26,964,490","106,593,007","-191,682","37,836,265",0,"8,492,051","-5,967,208","14,459,259",0,0,0,"14,459,259","-9,817,590","2,656,834",0,"-7,160,756","7,298,503","14,385,587","73,672",0,"7,232,559","65,944",0,1.12,"12,836,669","33,732","14,417,680",1.07,"13,503,744","14,799,440","16,803,066","14,459,259"
2888,新光金,Sep-20,"217,438,240","19,892,876","80,271,333","-120,525","32,053,527",0,"14,058,047","-3,645,289","17,703,336",0,0,0,"17,703,336","-13,028,054","-5,848,474",0,"-18,876,528","-1,173,192","17,645,328","58,008",0,"-1,218,391","45,199",0,1.38,"12,782,108","33,732","17,660,799",1.3,"13,540,594","19,016,222","20,502,859","17,703,336"
2888,新光金,Jun-20,"148,968,737","13,174,627","53,810,486","-63,855","21,701,100",0,"4,945,295","-2,881,039","7,826,334",0,0,0,"7,826,334","256,203","-10,321,636",0,"-10,065,433","-2,239,099","7,786,165","40,169",0,"-2,265,503","26,404",0,0.61,"12,678,999","33,732","7,785,057",0.58,"13,315,611","8,445,932","9,420,891","7,826,974"
2888,新光金,Mar-20,"69,434,401","6,195,262","27,198,758","-30,657","15,191,754",0,"6,068,714","-1,559,506","7,628,220",0,0,0,"7,628,220","-15,218,006","-36,958,856",0,"-52,176,862","-44,548,642","7,618,988","9,232",0,"-44,545,728","-2,914",0,0.61,"12,565,922",0,"7,635,256",0.58,"13,109,913","7,949,147","8,420,909","7,628,220"
2888,新光金,Dec-19,"279,245,026","25,874,694","112,980,638","-127,647","9,889,007",0,"18,629,517","-1,271,765","19,901,282",0,0,0,"19,901,282","7,519,083","22,822,073",0,"30,341,156","50,242,438","19,833,125","68,157",0,"50,179,882","62,556",0,1.61,"12,315,347",0,"19,898,176",1.54,"12,951,920","26,408,384","28,261,182","19,901,282"
2888,新光金,Sep-19,"204,902,924","18,707,879","84,578,374","-58,136","8,487,779",0,"22,600,148","2,461,427","20,138,721",0,0,0,"20,138,721","3,800,244","20,964,320",0,"24,764,564","44,903,285","20,085,715","53,006",0,"44,857,195","46,090",0,1.64,"12,230,904",0,"20,134,306",1.56,"12,867,313","28,447,166","29,826,249","20,138,721"
2888,新光金,Jun-19,"135,953,298","12,502,619","55,953,492","-34,061","8,489,472",0,"12,936,804","1,889,093","11,047,711",0,0,0,"11,047,711","12,064,781","21,629,982",0,"33,694,763","44,742,474","11,009,057","38,654",0,"44,700,266","42,208",0,0.9,"12,225,922",0,"11,041,230",0.86,"12,859,898","16,806,752","17,709,048","11,047,711"
