代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2888,新光金,Dec-23,"96,287,188","441,196,868","2,558,119,335","35,144,797","97,194,147","8,468,595","901,837","321,405,323",0,"2,757,344","39,598,442","3,858,111","44,114,442","4,428,974","191,823,609","33,359,138","4,953,494,191",0,0,"19,530,993",0,,"24,684,155","46,255,954","640,871",0,0,0,"75,352,943","2,221,898","10,650,474","3,290,657,708",0,0,"16,696,064","4,707,413,885","154,876,290","2,970,000",0,0,0,"157,846,290","18,623,914","10,322,728","83,171,578","-4,693,390","88,800,916","-19,623,795",0,"245,647,325",0,0,"432,981","246,080,306","4,953,494,191"
2888,新光金,Sep-23,"58,139,480","401,500,591","2,659,448,658","29,850,958","85,278,982","8,774,302","771,592","334,606,770",0,"2,736,139","39,962,546","3,776,328","44,646,076","4,566,132","184,856,227","61,332,105","4,942,995,498",0,0,"62,004,291",0,,"18,192,161","42,149,261","585,500",0,0,0,"64,833,691","3,932,629","11,476,156","3,336,809,521",0,0,"18,690,121","4,712,250,418","154,876,182","2,970,000",108,0,0,"157,846,290","18,623,914","10,322,728","83,171,578","203,399","93,697,705","-39,845,359",0,"230,322,550",0,0,"422,530","230,745,080","4,942,995,498"
2888,新光金,Jun-23,"68,038,730","429,636,780","2,597,775,141","36,482,091","98,816,784","9,168,200","1,008,493","355,909,930",0,"2,819,775","39,949,644","3,720,999","37,501,437","4,604,421","183,514,839","59,665,997","4,949,155,203",0,0,"59,934,522",0,,"27,768,633","51,881,393","1,112,404",0,0,0,"64,814,611","3,968,048","11,452,855","3,312,960,623",0,0,"11,125,408","4,712,379,543","154,876,182","2,970,000",0,0,0,"157,846,182","18,623,172","10,322,728","83,171,578","-5,610,907","87,883,399","-27,972,089",0,"236,380,664",0,0,"394,996","236,775,660","4,949,155,203"
2888,新光金,Mar-23,"56,994,181","426,036,742","2,568,596,070","29,696,578","82,606,193","9,390,368","851,684","356,750,711",0,"2,645,505","39,952,743","3,641,330","38,466,182","4,735,877","184,070,546","46,180,944","4,834,935,973",0,0,"42,498,866",0,,"18,650,927","41,110,498","1,159,323",0,0,0,"58,000,000","3,594,588","11,531,360","3,292,805,745",0,0,"11,217,446","4,609,643,201","154,876,182","2,970,000",0,0,0,"157,846,182","18,276,795","10,079,100","42,221,858","32,262,956","84,563,914","-35,828,362",0,"224,858,529",0,0,"434,243","225,292,772","4,834,935,973"
2888,新光金,Dec-22,"99,630,609","399,448,996","2,580,982,063","23,586,578","72,658,678","9,588,103","625,425","344,283,669",0,"2,602,166","40,024,404","3,547,115","38,641,123","4,660,954","184,130,015","48,927,221","4,850,699,248",0,0,"51,259,977",0,,"14,209,693","38,681,338","1,114,945",0,0,0,"58,000,000","3,324,591","11,605,381","3,294,706,402",0,0,"10,821,321","4,638,569,546","154,876,182","2,970,000",0,0,0,"157,846,182","18,276,795","10,079,100","42,221,858","41,193,349","93,494,307","-57,896,223",0,"211,721,061",0,0,"408,641","212,129,702","4,850,699,248"
2888,新光金,Sep-22,"79,420,544","380,087,115","2,516,730,310","29,171,915","78,798,267","8,927,100","376,778","428,203,120",0,"2,695,469","40,021,240","3,431,202","46,180,359","4,694,420","187,469,872","87,970,997","4,860,992,303",0,0,"101,667,364",0,,"19,718,322","42,410,333","1,087,260",0,0,0,"62,938,037","2,961,891","12,262,232","3,325,030,701",0,0,"11,370,160","4,684,405,118","154,876,182","2,970,000",0,0,0,"157,846,182","18,276,795","10,079,100","42,221,858","49,234,286","101,535,244","-101,478,063",0,"176,180,158",0,0,"407,027","176,587,185","4,860,992,303"
2888,新光金,Jun-22,"90,844,060","400,516,314","2,366,228,011","44,399,637","98,329,055","9,243,779","888,154","472,177,971",0,"2,694,845","40,359,364","3,371,655","45,200,900","4,697,075","187,745,559","52,431,888","4,765,860,700",0,0,"55,375,031",0,,"36,343,528","67,175,763","1,249,611",0,0,0,"60,125,394","3,335,050","12,186,437","3,253,959,616",0,0,"11,461,647","4,561,014,939","154,876,182","2,970,000",0,0,0,"157,846,182","18,276,712","10,079,100","42,221,858","42,579,296","94,880,254","-66,540,489",0,"204,462,659",0,0,"383,102","204,845,761","4,765,860,700"
2888,新光金,Mar-22,"85,849,974","492,665,832","2,258,183,679","36,496,561","90,732,402","9,298,033","661,978","493,873,977",0,"2,726,187","40,377,175","3,382,749","37,001,770","4,824,443","188,220,784","51,117,929","4,750,663,875",0,0,"44,278,314",0,,"24,224,874","48,954,589","2,158,552",0,0,0,"55,112,920","5,459,330","12,202,388","3,208,107,430",0,0,"11,414,642","4,503,760,765","141,459,649","2,970,000","646,144",0,0,"145,075,793","18,996,853","7,800,692","40,713,804","53,900,133","102,414,629","-20,010,737",0,"246,476,538",0,0,"426,572","246,903,110","4,750,663,875"
2888,新光金,Dec-21,"85,239,730","531,997,353","2,200,258,070","35,878,508","89,059,843","9,298,033","563,416","469,724,430",0,"2,619,387","40,079,679","3,423,725","35,046,207","4,918,492","182,591,193","38,813,197","4,685,262,887",0,0,"10,982,773",0,,"26,161,927","57,626,292","2,118,563",0,0,0,"55,900,638","783,962","7,534,691","3,137,944,413",0,0,"10,947,480","4,421,880,510","140,417,721","2,970,000","1,041,928",0,0,"144,429,649","19,136,235","7,800,692","40,713,804","49,821,487","98,335,983","1,068,097",0,"262,969,964",0,0,"412,413","263,382,377","4,685,262,887"
2888,新光金,Sep-21,"80,148,509","537,407,842","2,136,856,054","39,969,923","91,266,872","9,354,922","1,418,706","471,597,649",0,"2,282,718","40,648,135","3,338,413","36,413,816","5,059,900","178,936,941","34,296,954","4,590,106,667",0,0,"16,981,193",0,,"40,186,662","62,778,914","2,064,537",0,0,0,"58,888,798","4,235,722","7,614,060","3,103,677,020",0,0,"10,706,356","4,340,350,191","140,203,941","2,970,000","213,780",0,0,"143,387,721","19,359,456","7,800,692","40,713,804","48,810,418","97,324,914","-10,709,756",0,"249,362,335",0,0,"394,141","249,756,476","4,590,106,667"
2888,新光金,Jun-21,"105,615,352","560,636,435","2,018,070,538","59,308,009","119,217,391","447,257","1,418,706","497,741,823",0,"2,316,601","32,331,025","3,345,510","34,145,964","5,124,001","187,063,601","33,637,664","4,557,945,191",0,0,"20,365,750",0,,"59,014,230","82,826,535","1,741,258",0,0,0,"60,360,896","2,006,776","7,637,381","3,065,926,095",0,0,"10,897,450","4,309,909,174","130,203,941","2,970,000",0,0,0,"133,173,941","21,037,972","6,530,395","38,862,530","50,497,688","95,890,613","-2,432,084",0,"247,670,442",0,0,"365,575","248,036,017","4,557,945,191"
2888,新光金,Mar-21,"114,640,808","576,293,460","1,927,413,468","36,942,582","101,290,007","3,804,977","941,287","484,182,513",0,"2,194,159","33,017,616","3,304,527","32,304,203","5,078,346","183,747,851","36,499,647","4,444,273,214",0,0,"20,196,493",0,,"29,416,405","65,603,488","2,398,535",0,0,0,"64,344,387","4,146,110","7,595,294","3,033,482,248",0,0,"10,806,607","4,212,894,797","130,203,941","2,970,000",0,0,0,"133,173,941","21,037,972","6,530,395","38,862,530","45,800,432","91,193,357","-14,437,042",0,"230,968,228",0,0,"410,189","231,378,417","4,444,273,214"
2888,新光金,Dec-20,"127,052,114","588,108,652","1,886,318,420","35,056,422","89,644,281",0,"943,931","468,434,675",0,"1,239,964","33,010,092","3,096,982","27,048,249","4,742,815","180,511,091","28,950,060","4,357,123,796",0,0,"9,578,105",0,,"24,101,990","51,511,887","1,532,210",0,0,0,"64,328,072","3,332,033","6,820,371","2,995,082,979",0,0,"10,382,944","4,115,544,938","130,203,941","2,970,000",0,0,0,"133,173,941","20,502,607","6,530,395","38,862,530","35,630,422","81,023,347","6,595,942","-115,053","241,180,784",0,0,"398,074","241,578,858","4,357,123,796"
2888,新光金,Sep-20,"172,833,265","543,646,545","1,813,046,118","24,047,901","77,671,794",0,0,"471,423,205",0,"1,310,855","33,019,580","3,089,539","26,339,435","4,926,834","179,440,490","31,066,559","4,254,284,525",0,0,"6,266,431",0,,"20,687,691","39,099,773","575,829",0,0,0,"59,311,450","2,219,144","6,818,338","2,937,394,521",0,0,"10,429,842","4,009,340,951","130,203,941","2,970,000",0,0,0,"133,173,941","20,516,442","6,530,395","50,862,530","39,673,229","97,066,154","-5,844,816","-345,476","244,566,245",0,0,"377,329","244,943,574","4,254,284,525"
2888,新光金,Jun-20,"173,705,529","549,204,645","1,810,418,979","31,662,898","102,365,241",0,"198,785","425,648,940",0,"898,997","32,099,533","3,087,285","24,815,930","5,031,861","178,723,477","24,085,740","4,211,266,220",0,0,"7,855,799",0,,"39,219,477","64,054,162","165,490",0,0,0,"60,794,872","2,900,430","6,892,837","2,887,742,519",0,0,"11,003,293","3,977,396,224","130,203,941","750,000",0,0,0,"130,953,941","12,785,141","6,530,395","50,862,530","30,715,196","88,108,121","2,066,105","-401,846","233,511,462",0,0,"358,534","233,869,996","4,211,266,220"
2888,新光金,Mar-20,"133,200,123","584,783,903","1,758,862,071","19,950,447","83,083,888",0,"919,133","337,578,152",0,"982,595","31,992,585","3,077,471","28,199,325","4,998,775","177,877,787","25,781,951","4,047,333,724",0,0,"11,281,662",0,,"11,960,225","48,323,856","177,480",0,0,0,"57,778,516","2,039,210","6,975,964","2,816,251,208",0,0,"10,319,160","3,853,959,674","126,003,941","750,000",0,0,0,"126,753,941","13,655,226","4,845,115","63,696,357","23,983,223","92,524,695","-39,556,804","-401,846","192,975,212",0,0,"398,838","193,374,050","4,047,333,724"
2888,新光金,Dec-19,"201,897,933","476,321,145","1,802,686,194","22,861,017","72,698,862",0,"1,296,063","349,069,530",0,"422,990","32,032,794","3,019,275","17,218,974","5,168,346","176,510,411","24,310,423","4,029,813,719",0,0,"5,503,637",0,,"12,598,404","38,935,308","142,762",0,0,0,"57,762,248","1,176,770","7,036,559","2,767,660,120",0,0,"11,200,958","3,791,891,027","126,003,941","750,000",0,0,0,"126,753,941","13,655,226","4,845,115","21,154,359","59,388,379","85,387,853","12,125,766","-401,846","237,520,940",0,0,"401,752","237,922,692","4,029,813,719"
2888,新光金,Sep-19,"136,658,308","446,677,113","1,818,386,666","31,422,106","110,553,868","37,976","3,145,142","362,960,174",0,"446,840","31,503,716","2,995,934","12,273,759","5,107,835","173,211,548","21,817,568","3,974,925,752",0,0,"9,112,741",0,,"33,315,909","60,052,037","108,337",0,0,0,"54,745,787","656,050","7,072,536","2,712,393,937",0,0,"10,398,365","3,742,318,185","126,003,941","750,000",0,0,0,"126,753,941","13,679,254","4,845,115","21,154,359","59,798,881","85,798,355","6,392,577","-401,846","232,222,281",0,0,"385,286","232,607,567","3,974,925,752"
2888,新光金,Jun-19,"112,319,369","424,241,043","1,807,244,834","21,681,679","74,076,369","37,976","2,871,985","413,935,842",0,"485,279","31,472,207","2,990,992","12,852,383","5,149,884","171,130,796","23,605,345","3,916,107,869",0,0,"16,628,114",0,,"35,817,772","57,367,068","139,001",0,0,0,"60,729,369","2,841,409","7,010,395","2,664,597,020",0,0,"11,502,049","3,690,000,230","122,603,941",0,0,0,0,"122,603,941","11,490,137","4,845,115","21,154,359","50,562,970","76,562,444","15,471,559","-401,846","225,726,235",0,0,"381,404","226,107,639","3,916,107,869"
