代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2890,永豐金,23-Dec,0.74,1.13,11.55,11.55,17.64,36.67,36.67,1.6,14.09,23.83,23.83,23.83,7.05,22.28,1371.49,93.2,6.8
2890,永豐金,23-Sep,0.59,0.75,9.46,9.46,12.09,38.29,38.29,1.51,10.79,21.46,21.46,21.46,9.17,20.67,1434.98,93.49,6.51
2890,永豐金,23-Jun,0.38,0.56,6.18,6.18,9.11,38.01,38.01,1.44,10.21,22.75,22.75,22.75,12.9,16.74,1457.08,93.58,6.42
2890,永豐金,23-Mar,0.18,0.32,2.9,2.9,5.09,37.05,37.05,1.34,2.46,7.7,7.7,7.7,10.8,6.38,1444.74,93.53,6.47
2890,永豐金,22-Dec,0.64,0.01,10.08,10.08,0.15,33.78,33.78,1.4,3.38,-1.54,-1.54,-1.54,8.65,-5.4,1580.81,94.05,5.95
2890,永豐金,22-Sep,0.53,-0.25,8.33,8.33,-3.92,34.93,34.93,1.44,5.37,1.11,1.11,1.11,10.47,-7.48,1596.66,94.11,5.89
2890,永豐金,22-Jun,0.35,-0.23,5.29,5.29,-3.58,34.13,34.13,1.39,5.26,-4.19,-4.19,-4.19,4.58,-9.69,1509.99,93.79,6.21
2890,永豐金,22-Mar,0.18,0.02,2.7,2.7,0.33,35.24,35.24,1.44,6.48,-0.05,-0.05,-0.05,9.43,2.87,1383.01,93.26,6.74
2890,永豐金,21-Dec,0.72,0.66,10.17,10.17,9.3,35.47,35.47,1.44,17.22,32.43,32.43,32.43,11.17,4.45,1363.52,93.17,6.83
2890,永豐金,21-Sep,0.58,0.53,8.11,8.11,7.4,36.4,36.4,1.4,19.64,38.52,38.52,38.52,11.53,5.88,1320.94,92.96,7.04
2890,永豐金,21-Jun,0.39,0.37,5.37,5.37,5.16,37.5,37.5,1.35,23.33,52.06,52.06,52.06,15.13,12.19,1290.23,92.81,7.19
2890,永豐金,21-Mar,0.2,0.13,2.8,2.8,1.85,37.54,37.54,1.27,33.78,87.36,87.36,87.36,15.57,8.78,1294.13,92.83,7.17
2890,永豐金,20-Dec,0.62,0.77,8.05,8.05,10.12,31.4,31.4,1.09,7.32,-1.89,-1.89,-1.89,16.92,5.06,1275.09,92.73,7.27
2890,永豐金,20-Sep,0.48,0.53,6.18,6.18,6.89,31.44,31.44,1.08,5.2,-2.91,-2.91,-2.91,11.44,3.43,1248.97,92.59,7.41
2890,永豐金,20-Jun,0.3,0.31,3.83,3.83,3.95,30.41,30.41,1.03,-1.14,-13.82,-13.82,-13.82,11.5,2.26,1254.77,92.62,7.38
2890,永豐金,20-Mar,0.13,-0.13,1.6,1.6,-1.62,26.81,26.81,0.98,-10.25,-37.3,-37.3,-37.3,12.12,-0.52,1212.22,92.38,7.62
2890,永豐金,19-Dec,0.73,0.8,8.6,8.6,9.45,34.34,34.34,1.11,13.13,32.34,32.34,32.37,14.22,4.61,1135.54,91.91,8.09
2890,永豐金,19-Sep,0.55,0.65,6.62,6.62,7.73,34.07,34.07,0.98,11.31,20.1,20.1,20.1,13.47,3.55,1152.06,92.01,7.99
2890,永豐金,19-Jun,0.39,0.5,4.6,4.6,5.9,34.88,34.88,1.0,15.97,37.68,37.68,37.78,10.04,3.59,1142.47,91.95,8.05
