代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2890,永豐金,23-Dec,"23,070,894","1,946,638","439,716","-150,040,294",0,0,"-1,305,312","67,534","-1,342,751","11,250,000","-7,280,259","42,976,799","-201,268","-108,607,514","326,689,284","218,081,770"
2890,永豐金,23-Sep,"18,242,246","1,447,990","322,814","-166,290,092",0,0,"-861,220","40,181","-849,314","11,250,000","-7,280,259","34,272,188","522,625","-132,344,593","326,689,284","194,344,691"
2890,永豐金,23-Jun,"11,721,484","952,090","210,048","-112,054,779",0,0,"-517,183","24,371","-628,784","11,250,000",0,"34,674,804","-246,613","-78,255,372","326,689,284","248,433,912"
2890,永豐金,23-Mar,"5,525,642","473,815","102,787","-19,228,340",0,0,"-214,559","11,942","-255,694","11,250,000",0,"15,106,475","-50,585","-4,428,144","326,689,284","322,261,140"
2890,永豐金,22-Dec,"19,404,715","1,925,546","381,622","97,031,315",0,0,"-1,128,006","57,469","-1,289,466",0,"-9,016,843","-23,999,610","1,426,680","73,168,919","253,520,365","326,689,284"
2890,永豐金,22-Sep,"15,658,275","1,437,209","281,604","-1,190,290",0,0,"-851,988","33,849","-971,096",0,"-9,016,843","-4,049,664","1,964,901","-4,246,149","253,520,365","249,274,216"
2890,永豐金,22-Jun,"10,014,633","949,477","183,167","-41,018,009",0,0,"-539,625","14,447","-605,872",0,0,"-704,542","1,061,738","-41,266,685","253,520,365","212,253,680"
2890,永豐金,22-Mar,"5,258,160","468,332","89,966","-80,330,365",0,0,"-251,011","4,696","-296,055",0,0,"7,109,489","803,600","-72,713,331","253,520,365","180,807,034"
2890,永豐金,21-Dec,"18,649,230","1,843,916","350,189","82,332,401",0,0,"-1,301,452","28,110","-1,442,427",0,"-7,889,738","6,488,279","-494,475","86,883,778","166,636,587","253,520,365"
2890,永豐金,21-Sep,"14,762,635","1,371,023","261,933","-6,278,194",0,0,"-882,559","18,165","-986,165",0,"-7,889,738","-2,570,071","-507,884","-10,342,314","166,636,587","156,294,273"
2890,永豐金,21-Jun,"9,722,055","906,159","173,526","12,903,155",0,0,"-546,878","13,093","-611,361",0,0,"12,506,259","-498,097","24,299,956","166,636,587","190,936,543"
2890,永豐金,21-Mar,"5,233,735","448,615","87,345","13,518,865",0,0,"-211,969","5,882","-234,255",0,0,"8,210,690","-82,850","21,412,450","166,636,587","188,049,037"
2890,永豐金,20-Dec,"13,969,391","1,650,325","335,607","-543,824",0,"207,310","-1,409,774","13,405","-1,359,452",0,"-7,889,738","11,036,415","-496,483","8,636,656","157,999,931","166,636,587"
2890,永豐金,20-Sep,"10,552,428","1,277,238","250,311","-14,715,996",0,"207,310","-1,043,295","9,277","-958,614",0,"-7,889,738","5,263,371","-509,888","-10,921,127","157,999,931","147,078,804"
2890,永豐金,20-Jun,"6,512,400","839,233","164,724","-33,546,577",0,0,"-717,040","5,890","-805,285",0,0,"-159,108","-520,829","-35,031,799","157,999,931","122,968,132"
2890,永豐金,20-Mar,"2,824,794","409,813","81,499","-29,768,596",0,0,"-352,557","3,042","-388,911",0,0,"7,853,906","-92,125","-22,395,726","157,999,931","135,604,205"
2890,永豐金,19-Dec,"14,256,638","1,563,208","301,101","67,921,886",0,"327,628","-1,074,838","34,748","-819,578",0,"-7,168,390","-10,788,241","-603,996","55,710,071","102,289,860","157,999,931"
2890,永豐金,19-Sep,"10,986,665","1,164,221","222,614","21,029,833",0,"327,628","-631,068","30,933","-365,426",0,"-7,168,390","-11,325,091","-162,888","9,176,428","102,289,860","111,466,288"
2890,永豐金,19-Jun,"7,613,730","766,254","146,338","23,605,049",0,0,"-318,761","9,104","-372,581",0,0,"-3,879,938","277,519","19,630,049","102,289,860","121,919,909"
