代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2890,永豐金,Dec-23,"30,644,456","149,883,920","303,546,679","18,669,896","128,573,076",0,"269,417","374,874,958",0,"1,016,351","13,248,648","2,442,924","2,404,567","3,720,343","2,267,321","28,558,041","2,771,352,731",0,0,"76,270,123",0,,"28,921,972","60,041,643","1,973,105",0,0,"18,437","71,827,113","8,008,511","3,243,653","3,409,253","89,819",0,"1,627,403","2,583,016,775","123,764,399",0,0,0,0,"123,764,399","6,129,361","23,751,851","14,684,030","25,164,031","63,599,912","-5,157,716",0,"188,335,956",0,0,0,"188,335,956","2,771,352,731"
2890,永豐金,Sep-23,"31,804,498","154,122,048","302,058,548","20,339,781","124,550,173",0,"581,456","345,622,025",0,"1,130,676","13,179,873","2,390,818","2,049,981","3,838,766","2,271,836","26,995,339","2,735,691,897",0,0,"80,082,439",0,,"31,768,315","65,060,888","1,825,462",0,0,"18,437","73,246,278","6,728,474","3,358,274","2,955,411","89,816",0,"1,750,130","2,557,468,555","123,764,399",0,0,0,0,"123,764,399","6,129,361","23,751,851","14,684,030","21,056,226","59,492,107","-11,162,525",0,"178,223,342",0,0,0,"178,223,342","2,735,691,897"
2890,永豐金,Jun-23,"33,995,589","138,926,263","273,843,137","19,152,490","115,767,634",0,"445,466","332,854,445",0,"1,069,802","13,127,355","2,401,012","2,056,668","3,722,409","2,384,428","24,265,905","2,694,275,402",0,0,"67,499,085",0,,"23,279,272","64,883,666","2,172,566",0,0,"18,437","71,244,936","7,754,164","3,218,260","3,020,460","94,709",0,"1,537,547","2,521,241,053","121,337,646",0,0,"2,426,753",0,"123,764,399","6,129,361","23,751,851","14,684,030","14,128,651","52,564,532","-9,423,943",0,"173,034,349",0,0,0,"173,034,349","2,694,275,402"
2890,永豐金,Mar-23,"35,811,371","89,496,379","246,318,495","16,590,556","99,184,714",0,"244,263","332,334,986",0,"1,064,311","13,213,378","2,325,197","1,936,152","3,539,563","2,360,831","24,836,765","2,684,163,541",0,0,"49,353,171",0,,"23,348,143","54,339,484","2,351,513",0,0,"18,437","71,243,595","6,660,713","3,019,951","2,976,226","92,380",0,"1,356,159","2,510,402,406","121,337,646",0,0,0,0,"121,337,646","6,129,361","22,112,855","483,818","34,205,332","56,802,005","-10,507,877",0,"173,761,135",0,0,0,"173,761,135","2,684,163,541"
2890,永豐金,Dec-22,"66,231,664","91,643,856","225,460,151","11,228,049","90,209,758",0,"125,953","336,138,847",0,"1,011,812","13,287,583","2,310,197","2,014,238","3,646,832","2,390,819","30,775,495","2,588,763,257",0,0,"59,764,822",0,,"20,250,570","50,521,956","1,479,084",0,0,"18,437","71,242,261","6,345,638","3,132,839","3,099,728","106,494",0,"1,668,845","2,434,744,520","113,837,646",0,0,0,0,"113,837,646","2,228,781","22,112,855","483,818","29,555,849","52,152,522","-14,200,212",0,"154,018,737",0,0,0,"154,018,737","2,588,763,257"
2890,永豐金,Sep-22,"71,433,745","132,875,452","224,577,958","16,626,181","99,578,470",0,"233,743","309,740,640",0,"978,700","13,332,071","2,292,783","2,171,831","3,816,706","2,408,284","37,534,222","2,505,920,215",0,0,"72,467,147",0,,"20,719,227","55,083,485","1,583,641",0,0,"18,437","71,688,291","8,366,046","3,294,607","3,475,319","96,997",0,"1,686,956","2,358,222,634","113,837,646",0,0,0,0,"113,837,646","2,228,781","22,112,855","483,818","26,406,187","49,002,860","-17,371,706",0,"147,697,581",0,0,0,"147,697,581","2,505,920,215"
2890,永豐金,Jun-22,"51,895,216","102,960,073","198,175,906","17,628,252","110,106,876",0,"170,995","339,324,398",0,"923,378","13,358,482","2,232,921","2,197,112","3,820,127","2,412,851","32,366,953","2,386,375,632",0,0,"59,599,399",0,,"23,661,910","70,752,001","1,813,882",0,0,"18,437","70,983,482","9,359,746","3,278,530","3,505,792","94,470",0,"1,480,004","2,238,152,385","112,710,541",0,0,"1,127,105",0,"113,837,646","2,228,781","22,112,855","483,818","21,904,229","44,500,902","-12,344,082",0,"148,223,247",0,0,0,"148,223,247","2,386,375,632"
2890,永豐金,Mar-22,"43,001,897","98,782,713","180,609,915","20,874,780","112,898,392",0,"139,801","395,140,969",0,"870,577","13,353,066","2,233,096","2,045,610","3,863,772","2,417,845","32,453,599","2,422,429,544",0,0,"50,371,046",0,,"37,067,524","57,234,194","2,764,675",0,0,"18,437","67,990,071","8,045,069","3,297,169","3,582,546","97,637",0,"1,285,299","2,259,084,137","112,710,541",0,0,0,0,"112,710,541","2,228,764","20,389,695","483,818","29,565,111","50,438,624","-2,032,522",0,"163,345,407",0,0,0,"163,345,407","2,422,429,544"
2890,永豐金,Dec-21,"48,521,295","88,016,347","167,247,985","18,272,941","110,085,509",0,"87,225","398,688,696",0,"788,932","13,378,256","2,212,500","2,274,593","3,698,819","2,422,645","40,161,920","2,382,674,862",0,0,"23,184,543",0,,"27,963,377","55,543,537","2,409,322",0,0,"18,437","62,972,832","7,605,593","3,129,982","3,802,653","114,579",0,"978,239","2,219,871,010","112,710,541",0,0,0,0,"112,710,541","2,228,764","20,389,695","483,818","25,033,001","45,906,514","1,958,033",0,"162,803,852",0,0,0,"162,803,852","2,382,674,862"
2890,永豐金,Sep-21,"30,935,074","98,984,246","161,539,455","19,381,195","105,776,159",0,"338,045","358,890,705",0,"693,652","13,242,387","2,217,441","2,213,049","3,721,344","2,427,516","22,667,618","2,268,476,923",0,0,"16,506,015",0,,"23,660,276","55,072,641","2,076,088",0,0,"18,437","52,995,174","10,029,598","3,142,840","3,822,467","105,460",0,"1,039,778","2,108,830,665","112,710,541",0,0,0,0,"112,710,541","2,228,764","20,389,695","483,818","21,447,523","42,321,036","2,385,917",0,"159,646,258",0,0,0,"159,646,258","2,268,476,923"
2890,永豐金,Jun-21,"26,277,293","97,065,541","156,322,511","36,516,317","115,359,648",0,"311,550","372,112,782",0,"654,395","13,152,946","2,226,359","2,404,258","3,520,569","2,457,866","18,526,738","2,281,820,457",0,0,"21,547,576",0,,"36,781,037","63,567,785","1,802,127",0,0,"18,437","55,994,345","18,567,873","2,915,314","3,810,049","90,199",0,"1,157,160","2,117,688,152","112,710,541",0,0,0,0,"112,710,541","2,228,764","19,171,226","483,818","26,035,925","45,690,969","3,502,031",0,"164,132,305",0,0,0,"164,132,305","2,281,820,457"
2890,永豐金,Mar-21,"24,585,392","80,902,724","152,426,235","19,826,870","95,247,863",0,"406,537","363,301,606",0,"615,238","13,105,099","2,228,447","2,152,304","3,574,990","2,446,741","17,567,671","2,213,662,891",0,0,"21,774,621",0,,"32,361,581","54,339,281","2,020,628",0,0,"18,437","52,508,091","14,094,337","2,971,982","3,777,832","99,869",0,"1,488,799","2,054,878,504","112,710,541",0,0,0,0,"112,710,541","2,228,764","19,171,226","483,818","21,832,196","41,487,240","2,357,842",0,"158,784,387",0,0,0,"158,784,387","2,213,662,891"
2890,永豐金,Dec-20,"30,813,465","88,823,228","162,368,434","19,292,219","90,627,076",0,"366,525","350,213,800",0,"590,035","13,218,774","2,187,368","2,279,267","3,426,080","2,451,753","20,044,802","2,143,348,565",0,0,"26,493,074",0,,"27,657,681","50,459,681","1,476,006",0,0,"18,437","52,510,597","13,735,761","2,824,915","3,820,405","104,921",0,"1,444,864","1,987,478,833","112,710,541",0,0,0,0,"112,710,541","2,228,764","19,171,226","483,818","16,909,609","36,564,653","4,365,774",0,"155,869,732",0,0,0,"155,869,732","2,143,348,565"
2890,永豐金,Sep-20,"22,233,154","91,661,152","155,047,885","16,980,965","82,270,257",0,"311,655","281,387,092",0,"538,757","13,106,590","2,180,683","2,246,643","3,427,837","2,478,947","26,349,315","2,033,929,299",0,0,"22,584,234",0,,"20,504,574","44,939,160","1,341,984",0,0,"18,437","51,632,663","16,212,690","2,829,415","3,578,331","109,997",0,"1,473,628","1,883,152,306","112,710,541",0,0,0,0,"112,710,541","2,228,764","19,171,226","483,818","13,458,017","33,113,061","2,724,627",0,"150,776,993",0,0,0,"150,776,993","2,033,929,299"
2890,永豐金,Jun-20,"22,770,283","101,109,460","145,176,300","16,324,864","76,329,137",0,"283,592","284,974,583",0,"513,536","13,029,247","2,188,145","2,123,120","3,229,666","2,483,782","17,255,818","1,981,927,465",0,0,"19,747,916",0,,"24,908,022","53,938,694","1,278,266",0,0,"18,437","51,632,999","9,590,110","2,614,117","3,523,037","309,151",0,"1,461,573","1,835,635,245","112,710,541",0,0,0,0,"112,710,541","2,228,764","19,171,226","483,818","9,695,930","29,350,974","2,001,941",0,"146,292,220",0,0,0,"146,292,220","1,981,927,465"
2890,永豐金,Mar-20,"23,602,833","96,648,754","143,132,047","11,077,604","75,219,893",0,"296,875","269,960,756",0,"506,265","12,904,564","2,195,010","2,186,463","3,209,945","2,489,019","19,206,213","1,915,509,634",0,0,"26,065,040",0,,"30,118,505","45,683,801","1,206,550",0,0,"18,437","46,133,626","9,302,321","2,570,456","3,517,973","313,276",0,"1,602,051","1,769,535,271","112,710,541",0,0,0,0,"112,710,541","2,228,764","17,951,839","849,362","15,357,472","34,158,673","-3,126,993",0,"145,970,985",0,0,"3,378","145,974,363","1,915,509,634"
2890,永豐金,Dec-19,"23,445,028","84,705,209","137,940,760","11,169,634","76,732,563",0,"380,214","253,793,919",0,"509,333","12,805,711","2,186,965","2,126,464","3,295,666","2,494,112","17,185,055","1,833,120,705",0,0,"26,220,756",0,,"19,721,001","39,294,734","1,106,404",0,0,"18,437","36,019,751","8,970,410","2,662,983","3,437,463","322,467",0,"1,543,286","1,684,754,941","112,710,541",0,0,0,0,"112,710,541","2,228,771","17,951,839","849,362","13,468,498","32,269,699","1,153,375",0,"148,362,386",0,0,"3,378","148,365,764","1,833,120,705"
2890,永豐金,Sep-19,"25,694,428","83,956,075","130,144,572","13,095,101","92,280,272",0,"320,578","233,855,444",0,"505,580","12,594,415","2,237,067","2,195,670","3,342,997","2,517,916","21,809,832","1,825,199,373",0,0,"26,347,693",0,,"21,579,000","53,018,304","1,464,510",0,0,"18,437","38,519,005","8,235,082","2,696,481","3,251,354","327,442",0,"1,602,302","1,679,423,933","112,710,541",0,0,0,0,"112,710,541","2,228,771","17,951,839","849,362","10,648,256","29,449,457","1,383,292",0,"145,772,061",0,0,"3,379","145,775,440","1,825,199,373"
2890,永豐金,Jun-19,"28,609,669","89,573,353","113,134,428","10,867,781","79,228,165",0,"296,198","228,987,184",0,"519,886","12,523,300","2,243,004","2,083,931","3,543,284","2,535,901","16,797,147","1,777,513,277",0,0,"21,397,682",0,,"21,806,539","49,080,999","1,108,293",0,0,"18,437","40,221,383","9,192,837","2,877,472","3,251,892","661,205",0,"1,667,116","1,634,450,622","112,710,541",0,0,0,0,"112,710,541","2,228,771","17,951,839","849,362","7,721,112","26,522,313","1,597,568",0,"143,059,193",0,0,"3,462","143,062,655","1,777,513,277"
