代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2884,玉山金,23-Dec,0.61,0.71,10.03,10.03,11.67,32.61,32.61,1.39,21.69,37.81,37.81,37.86,4.57,19.96,1438.97,93.5,6.5
2884,玉山金,23-Sep,0.45,0.5,7.46,7.46,8.25,32.98,32.98,1.28,20.36,36.29,36.29,36.29,2.84,23.23,1470.11,93.63,6.37
2884,玉山金,23-Jun,0.3,0.33,5.03,5.03,5.52,33.7,33.7,1.23,21.88,48.69,48.69,48.69,6.4,21.23,1497.19,93.74,6.26
2884,玉山金,23-Mar,0.18,0.21,3.01,3.01,3.65,38.27,38.27,1.22,16.6,39.75,39.75,39.75,4.09,4.29,1572.79,94.02,5.98
2884,玉山金,22-Dec,0.47,0.33,8.06,8.06,5.65,28.78,28.79,1.1,-5.34,-23.34,-23.34,-23.28,7.7,1.39,1665.46,94.34,5.66
2884,玉山金,22-Sep,0.35,-0.01,6.14,6.14,-0.24,29.13,29.13,1.14,-7.4,-26.66,-26.66,-26.66,14.39,-2.15,1781.51,94.69,5.31
2884,玉山金,22-Jun,0.22,-0.07,3.75,3.75,-1.22,27.62,27.62,1.22,-8.41,-30.82,-30.82,-30.82,11.42,-4.67,1719.76,94.5,5.5
2884,玉山金,22-Mar,0.13,0.04,2.21,2.21,0.75,31.93,31.93,1.47,-1.07,-16.9,-16.9,-16.9,12.44,4.76,1575.97,94.03,5.97
2884,玉山金,21-Dec,0.66,0.64,10.95,10.94,10.61,35.52,35.56,1.54,2.93,14.06,14.06,15.01,8.72,7.04,1562.12,93.98,6.02
2884,玉山金,21-Sep,0.53,0.51,8.57,8.57,8.2,36.78,36.78,1.48,1.52,13.91,13.91,13.91,9.73,7.16,1509.37,93.79,6.21
2884,玉山金,21-Jun,0.34,0.36,5.48,5.48,5.67,36.57,36.57,1.46,-3.12,5.78,5.78,5.78,11.23,11.2,1456.97,93.58,6.42
2884,玉山金,21-Mar,0.18,0.18,2.82,2.82,2.94,38.01,38.01,1.47,-1.9,14.62,14.62,14.62,12.68,6.06,1461.54,93.6,6.4
2884,玉山金,20-Dec,0.66,0.62,10.17,10.08,9.6,31.79,32.09,1.42,3.17,-10.3,-10.3,-10.91,18.95,4.86,1536.42,93.89,6.11
2884,玉山金,20-Sep,0.53,0.47,7.97,7.97,7.09,32.78,32.78,1.45,4.39,-11.76,-11.76,-11.76,13.9,4.65,1471.7,93.64,6.36
2884,玉山金,20-Jun,0.37,0.34,5.6,5.6,5.04,33.5,33.5,1.55,8.34,-5.68,-5.68,-5.68,13.05,5.4,1456.54,93.58,6.42
2884,玉山金,20-Mar,0.18,0.12,2.6,2.6,1.74,32.53,32.53,1.67,3.61,-12.86,-12.86,-12.86,9.62,5.96,1369.74,93.2,6.8
2884,玉山金,19-Dec,0.84,0.85,12.07,12.04,12.16,36.81,36.9,1.73,10.3,17.78,17.78,18.06,9.2,8.15,1342.63,93.07,6.93
2884,玉山金,19-Sep,0.67,0.69,9.61,9.61,9.84,38.78,38.78,1.67,9.23,18.4,18.4,18.4,12.31,7.86,1344.09,93.08,6.92
2884,玉山金,19-Jun,0.44,0.49,6.33,6.33,7.1,38.48,38.48,1.55,7.07,11.09,11.09,11.09,10.17,7.51,1351.18,93.11,6.89
