代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2884,玉山金,Dec-23,"66,695,571","37,501,776","84,436,464",0,0,0,"26,512,011","4,764,244","21,747,767",0,0,0,"21,747,767","380,705","3,163,041",0,"3,543,746","25,291,513","21,726,249","21,518",0,"25,269,230","22,283",0,1.41,"15,395,397",0,"21,726,249",1.41,"15,423,261","81,848,296","85,737,381","21,748,367"
2884,玉山金,Sep-23,"48,181,484","27,585,706","61,739,385",0,0,0,"19,606,234","3,714,228","15,892,006",0,0,0,"15,892,006","142,011","1,528,685",0,"1,670,696","17,562,702","15,881,830","10,176",0,"17,552,277","10,425",0,1.04,"15,304,878",0,"15,881,830",1.04,"15,327,970","59,931,554","62,836,914","15,892,006"
2884,玉山金,Jun-23,"31,304,297","17,631,859","39,978,108",0,0,0,"13,250,054","2,700,185","10,549,869",0,0,0,"10,549,869","-107,631","1,139,255",0,"1,031,624","11,581,493","10,542,913","6,956",0,"11,574,469","7,024",0,0.7,"15,122,341",0,"10,542,913",0.7,"15,139,544","39,232,817","41,155,506","10,549,869"
2884,玉山金,Mar-23,"15,800,210","8,266,322","19,116,060",0,0,0,"7,535,772","1,489,186","6,046,586",0,0,0,"6,046,586","252,289","1,038,909",0,"1,291,198","7,337,784","6,042,191","4,395",0,"7,333,431","4,353",0,0.42,"14,283,056",0,"6,042,191",0.42,"14,300,220","20,027,500","20,981,128","6,046,586"
2884,玉山金,Dec-22,"54,805,919","32,826,180","53,853,990",0,0,0,"19,903,198","4,121,857","15,781,341",0,0,0,"15,781,341","3,577,068","-8,299,358",0,"-4,722,290","11,059,051","15,759,000","22,341",0,"11,035,019","24,032",0,1.1,"14,271,225",0,"15,759,000",1.1,"14,294,051","44,138,825","47,908,165","15,775,532"
2884,玉山金,Sep-22,"40,031,793","23,698,445","36,165,033",0,0,0,"14,842,362","3,182,029","11,660,333",0,0,0,"11,660,333","-3,197,875","-8,916,569",0,"-12,114,444","-454,111","11,648,029","12,304",0,"-467,106","12,995",0,0.82,"14,269,919",0,"11,648,029",0.82,"14,288,036","27,991,295","30,800,436","11,660,333"
2884,玉山金,Jun-22,"25,683,759","15,567,718","21,574,206",0,0,0,"9,240,497","2,145,452","7,095,045",0,0,0,"7,095,045","-1,860,524","-7,543,209",0,"-9,403,733","-2,308,688","7,084,672","10,373",0,"-2,319,410","10,722",0,0.5,"14,267,285",0,"7,084,672",0.5,"14,282,496","15,554,523","17,431,844","7,095,045"
2884,玉山金,Mar-22,"13,550,987","7,867,436","9,885,772",0,0,0,"5,339,287","1,012,481","4,326,806",0,0,0,"4,326,806","908,416","-3,778,734",0,"-2,870,318","1,456,488","4,325,267","1,539",0,"1,454,791","1,697",0,0.32,"13,359,383",0,"4,325,267",0.32,"13,379,023","7,841,145","8,787,557","4,326,806"
2884,玉山金,Dec-21,"57,897,440","31,808,398","35,482,114",0,0,0,"23,959,439","3,373,936","20,585,503",0,0,0,"20,585,503","1,852,096","-2,494,603",0,"-642,507","19,942,996","20,558,988","26,515",0,"19,916,428","26,568",0,1.54,"13,350,914",0,"20,558,988",1.54,"13,376,564","33,457,229","37,049,553","20,563,421"
2884,玉山金,Sep-21,"43,228,903","23,571,579","26,131,619",0,0,0,"18,578,025","2,678,751","15,899,274",0,0,0,"15,899,274","658,249","-1,338,320",0,"-680,071","15,219,203","15,885,031","14,243",0,"15,205,054","14,149",0,1.19,"13,349,671",0,"15,885,031",1.19,"13,372,895","25,702,740","28,350,325","15,899,274"
2884,玉山金,Jun-21,"28,040,571","15,582,754","17,249,975",0,0,0,"12,148,239","1,892,657","10,255,582",0,0,0,"10,255,582","1,303,576","-941,488",0,"362,088","10,617,670","10,247,333","8,249",0,"10,609,515","8,155",0,0.81,"12,579,166",0,"10,247,333",0.81,"12,598,425","16,967,689","18,698,200","10,255,582"
2884,玉山金,Mar-21,"13,697,579","7,817,030","8,546,806",0,0,0,"6,238,438","1,031,677","5,206,761",0,0,0,"5,206,761","1,367,735","-1,156,772",0,"210,963","5,417,724","5,204,582","2,179",0,"5,415,541","2,183",0,0.41,"12,571,650",0,"5,204,582",0.41,"12,592,693","8,702,828","9,563,340","5,206,761"
2884,玉山金,Dec-20,"56,249,044","32,494,200","36,089,321",0,0,0,"20,529,092","2,481,236","18,047,856",0,0,0,"18,047,856","-899,950","-125,018",0,"-1,024,968","17,022,888","18,026,592","21,264",0,"17,001,757","21,131",0,1.43,"12,562,910",0,"18,026,592",1.43,"12,587,432","35,279,895","38,722,846","17,879,310"
2884,玉山金,Sep-20,"42,579,890","24,046,356","27,591,802",0,0,0,"16,293,628","2,335,478","13,958,150",0,0,0,"13,958,150","-1,184,706","-365,470",0,"-1,550,176","12,407,974","13,946,637","11,513",0,"12,396,586","11,388",0,1.11,"12,561,503",0,"13,946,637",1.11,"12,582,698","28,341,727","30,921,170","13,958,150"
2884,玉山金,Jun-20,"28,943,092","16,042,136","19,185,621",0,0,0,"11,388,079","1,693,187","9,694,892",0,0,0,"9,694,892","-1,043,307","86,766",0,"-956,541","8,738,351","9,690,123","4,769",0,"8,733,637","4,714",0,0.77,"12,558,674",0,"9,690,123",0.77,"12,575,911","20,383,509","22,097,378","9,694,892"
2884,玉山金,Mar-20,"13,963,486","8,023,819","10,123,810",0,0,0,"5,592,604","1,049,915","4,542,689",0,0,0,"4,542,689","-1,390,680","-115,567",0,"-1,506,247","3,036,442","4,540,583","2,106",0,"3,034,319","2,123",0,0.39,"11,624,247",0,"4,540,583",0.39,"11,646,295","10,662,833","11,518,584","4,542,689"
2884,玉山金,Dec-19,"54,522,618","29,854,264","41,263,631",0,0,0,"23,070,276","2,949,766","20,120,510",0,0,0,"20,120,510","567,230","-428,472",0,"138,758","20,259,268","20,105,129","15,381",0,"20,244,626","14,642",0,1.73,"11,615,370",0,"20,105,129",1.73,"11,641,055","44,462,838","47,780,447","20,069,301"
2884,玉山金,Sep-19,"40,789,429","21,582,389","30,995,292",0,0,0,"17,910,905","2,091,640","15,819,265",0,0,0,"15,819,265","88,847","294,122",0,"382,969","16,202,234","15,807,400","11,865",0,"16,190,332","11,902",0,1.36,"11,613,978",0,"15,807,400",1.36,"11,635,803","34,080,869","36,562,285","15,819,265"
2884,玉山金,Jun-19,"26,714,624","13,836,407","20,590,655",0,0,0,"11,878,061","1,599,230","10,278,831",0,0,0,"10,278,831","434,471","806,396",0,"1,240,867","11,519,698","10,272,631","6,200",0,"11,513,458","6,240",0,0.88,"11,611,172",0,"10,272,631",0.88,"11,630,221","22,714,569","24,350,701","10,278,831"
