代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2884,玉山金,23-Dec,"26,512,011","3,182,130","706,955","-2,455,042",0,0,"-2,373,703",269,"-6,427,799","16,000,000","-2,867,953","17,354,113","1,117,493","9,588,765","115,750,099","125,338,864"
2884,玉山金,23-Sep,"19,606,234","2,368,360","537,000","-20,494,249",0,0,"-1,910,012",269,"-9,935,817","16,000,000","-2,867,953","18,814,268","-5,686,206","-17,302,004","115,750,099","98,448,095"
2884,玉山金,23-Jun,"13,250,054","1,566,412","356,277","-7,288,015",0,0,"-1,440,385",267,"-3,949,760","16,000,000",0,"11,641,229","1,198,033","1,601,487","115,750,099","117,351,586"
2884,玉山金,23-Mar,"7,535,772","780,931","172,697","-39,709,472",0,0,"-544,495",230,"-836,211",0,0,"200,910","1,848,534","-38,496,239","115,750,099","77,253,860"
2884,玉山金,22-Dec,"19,903,198","3,038,701","730,639","48,113,424",0,0,"-2,759,121","36,320","-10,337,441",0,"-8,965,689","-17,062,040","-9,676,069","11,037,874","104,712,225","115,750,099"
2884,玉山金,22-Sep,"14,842,362","2,259,435","549,706","67,689,865",0,0,"-1,777,383","36,253","-9,449,568",0,"-8,965,689","805,556","-15,101,279","43,944,574","104,712,225","148,656,799"
2884,玉山金,22-Jun,"9,240,497","1,509,489","367,832","15,960,583",0,0,"-1,077,239","34,937","-7,841,100",0,0,"-5,478,167","-9,016,113","-6,374,797","104,712,225","98,337,428"
2884,玉山金,22-Mar,"5,339,287","759,374","187,038","5,519,208",0,0,"-636,583","34,351","-4,224,013",0,0,"5,366,298","-9,410,453","-2,748,960","104,712,225","101,963,265"
2884,玉山金,21-Dec,"23,959,439","2,866,864","725,460","38,960,994",0,0,"-4,275,085","72,524","-4,609,596",0,"-7,665,931","-3,386,639","3,681,766","34,646,525","70,065,700","104,712,225"
2884,玉山金,21-Sep,"18,578,025","2,114,855","532,730","10,961,136",0,0,"-3,176,638","72,266","-2,776,046",0,"-7,665,931","-4,916,358","3,926,465","7,195,197","70,065,700","77,260,897"
2884,玉山金,21-Jun,"12,148,239","1,384,396","346,115","12,706,531",0,0,"-2,397,686","69,149","-5,013,546",0,0,"2,757,999","3,255,348","13,706,332","70,065,700","83,772,032"
2884,玉山金,21-Mar,"6,238,438","693,937","166,575","-3,650,881",0,0,"-3,345,876","55,032","-4,862,566",0,0,"1,049,116","1,236,382","-6,227,949","70,065,700","63,837,751"
2884,玉山金,20-Dec,"20,529,092","2,787,307","655,644","15,773,737",0,0,"-1,963,191","354,023","-3,563,223",0,"-9,203,891","3,738,883","-183,104","15,766,293","54,299,407","70,065,700"
2884,玉山金,20-Sep,"16,293,628","2,088,078","491,365","7,297,625",0,0,"-1,408,970","20,003","-1,773,970",0,"-9,203,891","1,919,325","2,101,400","9,544,380","54,299,407","63,843,787"
2884,玉山金,20-Jun,"11,388,079","1,384,553","329,316","9,877,327",0,0,"-958,985","1,175","-2,251,580",0,0,"7,911,792","3,120,231","18,657,770","54,299,407","72,957,177"
2884,玉山金,20-Mar,"5,592,604","691,773","163,978","-1,159,719",0,0,"-418,106","1,072","-779,717",0,0,"7,424,000","2,906,201","8,390,765","54,299,407","62,690,172"
2884,玉山金,19-Dec,"23,070,276","2,698,912","618,697","8,163,569",0,0,"-2,849,593","106,739","-2,736,485",0,"-7,695,642","-12,718,602","1,817,254","-5,474,264","59,773,671","54,299,407"
2884,玉山金,19-Sep,"17,910,905","2,016,915","464,501","7,170,277",0,0,"-2,134,107","51,844","-1,598,150",0,"-7,695,642","-12,956,341","871,855","-6,512,359","59,773,671","53,261,312"
2884,玉山金,19-Jun,"11,878,061","1,328,622","307,510","-2,243,021",0,0,"-1,046,788","48,057","585,845",0,0,"255,718","-1,468,207","-2,869,665","59,773,671","56,904,006"
