代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2892,第一金,Dec-23,"67,255,132","30,381,928","104,026,679","154,774","-409,275",0,"28,262,256","5,801,255","22,461,001",0,0,0,"22,461,001","5,979,910","6,459,671",0,"12,439,581","34,900,582","22,461,001",0,0,"34,900,582",0,0,1.65,"13,620,145",0,"22,461,001",1.65,"13,620,145","99,763,990","102,080,497","22,407,036"
2892,第一金,Sep-23,"51,736,699","22,342,464","76,305,298","115,639","-149,879",0,"23,824,979","4,798,322","19,026,657",0,0,0,"19,026,657","3,327,599","6,111,019",0,"9,438,618","28,465,275","19,026,657",0,0,"28,465,275",0,0,1.4,"13,620,145",0,"19,026,657",1.4,"13,620,145","75,796,437","77,517,463","18,970,485"
2892,第一金,Jun-23,"35,157,407","14,634,034","49,353,719","77,171","-5,980",0,"16,281,861","3,123,399","13,158,462",0,0,0,"13,158,462","4,513,896","4,241,658",0,"8,755,554","21,914,016","13,158,462",0,0,"21,914,016",0,0,0.97,"13,620,145",0,"13,158,462",0.97,"13,620,145","49,569,268","50,710,688","13,101,599"
2892,第一金,Mar-23,"17,740,895","7,174,927","23,644,123","33,598","-5,980",0,"8,300,099","1,669,681","6,630,418",0,0,0,"6,630,418","2,435,468","3,283,498",0,"5,718,966","12,349,384","6,630,418",0,0,"12,349,384",0,0,0.5,"13,223,442",0,"6,630,418",0.5,"13,223,442","23,971,064","24,535,939","6,630,363"
2892,第一金,Dec-22,"67,756,394","27,787,186","66,054,361","76,272","-68,319",0,"24,486,604","3,890,941","20,595,663",0,0,0,"20,595,663","-2,614,459","-5,441,333",0,"-8,055,792","12,539,871","20,595,663",0,0,"12,539,871",0,0,1.56,"13,223,442",0,"20,595,663",1.56,"13,223,442","52,571,818","54,815,698","20,600,594"
2892,第一金,Sep-22,"52,199,520","19,967,822","44,563,105","63,593",65,0,"19,402,443","2,974,146","16,428,297",0,0,0,"16,428,297","-3,431,507","-7,163,691",0,"-10,595,198","5,833,099","16,428,297",0,0,"5,833,099",0,0,1.24,"13,223,442",0,"16,428,297",1.24,"13,223,442","35,016,400","36,692,213","16,432,662"
2892,第一金,Jun-22,"32,368,691","12,997,933","26,602,314","39,131",65,0,"12,265,010","2,029,389","10,235,621",0,0,0,"10,235,621","-1,629,703","-7,374,393",0,"-9,004,096","1,231,525","10,235,621",0,0,"1,231,525",0,0,0.77,"13,223,442",0,"10,235,621",0.77,"13,223,442","19,655,821","20,769,319","10,238,466"
2892,第一金,Mar-22,"15,471,518","6,363,333","12,024,331","8,448",65,0,"5,944,308","1,000,186","4,944,122",0,0,0,"4,944,122","2,659,405","-1,534,002",0,"1,125,403","6,069,525","4,944,122",0,0,"6,069,525",0,0,0.38,"12,964,159",0,"4,944,122",0.38,"12,964,159","8,768,791","9,322,401","4,945,568"
2892,第一金,Dec-21,"62,604,429","26,274,683","44,846,079","99,911","-10,117",0,"23,433,444","3,694,399","19,739,045",0,0,0,"19,739,045","3,283,389","-8,130,224",0,"-4,846,835","14,892,210","19,739,045",0,0,"14,892,210",0,0,1.52,"12,964,159",0,"19,739,045",1.52,"12,964,159","33,691,241","35,770,633","19,744,145"
2892,第一金,Sep-21,"47,397,244","18,852,535","32,971,617","73,859","-10,099",0,"19,463,874","2,942,512","16,521,362",0,0,0,"16,521,362","1,406,663","-4,527,013",0,"-3,120,350","13,401,012","16,521,362",0,0,"13,401,012",0,0,1.27,"12,964,159",0,"16,521,362",1.27,"12,964,159","27,194,134","28,744,675","16,525,670"
2892,第一金,Jun-21,"31,341,872","12,282,363","21,725,427","41,554","-26,484",0,"12,853,628","1,940,464","10,913,164",0,0,0,"10,913,164","1,274,461","-4,215,891",0,"-2,941,430","7,971,734","10,913,164",0,0,"7,971,734",0,0,0.85,"12,835,801",0,"10,913,164",0.85,"12,835,801","18,087,343","19,123,465","10,917,729"
2892,第一金,Mar-21,"15,948,589","6,007,723","10,776,665","9,688",576,0,"6,003,806","974,387","5,029,419",0,0,0,"5,029,419","1,666,516","-3,109,765",0,"-1,443,249","3,586,170","5,029,419",0,0,"3,586,170",0,0,0.39,"12,835,801",0,"5,029,419",0.39,"12,835,801","8,688,914","9,207,541","5,031,300"
2892,第一金,Dec-20,"59,568,228","24,730,173","46,100,802","137,103","63,471",0,"19,619,728","2,812,187","16,807,541",0,0,0,"16,807,541","-2,992,861","744,722",0,"-2,248,139","14,559,402","16,807,541",0,0,"14,559,402",0,0,1.31,"12,835,801",0,"16,807,541",1.31,"12,835,801","35,237,683","37,210,490","16,808,876"
2892,第一金,Sep-20,"43,408,224","17,758,835","35,216,775","107,918","63,502",0,"15,609,543","2,231,772","13,377,771",0,0,0,"13,377,771","-4,578,544","886,662",0,"-3,691,882","9,685,889","13,377,771",0,0,"9,685,889",0,0,1.04,"12,835,801",0,"13,377,771",1.04,"12,835,801","28,362,875","29,827,082","13,377,914"
2892,第一金,Jun-20,"28,054,555","11,480,914","24,335,810","83,790","63,527",0,"10,312,727","1,548,382","8,764,345",0,0,0,"8,764,345","-3,095,761","-32,718",0,"-3,128,479","5,635,866","8,764,345",0,0,"5,635,866",0,0,0.68,"12,835,801",0,"8,764,345",0.68,"12,835,801","19,933,240","20,910,316","8,764,607"
2892,第一金,Mar-20,"13,616,154","5,600,955","13,035,859","40,729","2,801",0,"3,640,876","703,355","2,937,521",0,0,0,"2,937,521","-5,675,394","-1,794,592",0,"-7,469,986","-4,532,465","2,937,521",0,0,"-4,532,465",0,0,0.24,"12,461,943",0,"2,937,521",0.24,"12,461,943","9,209,806","9,699,437","2,937,763"
2892,第一金,Dec-19,"62,317,874","23,901,112","53,624,043","125,064","40,135",0,"23,308,556","3,939,805","19,368,751",0,0,0,"19,368,751","4,904,485","2,494,756",0,"7,399,241","26,767,992","19,368,751",0,0,"26,767,992",0,0,1.55,"12,461,943",0,"19,368,751",1.55,"12,461,943","47,328,360","49,118,827","19,369,533"
2892,第一金,Sep-19,"47,075,060","17,666,451","40,361,303","98,112",0,0,"18,472,499","3,095,797","15,376,702",0,0,0,"15,376,702","3,729,082","3,643,012",0,"7,372,094","22,748,796","15,376,702",0,0,"22,748,796",0,0,1.23,"12,461,943",0,"15,376,702",1.23,"12,461,943","36,678,394","37,995,715","15,377,110"
2892,第一金,Jun-19,"31,109,661","11,653,823","26,920,473","72,986",0,0,"11,982,736","2,068,658","9,914,078",0,0,0,"9,914,078","3,969,798","4,153,658",0,"8,123,456","18,037,534","9,914,078",0,0,"18,037,534",0,0,0.8,"12,461,943",0,"9,914,078",0.8,"12,461,943","24,254,467","25,118,372","9,914,746"
