代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2892,第一金,23-Dec,"28,262,256","1,797,019","519,488","13,069,991",0,0,"-1,144,911","78,492","-1,897,672",0,"-10,578,754","-1,491,634","-504,957","9,175,728","311,099,856","320,275,584"
2892,第一金,23-Sep,"23,824,979","1,330,295","390,731","-61,626,581",0,0,"-530,339","79,032","-998,667",0,"-10,578,754","5,720,361","2,433,351","-54,471,536","311,099,856","256,628,320"
2892,第一金,23-Jun,"16,281,861","882,098","259,322","-54,950,129",0,0,"-348,784","79,033","545,526",0,0,"8,988,912","160,319","-45,255,372","311,099,856","265,844,484"
2892,第一金,23-Mar,"8,300,099","436,204","128,671","-37,313,632",0,0,"-196,652",0,"90,427",0,0,"4,822,871","-447,467","-32,847,801","311,099,856","278,252,055"
2892,第一金,22-Dec,"24,486,604","1,741,935","501,945","27,379,571","-42,250",0,"-1,124,801",0,"-2,339,173",0,"-12,964,159","-45,399,289","6,348,243","-14,010,648","325,110,504","311,099,856"
2892,第一金,22-Sep,"19,402,443","1,304,039","371,774","-19,074,066","-49,000",0,"-505,883",0,"-1,936,110",0,"-12,964,159","-43,756,805","9,166,908","-55,600,073","325,110,504","269,510,431"
2892,第一金,22-Jun,"12,265,010","866,488","247,010","-35,914,536",0,0,"-284,729",0,"-2,240,980",0,0,"-24,466,506","4,696,209","-57,925,813","325,110,504","267,184,691"
2892,第一金,22-Mar,"5,944,308","431,543","122,067","-13,023,484",0,0,"-67,316",0,"-1,522,991",0,0,"17,821,883","2,747,806","6,023,214","325,110,504","331,133,718"
2892,第一金,21-Dec,"23,433,444","1,643,225","436,167","79,339,688","-128,569",0,"-789,971",0,"1,699,019",0,"-11,552,221","12,951,194","-1,247,859","92,742,042","232,368,462","325,110,504"
2892,第一金,21-Sep,"19,463,874","1,224,668","325,873","26,450,875","-128,569",0,"-315,866",0,"2,551,045",0,"-11,552,221","-11,007,213","-926,212","17,068,495","232,368,462","249,436,957"
2892,第一金,21-Jun,"12,853,628","818,342","217,780","11,477,819","-128,569",0,"-179,936",0,"1,890,015",0,0,"-5,729,475","-522,101","7,116,258","232,368,462","239,484,720"
2892,第一金,21-Mar,"6,003,806","410,263","108,364","31,657,649","-60,343",0,"-92,833",0,"2,601,650",0,0,"-4,196,324","822,692","30,885,667","232,368,462","263,254,129"
2892,第一金,20-Dec,"19,619,728","1,618,080","354,727","-50,993,802","-14,633",0,"-1,349,001",0,"-2,996,973",0,"-13,085,040","24,933,361","-3,371,021","-32,428,435","264,796,897","232,368,462"
2892,第一金,20-Sep,"15,609,543","1,207,614","256,593","-22,470,760",0,0,"-633,262",0,"-353,687",0,"-13,085,040","5,404,499","-2,251,547","-19,671,495","264,796,897","245,125,402"
2892,第一金,20-Jun,"10,312,727","808,283","168,793","-92,098,849",0,0,"-464,309",0,"77,271",0,0,"9,625,041","-1,813,016","-84,209,553","264,796,897","180,587,344"
2892,第一金,20-Mar,"3,640,876","406,165","83,466","-78,046,031",0,0,"-163,375",0,"442,639",0,0,"1,463,435","-386,615","-76,526,572","264,796,897","188,270,325"
2892,第一金,19-Dec,"23,308,556","1,509,629","280,838","73,930,187","-74,250",0,"-1,059,129",43,"-4,026,248",0,"-12,338,557","-17,684,657","-1,775,248","50,444,034","214,352,863","264,796,897"
2892,第一金,19-Sep,"18,472,499","1,111,063","206,258","15,886,191",0,0,"-566,475",43,"-1,305,626",0,"-12,338,557","-22,995,611","-42,682","-8,457,728","214,352,863","205,895,135"
2892,第一金,19-Jun,"11,982,736","729,116","134,789","-18,533,044",0,0,"-364,850",13,"-543,895",0,0,"-3,648,415","766,630","-21,958,724","214,352,863","192,394,139"
