代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2892,第一金,Dec-23,"57,705,065","174,080,962","922,837,494","7,497,546","64,506,552",0,"1,366,329","362,430,412",0,"3,218,625","27,530,074","1,133,044","4,442,987","2,601,114","12,394,692","5,814,743","4,429,410,318",0,0,"18,816,901",0,,"27,183,883","57,771,835","5,362,667",0,0,0,"62,350,000","2,300,000","2,485,593","72,207,560",0,0,"8,246,092","4,180,965,920","136,201,455",0,0,0,0,"136,201,455","26,107,218","25,131,875","4,099,388","39,700,981","68,932,244","17,203,481",0,"248,444,398",0,0,0,"248,444,398","4,429,410,318"
2892,第一金,Sep-23,"58,843,247","191,292,981","916,176,501","5,285,949","62,511,941",0,"1,657,921","362,299,015",0,"3,230,796","27,406,977","946,547","4,005,889","2,505,086","12,244,390","5,342,051","4,365,570,177",0,0,"16,361,075",0,,"27,406,671","67,192,819","5,100,639",0,0,0,"62,350,000","3,650,000","2,372,189","72,552,074",0,0,"8,255,863","4,123,561,086","136,201,455",0,0,0,0,"136,201,455","26,107,218","25,131,875","4,099,388","36,464,181","65,695,444","14,004,974",0,"242,009,091",0,0,0,"242,009,091","4,365,570,177"
2892,第一金,Jun-23,"44,762,967","163,330,612","890,074,859","22,122,580","73,995,908",0,"1,598,403","359,949,285",0,"3,189,506","27,457,554","965,550","3,704,286","2,507,041","12,120,780","4,463,893","4,259,284,415",0,0,"11,633,098",0,,"34,179,321","72,424,915","3,962,877",0,0,0,"62,350,000","3,900,000","2,377,962","71,353,691",0,0,"8,021,351","4,023,826,583","132,234,423",0,0,"3,967,032",0,"136,201,455","26,107,218","25,131,875","4,100,013","30,595,929","59,827,817","13,321,342",0,"235,457,832",0,0,0,"235,457,832","4,259,284,415"
2892,第一金,Mar-23,"50,127,067","181,066,683","863,694,868","5,134,460","55,169,464",0,"1,308,371","347,072,301",0,"3,149,518","27,576,657","1,013,571","3,727,597","2,400,979","12,130,235","4,811,681","4,258,760,481",0,0,"9,331,858",0,,"22,721,389","53,922,231","4,932,079",0,0,0,"62,350,000","6,300,000","2,251,133","70,481,968",0,0,"8,009,615","4,022,288,527","132,234,423",0,0,0,0,"132,234,423","26,107,218","22,978,313","4,104,476","40,732,257","67,815,046","10,315,267",0,"236,471,954",0,0,0,"236,471,954","4,258,760,481"
2892,第一金,Dec-22,"72,208,162","176,067,526","806,716,159","3,984,797","48,686,706",0,"1,242,825","325,837,173",0,"3,128,975","27,698,974","1,102,917","4,256,251","2,470,597","12,110,510","5,333,630","4,157,195,982",0,0,"14,491,297",0,,"24,456,692","52,503,677","4,427,299",0,0,0,"61,850,000","7,600,000","2,322,609","69,762,393",0,0,"7,429,024","3,933,073,412","132,234,423",0,0,0,0,"132,234,423","26,107,218","22,978,313","4,105,707","34,066,986","61,151,006","4,629,923",0,"224,122,570",0,0,0,"224,122,570","4,157,195,982"
2892,第一金,Sep-22,"42,935,792","219,550,210","746,545,385","5,161,252","47,427,812",0,"1,219,162","319,030,339",0,"3,045,958","27,350,470","902,882","4,269,454","2,348,026","12,119,824","6,247,377","4,028,407,017",0,0,"25,345,240",0,,"17,934,093","46,635,353","4,190,716",0,0,0,"61,850,000","3,800,000","2,183,154","71,389,807",0,0,"7,043,203","3,810,991,219","132,234,423",0,0,0,0,"132,234,423","26,107,218","22,978,313","4,105,707","28,911,780","55,995,800","3,078,357",0,"217,415,798",0,0,0,"217,415,798","4,028,407,017"
2892,第一金,Jun-22,"41,795,696","207,332,755","749,278,188","6,647,375","50,711,706",0,"1,268,338","305,378,643",0,"2,975,427","27,341,806","860,216","3,232,331","2,438,850","12,129,768","6,599,753","3,966,589,476",0,0,"17,383,721",0,,"20,602,787","81,656,654","3,570,978",0,0,0,"67,150,000","4,070,000","2,280,128","66,027,963",0,0,"6,567,363","3,753,775,252","129,641,591",0,0,"2,592,832",0,"132,234,423","26,107,218","22,978,313","4,105,707","22,928,457","50,012,477","4,460,106",0,"212,814,224",0,0,0,"212,814,224","3,966,589,476"
2892,第一金,Mar-22,"44,976,037","211,530,890","733,054,553","7,107,059","57,503,316",0,"1,344,529","301,506,603",0,"2,946,505","27,348,666","936,513","2,752,558","2,416,690","12,118,353","6,044,547","3,911,335,004",0,0,"13,895,288",0,,"20,398,503","44,864,029","4,524,497",0,0,0,"67,150,000","560,000","2,247,508","62,680,035",0,0,"6,582,527","3,680,718,621","129,641,591",0,0,0,0,"129,641,591","26,107,218","20,945,959","4,105,707","35,123,329","60,174,995","14,692,579",0,"230,616,383",0,0,0,"230,616,383","3,911,335,004"
2892,第一金,Dec-21,"60,653,137","184,856,883","705,169,501","8,238,348","53,802,322",0,"1,406,079","271,675,841",0,"2,940,983","27,492,634","1,009,262","2,785,285","2,413,371","11,952,173","9,603,798","3,739,593,907",0,0,"8,117,688",0,,"29,710,739","52,255,790","4,314,378",0,0,0,"57,800,000","390,000","2,240,307","59,249,644",0,0,"6,856,515","3,515,047,049","129,641,591",0,0,0,0,"129,641,591","26,107,218","20,945,959","4,105,707","30,120,717","55,172,383","13,625,666",0,"224,546,858",0,0,0,"224,546,858","3,739,593,907"
2892,第一金,Sep-21,"43,069,096","177,416,677","694,473,028","7,660,634","48,579,992",0,"1,401,607","272,354,011",0,"2,915,975","27,349,063","744,877","3,052,385","2,444,955","11,269,775","5,759,416","3,625,891,409",0,0,"6,733,318",0,,"21,091,693","46,705,752","4,264,315",0,0,0,"46,800,000","400,000","2,274,807","57,540,845",0,0,"6,834,317","3,402,835,749","129,641,591",0,0,0,0,"129,641,591","26,107,218","20,945,959","4,105,707","26,447,325","51,498,991","15,807,860",0,"223,055,660",0,0,0,"223,055,660","3,625,891,409"
