代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2880,華南金,23-Dec,0.58,0.83,11.01,11.01,15.81,36.35,36.35,1.58,10.81,24.9,24.9,24.9,6.58,12.44,1761.87,94.63,5.37
2880,華南金,23-Sep,0.45,0.51,8.88,8.88,9.94,37.56,37.56,1.49,7.49,21.58,21.58,21.58,4.87,10.04,1839.47,94.84,5.16
2880,華南金,23-Jun,0.29,0.39,5.59,5.59,7.66,35.97,35.97,1.45,13.14,31.58,31.58,31.58,2.72,7.22,1851.88,94.88,5.12
2880,華南金,23-Mar,0.14,0.22,2.65,2.65,4.32,35.04,35.04,1.36,14.4,35.35,35.35,35.35,3.58,-2.59,1805.21,94.75,5.25
2880,華南金,22-Dec,0.49,-0.16,8.98,8.98,-2.9,32.25,32.25,1.27,5.08,0.59,0.59,0.59,4.89,-7.91,1864.09,94.91,5.09
2880,華南金,22-Sep,0.39,-0.36,7.34,7.34,-6.65,33.2,33.2,1.24,6.45,-2.05,-2.05,-2.05,6.53,-10.09,1935.11,95.09,4.91
2880,華南金,22-Jun,0.23,-0.34,4.21,4.21,-6.39,30.93,30.93,1.17,2.0,-14.02,-14.02,-14.02,10.14,-10.7,1937.25,95.09,4.91
2880,華南金,22-Mar,0.11,-0.07,1.85,1.85,-1.3,29.62,29.62,1.28,0.49,-8.47,-8.47,-8.47,8.27,2.44,1691.76,94.42,5.58
2880,華南金,21-Dec,0.52,0.45,8.82,8.82,7.54,33.69,33.69,1.3,27.79,98.84,98.84,98.84,11.6,5.97,1624.38,94.2,5.8
2880,華南金,21-Sep,0.44,0.36,7.33,7.33,6.08,36.08,36.08,1.36,37.27,187.78,187.78,187.78,15.45,6.88,1617.6,94.18,5.82
2880,華南金,21-Jun,0.29,0.32,4.77,4.77,5.28,36.69,36.69,1.28,49.05,530.55,530.55,530.55,15.31,9.89,1551.83,93.95,6.05
2880,華南金,21-Mar,0.13,0.13,2.11,2.11,2.09,32.51,32.51,1.1,111.3,378.64,378.64,378.64,18.36,7.86,1595.21,94.1,5.9
2880,華南金,20-Dec,0.3,0.26,4.58,4.58,3.98,21.65,21.65,0.67,-14.43,-45.76,-45.76,-45.76,13.52,0.37,1537.28,93.89,6.11
2880,華南金,20-Sep,0.17,0.11,2.64,2.64,1.69,17.21,17.21,0.61,-20.68,-62.02,-62.02,-62.02,9.95,-0.23,1490.19,93.71,6.29
2880,華南金,20-Jun,0.05,-0.01,0.8,0.8,-0.1,8.67,8.67,0.7,-28.9,-82.62,-82.62,-82.62,6.65,-0.37,1474.17,93.65,6.35
2880,華南金,20-Mar,-0.05,-0.34,-0.79,-0.79,-5.1,-24.66,-24.66,0.85,-51.72,-134.42,-134.42,-134.42,4.08,-1.42,1444.8,93.53,6.47
2880,華南金,19-Dec,0.59,0.77,8.79,8.79,11.48,34.16,34.16,1.31,1.53,9.12,9.12,9.12,1.77,8.35,1347.7,93.09,6.91
2880,華南金,19-Sep,0.48,0.66,7.22,7.22,9.79,35.95,35.95,1.3,2.35,10.08,10.08,10.08,0.68,7.48,1342.95,93.07,6.93
2880,華南金,19-Jun,0.32,0.54,4.75,4.75,8.14,35.47,35.47,1.29,3.81,13.98,13.98,13.98,1.47,8.66,1370.6,93.2,6.8
