代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2880,華南金,Dec-23,"59,467,447","30,790,196","87,744,182","-2,421","-2,365",0,"26,195,305","4,576,885","21,618,420",0,0,0,"21,618,420","3,576,566","5,836,737",0,"9,413,303","31,031,723","21,618,294",126,0,"31,031,554",169,0,1.58,"13,642,746",0,"21,618,294",1.58,"13,642,746","86,071,539","88,163,419","21,618,420"
2880,華南金,Sep-23,"44,976,392","22,916,813","64,155,058","2,849","-2,365",0,"20,266,437","3,374,469","16,891,968",0,0,0,"16,891,968","1,536,651","475,556",0,"2,012,207","18,904,175","16,891,870",98,0,"18,904,053",122,0,1.24,"13,642,746",0,"16,891,870",1.24,"13,642,746","63,346,563","64,906,831","16,891,968"
2880,華南金,Jun-23,"29,207,833","15,039,194","41,310,890",-498,"-2,365",0,"12,781,780","2,276,039","10,505,741",0,0,0,"10,505,741","1,604,391","2,288,818",0,"3,893,209","14,398,950","10,505,674",67,0,"14,398,851",99,0,0.77,"13,642,746",0,"10,505,674",0.77,"13,642,746","39,728,842","40,761,011","10,505,741"
2880,華南金,Mar-23,"14,269,978","7,355,275","19,776,108","-1,773","-2,365",0,"6,066,714","1,066,643","5,000,071",0,0,0,"5,000,071","-387,453","3,553,141",0,"3,165,688","8,165,759","5,000,054",17,0,"8,165,728",31,0,0.37,"13,642,746",0,"5,000,054",0.37,"13,642,746","18,292,756","18,805,756","5,000,071"
2880,華南金,Dec-22,"53,666,752","28,266,312","54,851,569","8,822","7,500",0,"20,992,991","3,684,520","17,308,471",0,0,0,"17,308,471","-2,145,437","-20,751,215",0,"-22,896,652","-5,588,181","17,308,343",128,0,"-5,588,357",176,0,1.27,"13,642,746",0,"17,308,343",1.27,"13,642,746","42,666,869","44,746,806","17,308,471"
2880,華南金,Sep-22,"41,842,609","21,385,474","37,170,826","8,454","7,500",0,"16,548,866","2,655,072","13,893,794",0,0,0,"13,893,794","-3,611,096","-22,873,231",0,"-26,484,327","-12,590,533","13,893,691",103,0,"-12,590,662",129,0,1.02,"13,642,746",0,"13,893,691",1.02,"13,642,746","28,821,426","30,379,525","13,893,794"
2880,華南金,Jun-22,"25,814,609","13,963,129","22,252,653","3,883","7,500",0,"9,721,996","1,737,978","7,984,018",0,0,0,"7,984,018","-2,429,842","-17,661,189",0,"-20,091,031","-12,107,013","7,983,940",78,0,"-12,107,127",114,0,0.59,"13,642,746",0,"7,983,940",0.59,"13,642,746","15,697,456","16,734,285","7,984,018"
2880,華南金,Mar-22,"12,474,263","6,833,053","9,903,238",757,"7,500",0,"4,560,650","866,363","3,694,287",0,0,0,"3,694,287","2,249,916","-8,530,856",0,"-6,280,940","-2,586,653","3,694,267",20,0,"-2,586,689",36,0,0.28,"13,194,145",0,"3,694,267",0.28,"13,194,145","6,833,303","7,341,255","3,694,287"
2880,華南金,Dec-21,"51,072,538","28,093,730","36,596,622","12,420","8,374",0,"19,536,727","2,330,406","17,206,321",0,0,0,"17,206,321","3,220,226","-5,717,302",0,"-2,497,076","14,709,245","17,206,199",122,0,"14,709,075",170,0,1.3,"13,194,145",0,"17,206,199",1.3,"13,194,145","28,132,982","30,260,699","17,206,321"
2880,華南金,Sep-21,"39,308,310","20,988,758","27,095,084","6,908","8,374",0,"15,852,581","1,668,454","14,184,127",0,0,0,"14,184,127","1,506,752","-3,914,618",0,"-2,407,866","11,776,261","14,184,016",111,0,"11,776,120",141,0,1.08,"13,194,145",0,"14,184,016",1.08,"13,194,145","22,289,926","23,903,066","14,184,127"
2880,華南金,Jun-21,"25,308,214","14,093,865","17,904,705","4,404","5,831",0,"10,415,580","1,130,180","9,285,400",0,0,0,"9,285,400","3,488,195","-2,504,812",0,"983,383","10,268,783","9,285,346",54,0,"10,268,692",91,0,0.72,"12,854,779",0,"9,285,346",0.72,"12,854,779","14,745,502","15,834,583","9,285,400"
2880,華南金,Mar-21,"12,412,872","6,789,140","8,828,271",251,0,0,"4,695,647","659,615","4,036,032",0,0,0,"4,036,032","3,204,193","-3,235,798",0,"-31,605","4,004,427","4,036,005",27,0,"4,004,383",44,0,0.31,"12,854,779",0,"4,036,005",0.31,"12,854,779","6,901,880","7,451,352","4,036,032"
2880,華南金,Dec-20,"39,964,524","25,801,321","36,863,125","8,667","7,311",0,"11,189,805","2,536,322","8,653,483",0,0,0,"8,653,483","-603,840","-525,435",0,"-1,129,275","7,524,208","8,653,353",130,0,"7,524,039",169,0,0.67,"12,854,779",0,"8,653,353",0.67,"12,854,779","23,410,391","25,596,076","8,653,483"
2880,華南金,Sep-20,"28,636,532","18,813,463","28,123,157","7,132",0,0,"6,869,154","1,940,380","4,928,774",0,0,0,"4,928,774","-1,972,593","203,629",0,"-1,768,964","3,159,810","4,928,664",110,0,"3,159,671",139,0,0.38,"12,854,779",0,"4,928,664",0.38,"12,854,779","16,798,565","18,435,750","4,928,774"
2880,華南金,Jun-20,"16,980,146","12,421,702","19,627,707","5,038",0,0,"2,817,385","1,344,806","1,472,579",0,0,0,"1,472,579","-1,542,496","-113,380",0,"-1,655,876","-183,297","1,472,492",87,0,"-183,417",120,0,0.11,"12,854,778",0,"1,472,492",0.11,"12,854,778","10,215,147","11,305,610","1,472,579"
2880,華南金,Mar-20,"5,874,473","6,269,999","10,629,358",-525,0,0,"-633,302","815,195","-1,448,497",0,0,0,"-1,448,497","-5,586,127","-2,346,107",0,"-7,932,234","-9,380,731","-1,448,542",45,0,"-9,380,789",58,0,-0.12,"12,172,740",0,"-1,448,542",-0.12,"12,172,740","3,567,850","4,110,213","-1,448,497"
