代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2880,華南金,23-Dec,"26,195,305","1,721,432","370,448","-21,346,630",0,0,"-2,815,317","3,742","-2,560,931",0,"-8,022,918","3,224,356","-304,953","-20,988,158","186,822,057","165,833,899"
2880,華南金,23-Sep,"20,266,437","1,277,985","282,283","-23,721,655",0,0,"-1,774,387",867,"-4,052,418",0,"-8,022,918","663,989","1,152,694","-25,957,390","186,822,057","160,864,667"
2880,華南金,23-Jun,"12,781,780","843,178","188,991","-46,953,963",0,0,"-839,020",274,"-2,402,421",0,-90,"1,088,462","-54,176","-48,322,098","186,822,057","138,499,959"
2880,華南金,23-Mar,"6,066,714","419,006","93,994","-15,485,436",0,0,"-340,791",268,"-1,407,439",0,0,"-2,639,791","-111,252","-19,643,918","186,822,057","167,178,139"
2880,華南金,22-Dec,"20,992,991","1,726,293","353,644","44,327,299",0,"4,470","-1,925,647",200,"-2,135,347",0,"-10,259,213","-26,615,668","3,189,377","18,765,661","168,056,396","186,822,057"
2880,華南金,22-Sep,"16,548,866","1,295,906","262,193","27,551,769",0,"4,470","-1,547,871",198,"-1,905,683",0,"-10,259,213","-30,538,449","3,838,433","-1,053,930","168,056,396","167,002,466"
2880,華南金,22-Jun,"9,721,996","863,262","173,567","1,949,846",0,0,"-1,114,416",21,"-893,802",0,-87,"-37,500,742","2,213,791","-34,230,907","168,056,396","133,825,489"
2880,華南金,22-Mar,"4,560,650","421,911","86,041","-7,639,902",0,0,"-307,386",30,"-178,881",0,0,"1,704,449","1,401,356","-4,712,978","168,056,396","163,343,418"
2880,華南金,21-Dec,"19,536,727","1,793,826","333,891","-26,597,628","-179,191","4,470","-2,528,219",253,"-2,274,627",0,"-3,396,521","23,056,689","-564,095","-6,379,661","174,436,057","168,056,396"
2880,華南金,21-Sep,"15,852,581","1,364,784","248,356","-20,336,788","-179,191","4,470","-736,555",225,"498,823",0,-87,"19,070,877","-458,518","-1,225,606","174,436,057","173,210,451"
2880,華南金,21-Jun,"10,415,580","923,636","165,445","-66,897,019","-179,191","4,470","-489,899",207,"-618,793",0,-87,"22,073,014","-250,916","-45,693,714","174,436,057","128,742,343"
2880,華南金,21-Mar,"4,695,647","466,796","82,676","-71,255,848","-36,205",0,"-225,561",197,"274,250",0,0,"8,571,058","448,356","-61,962,184","174,436,057","112,473,873"
2880,華南金,20-Dec,"11,189,805","1,866,466","319,219","69,885,387","-8,780",0,"-1,005,168",419,"-3,714,411",0,"-6,806,592","9,058,544","-2,025,706","73,203,814","101,232,243","174,436,057"
2880,華南金,20-Sep,"6,869,154","1,399,477","237,708","37,444,119",0,0,"-662,698",408,"-4,912,111",0,"-6,806,592","8,535,487","-1,153,354","39,914,141","101,232,243","141,146,384"
2880,華南金,20-Jun,"2,817,385","933,023","157,440","24,665,700",0,0,"-314,974",224,"-862,467",0,"-6,384","4,986,957","-978,689","27,811,501","101,232,243","129,043,744"
2880,華南金,20-Mar,"-633,302","465,901","76,462","9,365,619",0,0,"-174,379",199,"-105,971",0,0,"6,426,773","-19,673","15,666,748","101,232,243","116,898,991"
2880,華南金,19-Dec,"18,696,258","1,875,995","268,393","-15,253,702","-49,170",0,"-704,972",235,"-1,728,465",0,"-6,272,737","-3,347,013","-1,144,650","-21,473,830","122,706,073","101,232,243"
2880,華南金,19-Sep,"15,185,582","1,407,479","195,469","-14,672,593","-49,170",0,"-465,131",218,"-553,923",0,"-6,272,656","1,501,227","-99,003","-13,824,292","122,706,073","108,881,781"
2880,華南金,19-Jun,"10,063,322","940,890","127,077","-19,910,359","-49,170",0,"-276,057",164,"-6,754",0,-81,"8,074,175","379,808","-11,463,130","122,706,073","111,242,943"
