代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2880,華南金,Dec-23,"39,596,420","118,793,903","686,891,136","18,142,617","67,252,591",0,"398,393","379,784,939",0,"351,351","31,978,737","919,111","3,850,295","2,268,659","14,863,175","4,594,464","3,869,201,779",0,0,"8,651,418",0,,"16,845,968","48,200,920","3,640,732",0,0,0,"80,586,915","3,412,328","2,325,107","23,659,550",0,0,"6,139,717","3,661,389,443","136,427,459",0,0,0,0,"136,427,459","17,761,804","22,273,772","18,503,358","23,117,999","63,895,129","-10,274,310",0,"207,810,082",0,0,"2,254","207,812,336","3,869,201,779"
2880,華南金,Sep-23,"39,642,395","133,396,419","692,470,021","13,944,121","62,724,085",0,"312,303","378,435,011",0,"353,802","31,790,619","939,575","3,860,658","2,185,907","14,431,595","6,290,760","3,795,187,728",0,0,"5,098,289",0,,"12,434,958","49,218,114","3,004,968",0,0,0,"79,586,346","2,350,206","2,244,676","25,776,650",0,0,"6,168,207","3,599,505,758","136,427,459",0,0,0,0,"136,427,459","17,758,986","22,273,772","18,503,358","18,309,631","59,086,761","-17,593,443",0,"195,679,763",0,0,"2,207","195,681,970","3,795,187,728"
2880,華南金,Jun-23,"37,459,506","119,961,018","743,442,901","15,678,186","62,268,171",0,"382,023","380,754,086",0,"350,455","31,079,942","993,097","3,801,936","2,108,098","14,495,164","5,521,687","3,731,541,172",0,0,"5,361,945",0,,"14,073,092","50,240,833","2,280,947",0,0,0,"79,585,777","1,522,000","2,151,976","24,626,745",0,0,"6,142,233","3,540,364,427","136,427,459",0,0,0,0,"136,427,459","17,758,986","22,273,772","18,503,358","11,025,514","51,802,644","-14,814,528",0,"191,174,561",0,0,"2,184","191,176,745","3,731,541,172"
2880,華南金,Mar-23,"30,112,222","102,672,589","724,924,691","12,112,632","51,272,746",0,"232,491","361,804,242",0,"349,180","32,740,223","1,002,097","3,877,354","2,107,581","12,563,362","5,116,292","3,676,923,802",0,0,"4,516,535",0,,"11,333,455","41,152,148","4,450,662",0,0,0,"79,585,214","1,625,000","2,138,974","24,400,601",0,0,"6,119,324","3,483,930,937","136,427,459",0,0,0,0,"136,427,459","17,758,986","20,380,779","6,471,594","27,080,359","53,932,732","-15,128,518",0,"192,990,659",0,0,"2,206","192,992,865","3,676,923,802"
2880,華南金,Dec-22,"57,466,418","92,345,662","716,234,166","8,052,711","47,020,578",0,"169,667","358,704,522",0,"359,584","32,718,699","968,134","4,018,272","2,021,323","12,627,100","3,985,125","3,630,161,728",0,0,"6,233,545",0,,"7,455,302","37,923,753","3,599,175",0,0,0,"86,584,626","1,856,000","2,075,114","23,891,682",0,0,"6,126,380","3,445,334,622","136,427,459",0,0,0,0,"136,427,459","17,758,986","20,380,779","6,471,594","22,023,668","48,876,041","-18,237,555",0,"184,824,931",0,0,"2,175","184,827,106","3,630,161,728"
2880,華南金,Sep-22,"39,175,888","97,771,173","728,604,748","11,179,078","51,240,432",0,"167,190","368,439,839",0,"359,216","33,048,260","937,271","4,183,566","2,132,752","12,182,614","5,300,651","3,618,929,855",0,0,"8,566,147",0,,"9,485,126","58,442,279","2,888,833",0,0,0,"81,093,184","2,382,000","2,189,791","25,121,973",0,0,"6,147,821","3,441,105,101","136,427,459",0,0,0,0,"136,427,459","17,758,986","20,380,779","6,471,594","18,234,128","45,086,501","-21,450,320",0,"177,822,626",0,0,"2,128","177,824,754","3,618,929,855"
2880,華南金,Jun-22,"37,019,494","82,304,413","704,438,016","13,962,766","54,613,897",0,"184,647","364,944,794",0,"359,115","33,041,560","913,166","3,587,534","2,093,897","12,083,802","4,809,121","3,632,588,285",0,0,"8,326,789",0,,"13,013,259","119,246,829","1,797,414",0,0,0,"65,092,577","2,716,000","2,138,949","25,256,006",0,0,"6,093,752","3,454,280,011","131,941,450",0,0,"4,486,009",0,"136,427,459","17,758,986","20,380,779","6,471,594","12,948,562","39,800,935","-15,681,219",0,"178,306,161",0,0,"2,113","178,308,274","3,632,588,285"
2880,華南金,Mar-22,"33,258,791","103,146,875","611,695,527","14,737,233","56,403,678",0,"302,295","382,279,834",0,"355,989","32,342,616","950,871","3,468,885","2,199,985","12,224,204","4,948,518","3,549,844,724",0,0,"5,779,982",0,,"13,751,019","38,488,212","3,166,774",0,0,0,"65,091,976","1,485,000","2,215,650","24,651,728",0,0,"6,090,442","3,351,724,570","131,941,450",0,0,0,0,"131,941,450","17,758,986","18,593,434","6,471,594","23,578,480","48,643,508","-225,912",0,"198,118,032",0,0,"2,122","198,120,154","3,549,844,724"
2880,華南金,Dec-21,"42,752,408","111,925,660","609,544,831","18,894,468","60,275,356",0,"222,141","327,146,365",0,"360,138","32,434,819","942,413","3,571,080","1,960,405","12,117,002","5,112,874","3,460,953,918",0,0,"3,427,549",0,,"18,584,020","44,198,933","2,517,810",0,0,0,"67,891,382","2,340,340","1,984,400","22,986,431",0,0,"6,100,474","3,260,247,111","131,941,450",0,0,0,0,"131,941,450","17,758,986","18,593,434","6,471,594","19,658,539","44,723,567","6,280,718",0,"200,704,721",0,0,"2,086","200,706,807","3,460,953,918"
2880,華南金,Sep-21,"33,817,530","132,989,768","587,907,964","21,785,370","60,947,363",0,"347,881","302,678,480",0,"354,626","31,747,319","898,206","3,402,369","1,985,179","11,799,156","3,724,037","3,396,958,881",0,0,"2,404,433",0,,"20,984,628","58,291,613","1,948,389",0,0,0,"68,790,781","1,634,340","1,961,041","23,167,920",0,0,"6,096,694","3,199,185,058","131,941,450",0,0,0,0,"131,941,450","17,758,986","18,593,434","6,471,594","16,595,270","41,660,298","6,411,032",0,"197,771,766",0,0,"2,057","197,773,823","3,396,958,881"
