代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2880,華南金,23-Dec,0.58,0.83,11.01,11.01,15.81,36.35,36.35,1.58,10.81,24.9,24.9,24.9,6.58,12.44,1761.87,94.63,5.37
2881,富邦金,23-Dec,0.6,2.41,9.36,9.36,37.55,38.76,38.76,4.8,-35.33,35.89,35.89,35.89,4.9,42.36,1260.06,92.65,7.35
2882,國泰金,23-Dec,0.41,1.66,7.29,7.29,29.19,16.94,16.94,3.24,-10.91,35.7,35.7,35.7,6.13,31.02,1498.5,93.74,6.26
2883,開發金,23-Dec,0.53,1.5,8.03,8.03,22.83,47.91,47.91,1.13,-58.5,15.61,15.61,15.61,3.14,25.94,1287.41,92.79,7.21
2884,玉山金,23-Dec,0.61,0.71,10.03,10.03,11.67,32.61,32.61,1.39,21.69,37.81,37.81,37.86,4.57,19.96,1438.97,93.5,6.5
2885,元大金,23-Dec,0.9,1.34,9.74,9.74,14.41,29.08,29.08,2.09,7.2,25.62,25.62,25.62,9.37,11.17,969.69,90.65,9.35
2886,兆豐金,23-Dec,0.79,1.22,10.46,10.42,16.23,42.83,43.0,2.36,37.95,81.33,81.33,80.62,8.22,12.01,1208.7,92.36,7.64
2887,台新金,23-Dec,0.5,0.75,6.96,6.96,10.31,20.89,20.89,1.01,5.23,-1.7,-1.7,-1.7,9.81,6.74,1301.88,92.87,7.13
2888,新光金,23-Dec,-0.15,0.69,-3.2,-3.26,14.71,-29.42,-28.83,-0.49,-74.82,-437.73,-437.73,-468.36,2.12,16.0,1912.96,95.03,4.97
2889,國票金,23-Dec,0.69,1.79,5.47,5.47,14.25,35.07,35.06,0.58,21.63,50.33,50.33,50.38,1.56,15.72,645.85,86.59,13.41
2890,永豐金,23-Dec,0.74,1.13,11.55,11.55,17.64,36.67,36.67,1.6,14.09,23.83,23.83,23.83,7.05,22.28,1371.49,93.2,6.8
2891,中信金,23-Dec,0.72,1.16,13.42,13.43,21.64,42.2,42.16,2.81,-1.92,76.54,76.54,76.53,7.56,18.46,1684.51,94.4,5.6
2892,第一金,23-Dec,0.52,0.81,9.51,9.48,14.77,33.32,33.4,1.65,-0.74,9.06,9.06,8.77,6.55,10.85,1682.86,94.39,5.61
5880,合庫金,23-Dec,0.39,0.69,7.66,7.66,13.8,29.13,29.13,1.17,15.41,-14.12,-14.12,-14.12,7.32,11.33,1854.48,94.88,5.12
2880,華南金,23-Sep,0.45,0.51,8.88,8.88,9.94,37.56,37.56,1.49,7.49,21.58,21.58,21.58,4.87,10.04,1839.47,94.84,5.16
2881,富邦金,23-Sep,0.62,1.8,10.16,10.16,29.42,43.78,43.78,2.11,-47.14,-20.9,-20.9,-20.9,3.36,30.93,1376.91,93.23,6.77
2882,國泰金,23-Sep,0.48,0.72,9.21,9.21,13.9,24.64,24.64,2.68,-20.9,9.66,9.66,9.66,8.48,123.53,1781.65,94.69,5.31
2883,開發金,23-Sep,0.48,0.73,7.89,7.89,11.9,46.53,46.53,0.81,-61.93,-13.9,-13.9,-13.9,2.26,39.73,1476.62,93.66,6.34
2884,玉山金,23-Sep,0.45,0.5,7.46,7.46,8.25,32.98,32.98,1.28,20.36,36.29,36.29,36.29,2.84,23.23,1470.11,93.63,6.37
2885,元大金,23-Sep,0.81,1.07,8.67,8.67,11.48,32.11,32.11,2.0,3.45,21.18,21.18,21.18,7.05,11.56,965.44,90.61,9.39
2886,兆豐金,23-Sep,0.65,0.86,8.74,8.7,11.6,46.64,46.88,2.25,36.95,97.86,97.86,96.87,-2.12,8.74,1233.03,92.5,7.5
2887,台新金,23-Sep,0.42,0.51,5.87,5.87,7.13,22.75,22.75,1.34,12.26,46.47,46.47,46.47,8.88,8.31,1325.92,92.99,7.01
2888,新光金,23-Sep,-0.01,0.37,-0.31,-0.31,8.29,-2.29,-2.29,-0.59,-71.97,-106.68,-106.68,-106.68,1.69,30.67,2042.19,95.33,4.67
2889,國票金,23-Sep,0.54,0.95,4.43,4.43,7.73,35.88,35.87,0.49,15.68,29.13,29.13,29.17,-1.61,19.65,679.86,87.18,12.82
2890,永豐金,23-Sep,0.59,0.75,9.46,9.46,12.09,38.29,38.29,1.51,10.79,21.46,21.46,21.46,9.17,20.67,1434.98,93.49,6.51
2891,中信金,23-Sep,0.63,0.8,12.01,12.01,15.43,46.58,46.58,2.38,-21.84,50.65,50.65,50.65,6.96,24.21,1776.57,94.67,5.33
