代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,稅前淨利,所得稅費用,合併總損益,其他綜合損益－OCI,本期綜合損益總額,每股盈餘,加權平均股數,發放特別股股息,常續性稅後淨利
2880,華南金,Dec-23,"59,467,447","30,790,196","87,744,182","26,195,305","4,576,885","21,618,420","9,413,303","31,031,723",1.58,"13,642,746",0,"21,618,420"
2881,富邦金,Dec-23,"167,798,693","82,450,905","271,677,108","74,443,839","9,401,537","65,042,302","195,969,492","261,011,794",4.8,"13,014,973","3,515,980","65,042,302"
2882,國泰金,Dec-23,"304,172,639","102,496,484","307,577,036","58,469,289","6,955,472","51,513,817","154,704,106","206,217,923",3.24,"14,669,210","3,390,924","51,513,817"
2883,開發金,Dec-23,"39,552,047","31,575,862","96,812,671","20,576,882","1,628,763","18,948,119","34,903,011","53,851,130",1.13,"16,742,073",0,"18,948,119"
2884,玉山金,Dec-23,"66,695,571","37,501,776","84,436,464","26,512,011","4,764,244","21,747,767","3,543,746","25,291,513",1.41,"15,395,397",0,"21,748,367"
2885,元大金,Dec-23,"98,089,883","49,160,774","62,355,083","33,985,651","5,457,422","28,528,229","13,678,215","42,206,444",2.09,"12,689,082",0,"28,528,229"
2886,兆豐金,Dec-23,"77,321,920","33,498,208","117,567,630","37,047,965","3,800,988","33,246,977","18,340,489","51,587,466",2.37,"14,051,338",0,"33,115,983"
2887,台新金,Dec-23,"69,918,050","32,899,517","74,096,728","17,722,919","3,119,042","14,603,877","7,018,231","21,622,108",1.01,"12,477,062","1,953,751","14,603,877"
2888,新光金,Dec-23,"25,405,384","29,510,045","131,452,391","-12,707,748","-5,383,443","-7,324,305","41,028,553","33,704,248",-0.48,"15,487,622",0,"-7,474,312"
2889,國票金,Dec-23,"7,094,310","3,885,166","5,951,243","3,152,009","665,018","2,486,991","3,991,686","6,478,677",0.58,"3,447,384",0,"2,487,759"
2890,永豐金,Dec-23,"53,901,012","28,525,899","75,530,795","23,070,894","3,306,504","19,764,390","10,432,508","30,196,898",1.62,"12,223,440",0,"19,764,390"
2891,中信金,Dec-23,"136,576,427","86,657,947","220,386,880","66,934,337","9,360,191","57,574,146","35,264,760","92,838,906",2.82,"19,528,030","1,069,980","57,635,929"
2892,第一金,Dec-23,"67,255,132","30,381,928","104,026,679","28,262,256","5,801,255","22,461,001","12,439,581","34,900,582",1.65,"13,620,145",0,"22,407,036"
5880,合庫金,Dec-23,"61,377,038","29,568,025","93,411,635","22,074,663","4,196,448","17,878,215","14,315,939","32,194,154",1.17,"14,709,382",0,"17,878,215"
2880,華南金,Sep-23,"44,976,392","22,916,813","64,155,058","20,266,437","3,374,469","16,891,968","2,012,207","18,904,175",1.24,"13,642,746",0,"16,891,968"
2881,富邦金,Sep-23,"153,600,382","58,526,332","199,793,297","78,740,856","11,498,957","67,241,899","127,523,982","194,765,881",4.94,"13,014,973","3,515,980","67,241,899"
2882,國泰金,Sep-23,"242,440,858","74,544,092","226,957,726","71,002,195","11,258,258","59,743,937","30,381,607","90,125,544",3.81,"14,669,210","3,390,924","59,743,937"
2883,開發金,Sep-23,"37,645,557","23,504,989","71,750,944","20,274,731","2,759,048","17,515,683","8,911,683","26,427,366",1.05,"16,742,073",0,"17,515,683"
2884,玉山金,Sep-23,"48,181,484","27,585,706","61,739,385","19,606,234","3,714,228","15,892,006","1,670,696","17,562,702",1.04,"15,304,878",0,"15,892,006"
2885,元大金,Sep-23,"77,822,467","36,582,691","45,794,178","29,265,482","4,276,763","24,988,719","8,122,183","33,110,902",1.85,"12,689,082",0,"24,988,719"
2886,兆豐金,Sep-23,"57,654,926","24,312,163","84,900,267","29,947,521","2,919,715","27,027,806","8,819,110","35,846,916",1.92,"14,051,338",0,"26,892,008"
2887,台新金,Sep-23,"53,211,558","24,223,439","54,484,151","14,854,914","2,751,226","12,103,688","2,592,765","14,696,453",0.85,"12,477,062","1,461,047","12,103,688"
2888,新光金,Sep-23,"30,267,206","21,081,840","98,112,574","-1,492,615","-799,402","-693,213","19,045,931","18,352,718",-0.05,"15,487,619",0,"-693,213"
2889,國票金,Sep-23,"5,407,192","2,928,564","4,351,545","2,446,917","507,549","1,939,368","1,449,461","3,388,829",0.46,"3,447,384",0,"1,940,020"
2890,永豐金,Sep-23,"41,033,883","21,425,228","55,712,376","18,242,246","2,530,501","15,711,745","4,372,539","20,084,284",1.29,"12,171,880",0,"15,711,745"
2891,中信金,Sep-23,"106,883,198","63,636,959","161,427,301","56,519,412","6,733,771","49,785,641","14,184,566","63,970,207",2.44,"19,497,112","1,069,980","49,785,641"
2892,第一金,Sep-23,"51,736,699","22,342,464","76,305,298","23,824,979","4,798,322","19,026,657","9,438,618","28,465,275",1.4,"13,620,145",0,"18,970,485"
5880,合庫金,Sep-23,"46,039,962","21,986,327","68,819,141","18,514,394","3,524,777","14,989,617","6,050,143","21,039,760",0.99,"14,709,382",0,"14,989,617"
2880,華南金,Jun-23,"29,207,833","15,039,194","41,310,890","12,781,780","2,276,039","10,505,741","3,893,209","14,398,950",0.77,"13,642,746",0,"10,505,741"
2881,富邦金,Jun-23,"98,159,695","37,347,098","128,295,020","46,389,635","3,887,512","42,502,123","157,748,373","200,250,496",3.18,"12,395,213","3,515,980","42,502,123"
2882,國泰金,Jun-23,"162,412,481","48,827,797","147,690,238","38,663,586","5,645,798","33,017,788","93,006,527","126,024,315",1.98,"14,669,210","3,390,924","33,017,788"
2883,開發金,Jun-23,"28,653,440","15,749,269","46,625,988","10,539,707","392,604","10,147,103","25,020,328","35,167,431",0.61,"16,742,073",0,"10,147,103"
2884,玉山金,Jun-23,"31,304,297","17,631,859","39,978,108","13,250,054","2,700,185","10,549,869","1,031,624","11,581,493",0.7,"15,122,341",0,"10,549,869"
2885,元大金,Jun-23,"50,132,604","23,502,892","29,403,193","18,444,326","2,604,795","15,839,531","5,003,467","20,842,998",1.18,"12,689,082",0,"15,839,531"
