代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2880,華南金,23-Dec,"26,195,305","1,721,432","370,448","-21,346,630",0,0,"-2,815,317","3,742","-2,560,931",0,"-8,022,918","3,224,356","-304,953","-20,988,158","186,822,057","165,833,899"
2881,富邦金,23-Dec,"74,443,839","5,431,546","2,028,525","-84,891,250","-305,000","920,499","-4,434,888","28,048","-10,739,110",0,"-22,108,799","49,067,278","-5,680,537","-52,243,619","573,733,858","521,490,239"
2882,國泰金,23-Dec,"58,469,289","5,421,400","3,214,561","-59,249,597",0,"41,473","-4,566,415","32,431","12,992,412",0,"-16,593,213","26,800,929","1,304,606","-18,151,650","620,603,407","602,451,757"
2883,開發金,23-Dec,"20,576,882","2,898,656","1,525,623","-59,716,436","-2,973,782","470,865","-1,110,154","134,336","-4,067,190",0,0,"14,857,100","284,558","-48,641,968","200,161,850","151,519,882"
2884,玉山金,23-Dec,"26,512,011","3,182,130","706,955","-2,455,042",0,0,"-2,373,703",269,"-6,427,799","16,000,000","-2,867,953","17,354,113","1,117,493","9,588,765","115,750,099","125,338,864"
2885,元大金,23-Dec,"33,985,651","2,658,900","610,305","-35,466,861","-142,808","95,834","-2,962,563","20,316","-4,231,465",0,"-10,001,247","52,917,434","-1,200,162","12,018,946","206,929,363","218,948,309"
2886,兆豐金,23-Dec,"37,047,965","1,638,778","756,168","25,546,652","-755,563","69,844","-1,351,894","46,331","-3,189,508","1,391,394","-15,504,538","2,340,089","328,062","25,025,295","435,380,396","460,405,691"
2887,台新金,23-Dec,"17,722,919","2,122,841","571,461","-9,365,368","-160,000",0,"-944,075","18,864","-2,055,740",0,"-7,952,343","4,995,997","-32,222","-6,457,333","80,598,219","74,140,886"
2888,新光金,23-Dec,"-12,707,748","1,705,083","519,371","-48,050,883","-320,000","50,100","-1,122,390","234,187","5,925,516",0,"-76,962","49,029,758","242,183","7,146,574","132,628,320","139,774,894"
2889,國票金,23-Dec,"3,152,009","216,780","43,332","-8,903,439",0,0,"-69,365",838,"15,116",0,0,"8,459,196","-22,276","-451,403","3,739,285","3,287,882"
2890,永豐金,23-Dec,"23,070,894","1,946,638","439,716","-150,040,294",0,0,"-1,305,312","67,534","-1,342,751","11,250,000","-7,280,259","42,976,799","-201,268","-108,607,514","326,689,284","218,081,770"
2891,中信金,23-Dec,"66,934,337","6,792,301","1,936,516","-16,537,839","-3,018,211","35,485","-2,937,149","12,795","-11,575,004",0,"-20,754,630","73,003,960","-2,039,916","42,851,201","522,661,164","565,512,365"
2892,第一金,23-Dec,"28,262,256","1,797,019","519,488","13,069,991",0,0,"-1,144,911","78,492","-1,897,672",0,"-10,578,754","-1,491,634","-504,957","9,175,728","311,099,856","320,275,584"
5880,合庫金,23-Dec,"22,074,663","2,271,524","377,389","2,157,615",0,"4,606","-1,144,371",0,"-1,979,511",0,"-7,004,468","2,428,316","1,563,357","4,169,777","140,044,317","144,214,094"
2880,華南金,23-Sep,"20,266,437","1,277,985","282,283","-23,721,655",0,0,"-1,774,387",867,"-4,052,418",0,"-8,022,918","663,989","1,152,694","-25,957,390","186,822,057","160,864,667"
2881,富邦金,23-Sep,"78,740,856","3,984,545","1,500,512","-100,414,828","-305,000",36,"-2,982,394","27,382","-9,074,722",0,"-22,108,799","54,126,527","1,950,291","-53,412,732","573,733,858","520,321,126"
