代號,名稱,年/月,  現金及約當現金,  應收帳款及票據,  其他應收款,  不動產廠房及設備,  商譽及無形資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  應付帳款及票據,  其他應付款,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,  股本,  資本公積合計,  保留盈餘,  其他權益,  庫藏股票帳面值,股東權益總額,負債及股東權益總額
2880,華南金,Dec-23,"39,596,420","18,142,617","67,252,591","31,978,737","919,111","2,268,659","14,863,175","4,594,464","3,869,201,779","16,845,968","48,200,920",0,"80,586,915","3,412,328","2,325,107","23,659,550","3,661,389,443","136,427,459",0,0,0,"136,427,459","17,761,804","63,895,129","-10,274,310",0,"207,812,336","3,869,201,779"
2881,富邦金,Dec-23,"326,164,774","35,030,161","307,654,045","68,834,664","33,446,190","13,009,645","304,228,110","55,073,833","11,106,312,242","36,809,499","189,288,259",0,"300,620,560","17,107,892","20,602,341","4,704,889,469","10,289,706,417","130,149,732","15,999,900",0,0,"146,149,632","165,040,190","526,152,227","-34,904,796",0,"816,605,825","11,106,312,242"
2882,國泰金,Dec-23,"320,831,824","109,382,581","248,954,635","109,370,464","49,669,714","5,556,600","461,686,710","66,946,615","12,811,120,326","25,820,712","90,464,445",0,"175,941,430","12,988,127","20,030,215","6,958,614,203","12,009,674,674","146,692,102","15,333,000",0,0,"162,025,102","202,793,453","501,697,006","-78,460,876",0,"801,445,652","12,811,120,326"
2883,開發金,Dec-23,"72,864,773","56,927,084","156,501,248","31,174,212","17,778,030","11,860,235","59,391,549","77,223,854","3,648,212,053","66,290,958","107,156,822",0,"101,938,248","24,444,457","4,034,022","2,082,411,350","3,385,261,417","168,339,806","15,821,424",0,0,"184,161,230","33,588,602","84,365,277","-39,296,475",0,"262,950,636","3,648,212,053"
2884,玉山金,Dec-23,"67,575,304","7,485,212","141,356,313","34,665,848","6,284,027","7,342,717","1,752,737","17,545,763","3,638,497,500","7,597,437","43,078,614",0,"48,250,000","382,216","4,617,337","1,104,884","3,402,073,653","156,640,000",0,0,0,"156,640,000","34,800,497","46,786,129","-1,978,946",0,"236,423,847","3,638,497,500"
2885,元大金,Dec-23,"81,869,960","61,935,965","273,092,919","27,352,156","30,728,678","13,011,575","11,307,517","69,765,061","3,298,659,820","138,025,618","180,210,063",0,"104,904,691","48,439,167","6,191,253","376,640,823","2,990,283,674","126,890,824",0,0,0,"126,890,824","38,188,103","116,980,378","4,947,633",0,"308,376,146","3,298,659,820"
2886,兆豐金,Dec-23,"139,031,498","30,162,138","92,724,481","22,044,685","1,410,325","2,072,607","2,023,611","8,963,136","4,394,765,193","33,505,944","97,890,226",0,"30,500,000","11,947,112","2,134,168","29,133,623","4,058,954,105","140,513,382",0,"1,391,394",0,"141,904,776","68,502,384","122,260,989","3,142,939",0,"335,811,088","4,394,765,193"
2887,台新金,Dec-23,"29,232,521","74,789,943","165,317,191","25,700,393","3,565,321","2,291,375","4,093,509","17,961,678","3,035,951,370","16,732,526","39,299,694",0,"68,144,602","10,387,601","2,405,852","241,426,541","2,819,388,897","124,770,618","11,000,000",0,0,"135,770,618","38,197,778","43,361,276","-794,452",0,"216,562,473","3,035,951,370"
2888,新光金,Dec-23,"96,287,188","35,144,797","97,194,147","39,598,442","3,858,111","4,428,974","191,823,609","33,359,138","4,953,494,191","24,684,155","46,255,954",0,"75,352,943","2,221,898","10,650,474","3,290,657,708","4,707,413,885","154,876,290","2,970,000",0,0,"157,846,290","18,623,914","88,800,916","-19,623,795",0,"246,080,306","4,953,494,191"
2889,國票金,Dec-23,"3,287,831","13,803,428","38,404,206","7,039,021","257,608","116,249","405,724","5,019,090","363,920,403","13,472,539","17,559,271",0,0,0,"115,129","1,715,641","315,127,815","34,473,840",0,0,0,"34,473,840","399,934","6,494,278","770,888",0,"48,792,588","363,920,403"
