代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2883,開發金,23-Dec,0.53,1.5,8.03,8.03,22.83,47.91,47.91,1.13,-58.5,15.61,15.61,15.61,3.14,25.94,1287.41,92.79,7.21
2883,開發金,23-Sep,0.48,0.73,7.89,7.89,11.9,46.53,46.53,0.81,-61.93,-13.9,-13.9,-13.9,2.26,39.73,1476.62,93.66,6.34
2883,開發金,23-Jun,0.28,0.97,4.48,4.48,15.53,35.41,35.41,0.77,-61.4,-25.56,-25.56,-25.56,5.65,30.59,1408.04,93.37,6.63
2883,開發金,23-Mar,0.1,0.68,1.59,1.59,10.96,29.79,29.79,0.61,-71.76,-63.8,-63.8,-63.8,1.53,-11.23,1425.25,93.44,6.56
2883,開發金,22-Dec,0.47,-1.93,6.53,6.53,-26.97,17.19,17.19,0.97,-50.43,-65.2,-65.2,-57.67,2.27,-28.77,1594.16,94.1,5.9
2883,開發金,22-Sep,0.57,-3.05,8.82,8.82,-46.83,20.57,20.57,1.46,-33.32,-51.55,-51.55,-39.47,6.97,-44.77,2054.34,95.36,4.64
2883,開發金,22-Jun,0.39,-2.58,5.68,5.68,-37.33,18.36,18.36,1.41,-24.8,-44.22,-44.22,-44.22,-0.43,-39.89,1764.12,94.64,5.36
2883,開發金,22-Mar,0.28,-0.88,3.48,3.48,-11.04,23.24,23.24,1.6,-21.71,-34.66,-34.66,-34.66,2.19,-10.78,1233.62,92.5,7.5
2883,開發金,21-Dec,1.37,0.41,15.05,12.38,4.52,20.14,24.5,1.61,-14.48,127.79,127.79,87.28,0.7,-11.88,1079.98,91.53,8.47
2883,開發金,21-Sep,1.23,0.03,13.17,10.54,0.36,22.66,28.31,1.74,-13.47,149.35,149.35,99.61,3.02,2.86,1012.32,91.01,8.99
2883,開發金,21-Jun,0.7,-0.03,7.6,7.6,-0.34,24.76,24.76,1.77,-5.11,239.7,239.7,239.7,8.86,10.53,1025.28,91.11,8.89
2883,開發金,21-Mar,0.43,-0.49,4.73,4.73,-5.42,27.85,27.85,1.54,2.72,740.74,740.74,740.74,10.02,21.58,1064.35,91.41,8.59
2883,開發金,20-Dec,0.64,1.43,6.57,6.57,14.72,9.2,9.2,0.85,-6.06,5.2,5.2,5.2,13.46,12.2,932.58,90.32,9.68
2883,開發金,20-Sep,0.53,0.43,5.68,5.68,4.57,9.82,9.82,0.75,-9.03,-3.5,-3.5,-3.5,7.92,2.1,1010.53,91.0,9.0
2883,開發金,20-Jun,0.23,-0.05,2.49,2.49,-0.54,6.92,6.92,0.55,-17.61,-37.96,-37.96,-37.96,7.71,-0.46,1042.5,91.25,8.75
2883,開發金,20-Mar,0.06,-1.68,0.65,0.65,-19.16,3.4,3.4,0.6,-23.46,-64.3,-64.3,-64.3,8.61,-5.99,1186.69,92.23,7.77
2883,開發金,19-Dec,0.68,2.45,7.56,7.56,27.02,8.21,8.21,0.88,-5.16,53.37,53.37,53.37,11.39,32.61,921.13,90.21,9.79
2883,開發金,19-Sep,0.6,2.24,6.79,6.79,25.12,9.26,9.26,0.69,-1.19,23.74,23.74,23.74,10.18,20.56,950.58,90.48,9.52
2883,開發金,19-Jun,0.41,2.0,4.58,4.58,22.5,9.18,9.18,0.66,5.53,25.94,25.94,25.94,10.48,22.8,955.77,90.53,9.47
