代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,採權益法之關聯企業及合資損益之份額,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
2883,開發金,Dec-23,"39,552,047","31,575,862","96,812,671","2,129,077","270,947",0,"20,576,882","1,628,763","18,948,119",0,0,0,"18,948,119","-306,809","35,209,820",0,"34,903,011","53,851,130","18,942,700","5,419",0,"53,847,488","3,642",0,1.13,"16,742,073",0,"18,942,700",1.13,"16,800,557","44,097,978","48,522,257","18,948,119"
2883,開發金,Sep-23,"37,645,557","23,504,989","71,750,944","1,530,904","721,844",0,"20,274,731","2,759,048","17,515,683",0,0,0,"17,515,683","316,566","8,595,117",0,"8,911,683","26,427,366","17,512,376","3,307",0,"26,423,604","3,762",0,1.05,"16,742,073",0,"17,512,376",1.04,"16,796,004","37,064,861","40,379,700","17,515,683"
2883,開發金,Jun-23,"28,653,440","15,749,269","46,625,988","1,614,120","1,007,338",0,"10,539,707","392,604","10,147,103",0,0,0,"10,147,103","792,300","24,228,028",0,"25,020,328","35,167,431","10,142,778","4,325",0,"35,165,717","1,714",0,0.61,"16,742,073",0,"10,142,778",0.6,"16,790,330","21,032,407","23,231,677","10,147,103"
2883,開發金,Mar-23,"11,764,612","7,662,634","22,745,750","852,463","886,522",0,"3,346,073","-158,501","3,504,574",0,0,0,"3,504,574","320,087","20,380,816",0,"20,700,903","24,205,477","3,502,425","2,149",0,"24,202,739","2,738",0,0.21,"16,742,073",0,"3,502,425",0.21,"16,779,604","8,282,591","9,370,561","3,504,574"
2883,開發金,Dec-22,"95,317,153","28,532,968","80,244,713","-165,708","341,584",0,"21,940,865","5,551,678","16,389,187",0,0,0,"16,389,187","-10,605,330","-73,457,694",0,"-84,063,024","-67,673,837","16,365,629","23,558",0,"-67,700,361","26,524",0,0.98,"16,742,073","3,077","16,362,552",0.98,"16,781,923","31,327,564","35,399,503","16,389,187"
2883,開發金,Sep-22,"98,893,406","21,999,693","57,240,029","-534,811","209,086",0,"27,111,556","6,768,005","20,343,551",0,0,0,"20,343,551","-11,951,968","-116,463,658",0,"-128,415,626","-108,072,075","20,321,448","22,103",0,"-108,098,672","26,597",0,1.21,"16,742,073","3,077","20,318,371",1.21,"16,778,238","32,175,678","35,166,021","20,343,551"
2883,開發金,Jun-22,"74,234,053","14,528,163","36,374,402","-647,700","418,030",0,"18,498,642","4,866,733","13,631,909",0,0,0,"13,631,909","-7,233,222","-95,988,230",0,"-103,221,452","-89,589,543","13,617,783","14,126",0,"-89,607,437","17,894",0,0.81,"16,742,073","3,077","13,614,706",0.81,"16,778,910","20,901,101","22,823,589","13,631,909"
2883,開發金,Mar-22,"41,656,732","7,607,996","17,453,018","-202,757","118,808",0,"11,604,888","1,924,701","9,680,187",0,0,0,"9,680,187","-1,268,826","-39,092,908",0,"-40,361,734","-30,681,547","9,673,661","6,526",0,"-30,693,594","12,047",0,0.58,"16,742,073",0,"9,673,661",0.58,"16,779,221","12,558,207","13,494,948","9,680,187"
2883,開發金,Dec-21,"192,278,170","35,016,319","69,225,228","910,463","4,210,914",0,"52,199,699","5,100,224","47,099,475",0,0,0,"47,099,475","2,375,924","-35,320,544",0,"-32,944,620","14,154,855","35,043,431","12,056,044",0,"16,764,244","-2,609,389",0,2.34,"14,969,971",0,"35,043,431",2.34,"14,979,770","55,772,664","59,406,676","38,721,599"
2883,開發金,Sep-21,"148,321,484","27,182,938","52,126,791","614,390","2,636,288",0,"45,967,098","3,982,539","41,984,559",0,0,0,"41,984,559","-1,139,534","-39,696,354",0,"-40,835,888","1,148,671","30,692,575","11,291,984",0,"8,339,404","-7,190,733",0,2.05,"14,944,429",0,"30,692,575",2.05,"14,957,940","48,705,901","51,433,515","33,610,253"
