代號,名稱,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  應收帳款及票據,  其他應收款,  待出售非流動資產,  當期所得稅資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  避險之金融資產－非流動,  採權益法之長期股權投資,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  與待出售非流動資產直接相關之負債,  避險之金融負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2883,開發金,Dec-23,"72,864,773","550,917,931","1,668,017,681","56,927,084","156,501,248",0,"891,186","249,360,614","835,695","24,818,337","31,174,212","17,778,030","18,834,982","11,860,235","59,391,549","77,223,854","3,648,212,053",0,0,"62,481,110",0,,"66,290,958","107,156,822","312,088",0,"697,122",0,"101,938,248","24,444,457","4,034,022","2,082,411,350",,0,"16,326,381","3,385,261,417","168,339,806","15,821,424",0,0,0,"184,161,230","33,588,602","15,613,641","48,976,557","19,775,079","84,365,277","-39,296,475",0,"262,818,634",0,0,"132,002","262,950,636","3,648,212,053"
2883,開發金,Sep-23,"65,654,409","557,825,480","1,704,659,083","43,352,828","141,309,673",0,"137,575","252,903,153","2,356,619","21,577,622","32,030,274","17,888,303","25,333,111","12,134,751","59,112,149","108,338,055","3,710,822,535",0,0,"106,763,190",0,,"55,030,650","98,274,863","225,789",0,"838,437",0,"101,281,435","27,684,109","4,267,276","2,119,496,501",,0,"22,628,706","3,475,457,223","168,345,806","15,821,424",0,0,0,"184,167,230","33,506,036","15,613,641","48,976,557","18,413,843","83,004,041","-65,435,269",0,"235,242,038",0,0,"123,274","235,365,312","3,710,822,535"
2883,開發金,Jun-23,"67,647,898","557,986,028","1,665,238,933","58,752,723","152,530,657",0,"123,215","258,509,400","1,685,211","21,356,339","33,638,851","18,067,676","19,915,604","12,385,959","57,954,888","90,714,628","3,680,091,381",0,0,"80,393,336",0,,"76,697,027","115,583,474","1,035,913",0,"704,447",0,"91,499,260","30,213,485","4,457,486","2,105,197,413",,0,"15,702,415","3,436,060,494","168,377,806","15,821,424",0,0,0,"184,199,230","33,515,283","15,613,641","48,976,557","10,890,617","75,480,815","-49,285,667",0,"243,909,661",0,0,"121,226","244,030,887","3,680,091,381"
2883,開發金,Mar-23,"92,202,111","510,134,061","1,648,770,298","56,101,347","139,184,286",0,"140,408","245,672,065","1,957,858","21,191,527","34,290,391","18,196,209","16,100,953","12,554,357","57,557,240","83,699,191","3,554,801,720",0,0,"56,212,198",0,,"67,540,846","104,019,777","1,020,680",0,"883,574",0,"91,592,489","26,716,610","4,575,681","2,089,018,179",,0,"11,722,655","3,321,738,450","168,430,886","15,821,424",0,0,0,"184,252,310","33,618,500","13,703,864","410,006","54,344,769","68,458,639","-53,391,020",0,"232,938,429",0,0,"124,841","233,063,270","3,554,801,720"
2883,開發金,Dec-22,"132,489,379","466,530,498","1,678,606,935","27,630,796","111,420,657",0,"148,379","215,165,592","2,511,620","20,100,667","33,670,962","18,342,534","18,068,348","12,623,300","58,626,748","86,863,239","3,537,148,350",0,0,"82,361,141",0,,"42,895,079","90,722,635","548,915",0,"581,359",0,"91,643,007","23,675,664","4,603,517","2,094,580,716",,0,"13,904,031","3,328,362,974","168,453,886","15,821,424",0,0,0,"184,275,310","33,626,805","13,703,864","410,006","50,476,328","64,590,198","-73,829,040",0,"208,663,273",0,0,"122,103","208,785,376","3,537,148,350"
2883,開發金,Sep-22,"92,998,549","495,363,470","1,542,944,277","59,023,597","149,613,302",0,"165,906","370,726,398","3,245,606","19,426,104","34,322,144","18,504,785","30,533,844","12,496,504","58,064,651","123,992,004","3,628,787,011",0,0,"140,385,841",0,,"76,395,710","124,078,749","635,241",0,"542,234",0,"91,893,333","28,638,354","4,486,705","2,122,031,984",,0,"19,424,028","3,460,346,352","168,460,886","15,821,424",0,0,0,"184,282,310","33,569,727","13,703,864","421,800","53,228,981","67,354,645","-117,102,696",0,"168,103,986",0,0,"336,673","168,440,659","3,628,787,011"
2883,開發金,Jun-22,"113,706,203","493,781,790","1,421,342,132","44,150,326","136,787,306",0,"181,485","413,024,652","2,251,825","18,775,109","34,347,474","18,541,156","19,799,397","12,598,012","50,148,715","104,130,931","3,483,381,788",0,0,"96,554,850",0,,"54,292,356","117,128,127","1,804,237",0,"619,039",0,"91,770,877","33,166,224","4,546,353","2,073,658,223",,0,"8,106,681","3,296,516,907","171,894,123","18,930,436",0,0,0,"190,824,559","36,134,488","13,703,864","421,800","47,130,110","61,255,774","-92,606,409","-9,071,501","186,536,911",0,0,"327,970","186,864,881","3,483,381,788"
2883,開發金,Mar-22,"127,016,387","551,103,203","1,337,668,785","61,787,443","150,778,602",0,"153,257","443,725,449","1,483,206","20,492,199","34,484,588","18,681,612","15,205,015","12,754,760","50,054,146","108,585,617","3,501,296,779",0,0,"95,503,375",0,,"58,768,904","100,729,413","4,067,362",0,"568,275",0,"91,759,044","23,733,297","4,660,764","2,035,594,545",,0,"6,291,164","3,238,756,672","171,913,673","18,930,436",0,0,0,"190,844,109","36,142,397","10,035,815","298,120","63,540,379","73,874,314","-29,591,673","-9,071,501","262,197,646",0,0,"342,461","262,540,107","3,501,296,779"
2883,開發金,Dec-21,"167,862,826","554,548,173","1,220,278,781","40,265,407","130,448,138",0,"123,419","507,374,321","259,267","20,227,991","34,051,875","18,742,494","14,003,281","12,590,590","35,299,898","102,154,401","3,458,639,948",0,0,"57,698,157",0,,"53,875,051","102,849,601","3,789,560",0,"73,006",0,"92,441,122","22,557,523","4,455,216","1,993,971,267",,0,"9,007,624","3,165,529,196","171,896,598","18,930,436","31,175",0,0,"190,858,209","36,147,480","10,035,815","298,120","52,021,923","62,355,858","12,490,292","-9,071,501","292,780,338",0,0,"330,414","293,110,752","3,458,639,948"
2883,開發金,Sep-21,"152,297,636","517,918,495","1,212,230,256","53,011,146","137,172,345",0,"216,515","549,966,967","297,345","16,070,679","34,659,343","18,811,438","14,707,196","13,721,524","29,968,332","89,385,985","3,392,342,353",0,0,"73,061,811",0,,"63,579,617","112,658,977","3,733,384",0,"192,759",0,"77,601,445","22,109,066","4,259,633","1,965,664,606",,0,"8,798,474","3,087,362,991","150,051,005",0,0,0,0,"150,051,005","11,975,553","10,035,815","312,095","47,895,897","58,243,807","1,951,929",0,"222,222,294",0,0,"82,757,068","304,979,362","3,392,342,353"
2883,開發金,Jun-21,"160,037,493","560,348,481","1,152,304,045","76,112,969","191,831,228",0,"223,017","576,353,806","161,329","15,809,853","35,157,330","19,012,943","15,020,122","13,847,475","30,022,906","95,234,507","3,498,255,860",0,0,"102,282,120",0,,"92,551,651","136,525,792","4,004,265",0,"301,767",0,"72,332,612","46,962,583","4,340,685","1,945,908,444",,0,"10,316,879","3,187,378,066","149,898,550",0,"13,650",0,0,"149,912,200","11,998,917","8,816,167","565,041","43,150,487","52,531,695","11,403,074",0,"225,845,886",0,0,"85,031,908","310,877,794","3,498,255,860"
2883,開發金,Mar-21,"114,249,689","548,444,225","1,132,929,229","58,576,997","153,528,373",0,"701,499","631,722,572","220,795","16,203,827","34,853,794","19,307,056","11,935,103","13,942,436","30,285,628","100,569,581","3,426,117,789",0,0,"102,724,790",0,,"78,552,561","120,221,498","5,942,981",0,"153,036",0,"71,554,882","23,069,688","4,389,446","1,929,483,077",,0,"8,158,364","3,131,865,333","149,736,024",0,"60,615",0,0,"149,796,639","11,821,316","8,816,167","565,041","35,311,330","44,692,538","8,998,834","-698,576","214,610,751",0,0,"79,641,705","294,252,456","3,426,117,789"
2883,開發金,Dec-20,"121,169,093","543,495,816","1,064,332,087","47,615,757","138,547,338",0,"705,864","712,962,077","102,479","15,175,924","35,343,870","19,537,371","12,399,965","14,049,764","29,953,756","94,265,129","3,434,618,475",0,0,"116,142,567",0,,"59,424,873","103,096,646","4,143,209",0,"641,307",0,"62,981,293","25,477,711","4,454,005","1,902,468,183",,0,"15,311,370","3,101,992,388","149,729,414",0,"3,298",0,0,"149,732,712","1,627,728","8,816,167","565,041","24,809,292","34,190,500","18,363,815","-1,178,647","202,736,108",0,0,"129,889,979","332,626,087","3,434,618,475"
2883,開發金,Sep-20,"83,359,625","549,389,731","1,033,718,741","39,378,742","140,876,304",0,"723,584","673,168,572","79,433","14,674,474","35,750,317","19,689,841","10,761,501","14,195,251","29,914,749","88,408,228","3,292,770,380",0,0,"102,075,657",0,,"52,163,553","89,153,203","2,415,588",0,"889,177",0,"47,529,436","40,941,550","4,572,598","1,862,920,223",,0,"14,559,142","2,996,265,674","149,710,976",0,"17,891",0,0,"149,728,867","1,333,784","8,816,167","565,041","21,074,903","30,456,111","6,912,590","-3,071,470","185,359,882",0,0,"111,144,824","296,504,706","3,292,770,380"
2883,開發金,Jun-20,"105,534,210","513,681,812","1,051,837,136","50,383,929","125,682,282",0,"706,724","605,833,152","19,688","14,751,043","36,399,883","19,960,318","9,791,813","17,509,664","25,067,990","67,172,056","3,213,415,636",0,0,"104,816,957",0,,"57,430,016","102,702,830","1,679,216",0,"944,494",0,"44,668,206","22,054,429","4,712,911","1,817,359,111",0,0,"12,577,787","2,932,153,312","149,710,976",0,0,0,0,"149,710,976","1,114,971","8,816,167","565,041","15,399,273","24,780,481","4,700,935","-3,071,470","177,235,893",0,0,"104,026,431","281,262,324","3,213,415,636"
2883,開發金,Mar-20,"94,123,171","530,787,595","1,041,795,869","56,972,755","118,071,805",0,"769,484","535,406,837","2,663","14,663,097","36,185,120","20,155,550","9,990,529","17,832,313","25,281,666","74,687,034","3,114,168,302",0,0,"130,299,886",0,,"68,455,752","99,628,034","1,431,146",0,"824,087",0,"42,442,639","28,750,816","4,970,630","1,785,092,531",,0,"7,143,634","2,872,138,439","149,684,380",0,"26,146",0,0,"149,710,526","1,115,029","7,561,404","10,797,899","11,987,265","30,346,568","-13,420,745","-3,071,470","164,679,908",0,0,"77,349,955","242,029,863","3,114,168,302"
2883,開發金,Dec-19,"101,141,145","492,082,632","1,028,887,835","35,344,968","104,305,699",0,"759,762","539,623,924",0,"17,403,840","34,904,312","20,441,634","9,888,920","18,548,919","25,341,556","60,608,848","3,027,288,004",0,0,"94,068,987",0,,"48,189,030","86,839,670","1,168,811",0,0,0,"42,450,000","20,968,007","5,615,681","1,742,247,176",,0,"12,933,858","2,730,822,850","149,663,721",0,"20,359",0,0,"149,684,080","1,093,745","7,561,404","10,797,899","12,617,375","30,976,678","8,907,903","-3,137,278","187,525,128",0,0,"108,940,026","296,465,154","3,027,288,004"
